gene,biotype,spoke-okn,rdkg,prokn,digcfdekg,n_sources,digcfdekg_weight,confidence_tier
APP,protein-coding,1,1,1,1,4,8.65,T1 very-high
PSEN1,protein-coding,1,1,1,1,4,9.32,T1 very-high
PSEN2,protein-coding,1,1,1,1,4,8.11,T1 very-high
SORL1,protein-coding,1,1,1,1,4,8.59,T1 very-high
ABCA7,protein-coding,1,1,0,1,3,9.13,T2 high
ACE,protein-coding,1,1,0,1,3,8.37,T2 high
ACHE,protein-coding,1,1,0,1,3,3.95,T2 high
ADAM10,protein-coding,1,1,0,1,3,7.22,T2 high
APOE,protein-coding,1,1,0,1,3,10.2,T2 high
BACE1,protein-coding,1,1,0,1,3,4.42,T2 high
CASP3,protein-coding,1,1,0,1,3,4.27,T2 high
CD2AP,protein-coding,1,1,0,1,3,4.44,T2 high
CLU,protein-coding,1,1,0,1,3,9.38,T2 high
CR1,protein-coding,1,1,0,1,3,4.4,T2 high
HFE,protein-coding,1,1,1,0,3,,T2 high
MPO,protein-coding,1,1,1,0,3,,T2 high
MS4A4A,protein-coding,1,1,0,1,3,4.13,T2 high
NCSTN,protein-coding,1,1,0,1,3,4.07,T2 high
PICALM,protein-coding,1,1,0,1,3,8.72,T2 high
PLCG2,protein-coding,1,1,0,1,3,5.71,T2 high
PRNP,protein-coding,1,1,0,1,3,4.43,T2 high
TNF,protein-coding,1,1,0,1,3,5.89,T2 high
TREM2,protein-coding,1,1,0,1,3,4.23,T2 high
UNC5C,protein-coding,1,1,1,0,3,,T2 high
A2M,protein-coding,1,1,0,0,2,,T3 medium
ABCA1,protein-coding,1,0,0,1,2,5.32,T3 medium
ABI3,protein-coding,1,1,0,0,2,,T3 medium
ADAMTS1,protein-coding,0,1,0,1,2,3.72,T3 medium
APH1A,protein-coding,1,0,0,1,2,4.03,T3 medium
APH1B,protein-coding,1,0,0,1,2,8.61,T3 medium
BCHE,protein-coding,1,1,0,0,2,,T3 medium
BCL2,protein-coding,1,1,0,0,2,,T3 medium
BDNF,protein-coding,1,1,0,0,2,,T3 medium
BIN1,protein-coding,0,1,0,1,2,9.04,T3 medium
BLNK,protein-coding,1,0,0,1,2,4.12,T3 medium
CASS4,protein-coding,1,1,0,0,2,,T3 medium
CD33,protein-coding,0,1,0,1,2,4.2,T3 medium
CHRNA7,protein-coding,0,1,0,1,2,4.38,T3 medium
CST3,protein-coding,1,1,0,0,2,,T3 medium
CTSB,protein-coding,1,0,0,1,2,5.64,T3 medium
CTSH,protein-coding,1,0,0,1,2,4.62,T3 medium
DBN1,protein-coding,1,0,1,0,2,,T3 medium
DHCR24,protein-coding,0,1,0,1,2,3.92,T3 medium
FERMT2,protein-coding,1,0,0,1,2,3.78,T3 medium
GAPDH,protein-coding,1,1,0,0,2,,T3 medium
GSK3A,protein-coding,1,0,0,1,2,5.08,T3 medium
GSK3B,protein-coding,1,1,0,0,2,,T3 medium
HLA-DRB1,protein-coding,1,1,0,0,2,,T3 medium
HMOX1,protein-coding,1,1,0,0,2,,T3 medium
IDE,protein-coding,1,1,0,0,2,,T3 medium
IGF1,protein-coding,0,1,0,1,2,4.04,T3 medium
IL1B,protein-coding,1,1,0,0,2,,T3 medium
INPP5D,protein-coding,1,1,0,0,2,,T3 medium
INS,protein-coding,1,1,0,0,2,,T3 medium
MAOB,protein-coding,1,1,0,0,2,,T3 medium
MAPT,protein-coding,1,1,0,0,2,,T3 medium
MME,protein-coding,1,0,0,1,2,7.79,T3 medium
MS4A6A,protein-coding,1,0,0,1,2,4.73,T3 medium
NCK2,protein-coding,1,0,0,1,2,3.73,T3 medium
NECTIN2,protein-coding,1,1,0,0,2,,T3 medium
NOS3,protein-coding,1,1,0,0,2,,T3 medium
PLAU,protein-coding,1,1,0,0,2,,T3 medium
PSENEN,protein-coding,1,0,0,1,2,4.5,T3 medium
RASGEF1C,protein-coding,1,0,0,1,2,4.15,T3 medium
RHOH,protein-coding,1,0,0,1,2,3.89,T3 medium
TM2D3,protein-coding,1,0,1,0,2,,T3 medium
TOMM40,protein-coding,1,1,0,0,2,,T3 medium
WNT3,protein-coding,1,0,0,1,2,3.86,T3 medium
AATF,protein-coding,0,0,0,1,1,3.97,T4 low
ABCA2,protein-coding,0,0,0,1,1,4.37,T4 low
ABCG1,protein-coding,0,0,0,1,1,4.06,T4 low
ACTB,protein-coding,1,0,0,0,1,,T4 low
ADAM17,protein-coding,0,0,0,1,1,5.98,T4 low
ADAM19,protein-coding,0,0,0,1,1,4.13,T4 low
ADAMTS4,protein-coding,1,0,0,0,1,,T4 low
