entity_type,entity,entity_id,biotype,relationship,sources,n_sources,evidence_types,best_score,score_type,tissue_celltype,confidence_tier,notes
gene,A2M,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,AATF,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.97,PIGEAN/EAGGL_weight,,T4 low,
gene,ABCA1,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,5.32,PIGEAN/EAGGL_weight,,T3 medium,
gene,ABCA2,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.37,PIGEAN/EAGGL_weight,,T4 low,
gene,ABCA7,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,9.13,PIGEAN/EAGGL_weight,,T2 high,
gene,ABCG1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.06,PIGEAN/EAGGL_weight,,T4 low,
gene,ABI3,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,ACE,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,8.37,PIGEAN/EAGGL_weight,,T2 high,
gene,ACHE,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,3.95,PIGEAN/EAGGL_weight,,T2 high,
gene,ACTB,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,ADAM10,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,7.22,PIGEAN/EAGGL_weight,,T2 high,
gene,ADAM17,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,5.98,PIGEAN/EAGGL_weight,,T4 low,
gene,ADAM19,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.13,PIGEAN/EAGGL_weight,,T4 low,
