gene,n_primary,primary_sources,n_secondary,secondary_sources,n_total
SORL1,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,7
ABCA7,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
ADAM10,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
APOE,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
CD2AP,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
CLU,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
CR1,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
HLA-DRB1,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
PICALM,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
TOMM40,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
ZCWPW1,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,6
ABCA1,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,1,digcfdekg_endophenotype,5
APP,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,1,digcfdekg_family_history,5
PTK2B,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,1,digcfdekg_family_history,5
TREM2,4,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,0,,4
GGA3,3,digcfdekg_core_AD_trait;biomarkerkg_risk_variant;gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,6
NECAB1,3,digcfdekg_core_AD_trait;biomarkerkg_risk_variant;gxa_DE_ge3_regions,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,6
SPON1,3,digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,3,digcfdekg_family_history;digcfdekg_endophenotype;gxa_DE_ge2_regions,6
APH1B,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
BACE1,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
BIN1,3,digcfdekg_core_AD_trait;prokn_curated_variant;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
CTSH,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;gxa_DE_ge2_regions,5
MARK4,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
MME,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
MS4A6A,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
PILRA,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
PRNP,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
PSEN1,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
PSEN2,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;prokn_curated_variant,2,digcfdekg_family_history;digcfdekg_endophenotype,5
ABI3,3,spoke-okn_curated_DaG;digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,digcfdekg_family_history,4
