gene,n_sources,sources,evidence_types,n_evidence_types,curated,genetic,differential,secondary_support,n_secondary,pigean_score,n_uniprot_variants,de_regions,de_direction,de_conflict,druggable,drugs,biotype,score,tier
APP,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy,1,8.65,13,1,up,0,1,ADUCANUMAB;BAPINEUZUMAB;CRENEZUMAB;DONANEMAB;GANTENERUMAB;LECANEMAB;PONEZUMAB;SOLANEZUMAB;TRAMIPROSATE;VALILTRAMIPROSATE,protein-coding,35.0,A
SORL1,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype;DE >=2 regions,3,8.59,8,2,down,0,0,,protein-coding,34.5,A
APOE,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,10.2,32,1,up,0,0,,protein-coding,34.0,A
PICALM,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,8.72,9,0,,0,0,,protein-coding,32.25,A
PSEN1,4,digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,9.32,11,1,down,0,0,,protein-coding,31.0,A
ABCA7,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,9.13,5,0,,0,0,,protein-coding,29.25,A
CR1,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.4,6,0,,0,0,,protein-coding,28.8,A
CLU,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,9.38,3,1,down,0,0,,protein-coding,28.75,A
ADAM10,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,7.22,1,1,up,0,0,,protein-coding,27.25,A
TREM2,5,biomarkerkg;digcfdekg;prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,4.23,4,0,,0,0,,protein-coding,25.17,A
