rel,otherLabel,cat,source,nStatements
predisposes_to_condition,Peptides,aapp_gngm_aapp,PubMed,1
preventative_for_condition,Peptides,aapp_gngm_aapp,PubMed,1
predisposes_to_condition,vascular factor,aapp_gngm_aapp,PubMed,1
predisposes_to_condition,S-Adenosylhomocysteine,aapp_gngm_bacs_aapp_6296_ACSM3,PubMed,1
predisposes_to_condition,insulin-like growth factor 2,aapp_gngm_bacs_aapp_6606_SMN1,PubMed,1
preventative_for_condition,insulin-like growth factor 2,aapp_gngm_bacs_aapp_6606_SMN1,PubMed,1
predisposes_to_condition,Abnormal Hemoglobins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Acute-Phase Proteins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Albumins,aapp_gngm_bacs_aapp,PubMed,1
NEG_PREVENTS,Amyloid,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Amyloid,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Amyloid,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Aspartate,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Aspartate,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,beta-2 Microglobulin,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Binding Proteins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Blood Proteins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Cysteine,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Cysteine,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Growth Factor,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Growth Factor,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Haptoglobins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Hemoglobin,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Hemoglobin,aapp_gngm_bacs_aapp,PubMed,1
NEG_PREDISPOSES,homocysteine,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,homocysteine,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,homocysteine,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Insulin-Like Growth Factor I,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Insulin-Like Growth Factor I,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,L-Type Calcium Channels,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Membrane Proteins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,N-acetylaspartate,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Presenilin-1,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Proteins,aapp_gngm_bacs_aapp,PubMed,1
preventative_for_condition,Proteins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Serum Proteins,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Synaptophysin,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Transferrin,aapp_gngm_bacs_aapp,PubMed,1
predisposes_to_condition,Glycoproteins,aapp_gngm_bacs_bacs,PubMed,1
preventative_for_condition,Glycoproteins,aapp_gngm_bacs_bacs,PubMed,1
predisposes_to_condition,HMGB1 Protein,aapp_gngm_bacs_bacs,PubMed,1
predisposes_to_condition,link protein,aapp_gngm_bacs_bacs,PubMed,1
predisposes_to_condition,Synapsin I,aapp_gngm_bacs_bacs,PubMed,1
predisposes_to_condition,Bacterial Proteins,aapp_gngm_bacs_gngm,PubMed,1
predisposes_to_condition,Prealbumin,aapp_gngm_bacs_gngm,PubMed,1
preventative_for_condition,Prealbumin,aapp_gngm_bacs_gngm,PubMed,1
predisposes_to_condition,alpha 1-Antitrypsin,aapp_gngm_bacs_phsu_aapp,PubMed,1
preventative_for_condition,Antithrombins,aapp_gngm_bacs_phsu_aapp,PubMed,1
preventative_for_condition,Ferritin,aapp_gngm_bacs_phsu_aapp,PubMed,1
predisposes_to_condition,Fibrinogen,aapp_gngm_bacs_phsu_aapp,PubMed,1
predisposes_to_condition,Glutamine,aapp_gngm_bacs_phsu_aapp,PubMed,1
predisposes_to_condition,Methionine,aapp_gngm_bacs_phsu_aapp,PubMed,1
predisposes_to_condition,Protein C,aapp_gngm_bacs_phsu_aapp,PubMed,1
predisposes_to_condition,Isoleucine,aapp_gngm_bacs_phsu_bacs,PubMed,1
predisposes_to_condition,Amino Acids,aapp_gngm_bacs_phsu_gngm,PubMed,1
