mondo,dLabel,rel,biomarker,bLabel,assessed,aLabel,sample,sLabel
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB1967-1,Increased Amyloid beta 42 [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001969,blood plasma
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB1968-1,Increased Amyloid beta 40 [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001969,blood plasma
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB1976-2,Increased Quinolinic acid [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001088,urine
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB1986-1,Increased phosphorylated tau protein at threonine 181 [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001969,blood plasma
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2064-2,Decreased level of metabolite testosterone/LOINC:105121-8,,,http://purl.obolibrary.org/obo/UBERON_0001969,blood plasma
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2064-2,Decreased level of metabolite testosterone/LOINC:105121-8,,,http://purl.obolibrary.org/obo/UBERON_0001977,blood serum
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2077-2,Decreased level of metabolite testosterone/LOINC:10631-0,,,http://purl.obolibrary.org/obo/UBERON_0001968,semen
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2130-1,Decreased Corticotropin-releasing hormone (CRH) [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001969,blood plasma
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2130-1,Decreased Corticotropin-releasing hormone (CRH) [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001977,blood serum
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2178-1,Decreased Corticotropin-releasing hormone (CRH) [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001969,blood plasma
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2178-1,Decreased Corticotropin-releasing hormone (CRH) [biomarker_term_in_review],,,http://purl.obolibrary.org/obo/UBERON_0001977,blood serum
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2307-2,Decreased level of metabolite testosterone/LOINC:13486-6,,,http://purl.obolibrary.org/obo/UBERON_0001088,urine
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2747-2,Decreased level of metabolite testosterone/LOINC:14913-8,,,http://purl.obolibrary.org/obo/UBERON_0001969,blood plasma
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2747-2,Decreased level of metabolite testosterone/LOINC:14913-8,,,http://purl.obolibrary.org/obo/UBERON_0001977,blood serum
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2841-2,Decreased level of metabolite testosterone/LOINC:15094-6,,,http://purl.obolibrary.org/obo/UBERON_0001088,urine
http://purl.obolibrary.org/obo/MONDO_0004975,Alzheimer disease,diagnostic_for,https://biomarkerkb.org/biomarker/BB2842-2,Decreased level of metabolite testosterone/LOINC:15095-3,,,http://purl.obolibrary.org/obo/UBERON_0001088,urine
