traitLabel,entrez,sym,weight,scoreType,method
age of onset of Alzheimer disease,10975,UQCR11,1.33,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,1635,DCTD,2.77,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,1379,CR1L,3.86,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,1209,CLPTM1,1.05,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,148170,CDC42EP5,1.04,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,10452,TOMM40,1.65,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,131149,OTOL1,1.7,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,1826,DSCAM,3.45,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,1000,CDH2,1.3,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,11027,LILRA2,1.16,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,10564,ARFGEF2,3.66,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,3904,LAIR2,1.5,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,339761,CYP27C1,1.44,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,344,APOC2,1.27,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,340205,TREML1,2.34,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,399664,MEX3D,1.26,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,26585,GREM1,2.41,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,341,APOC1,1.81,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,274,BIN1,4.64,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,25945,NECTIN3,2.81,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,27032,ATP2C1,2.71,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,348,APOE,2.05,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,346,APOC4,1.35,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,53615,MBD3,1.38,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,6400,SEL1L,2.04,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,63982,ANO3,3.18,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,64841,GNPNAT1,3.47,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,54209,TREM2,2.68,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,5921,RASA1,1.91,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,6119,RPA3,3.38,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,8301,PICALM,2.65,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,79865,TREML2,1.62,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,9678,PHF14,2.42,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,8726,EED,2.54,PIGEANCombinedScore,PIGEAN
age of onset of Alzheimer disease,7991,TUSC3,2.22,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,1602,DACH1,2.01,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,11122,PTPRT,1.85,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,10395,DLC1,2.61,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,140803,TRPM6,2.52,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,146853,C17orf50,1.57,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,118856,MMP21,2.92,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,157773,C8orf48,2.86,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,201161,CENPV,1.2,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,11178,LZTS1,3.57,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,170692,ADAMTS18,1.25,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,2013,EMP2,2.72,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,130940,CCDC148,1.48,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,1635,DCTD,1.9,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,146713,RBFOX3,1.87,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,10452,TOMM40,1.65,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,22879,MON1B,1.78,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,1209,CLPTM1,1.04,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,118924,FRA10AC1,2.98,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,11096,ADAMTS5,2.83,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,1992,SERPINB1,3.7,PIGEANCombinedScore,PIGEAN
beta-amyloid 1-42 measurement,23043,TNIK,2.92,PIGEANCombinedScore,PIGEAN
