go,goLabel,ns,k,K,expected,fold,p,fdr,n,N
http://purl.obolibrary.org/obo/GO_0042987,amyloid precursor protein catabolic process,Biological Process,7,10,0.22798552472858866,30.703703703703706,3.247332041025375e-10,1.7275806458254996e-07,189,8290
http://purl.obolibrary.org/obo/GO_0034205,amyloid-beta formation,Biological Process,6,7,0.15958986731001207,37.59637188208617,8.916992595276683e-10,2.3719200303435977e-07,189,8290
http://purl.obolibrary.org/obo/GO_0150094,amyloid-beta clearance by cellular catabolic process,Biological Process,6,8,0.18238841978287093,32.8968253968254,3.499279951771954e-09,3.927092774343142e-07,189,8290
http://purl.obolibrary.org/obo/GO_0006509,membrane protein ectodomain proteolysis,Biological Process,8,19,0.4331724969843185,18.46839320523531,3.839594253348908e-09,3.927092774343142e-07,189,8290
http://purl.obolibrary.org/obo/GO_1902430,negative regulation of amyloid-beta formation,Biological Process,7,13,0.29638118214716525,23.61823361823362,4.381173480592465e-09,3.927092774343142e-07,189,8290
http://purl.obolibrary.org/obo/GO_0009897,external side of plasma membrane,Cellular Component,20,183,4.172135102533172,4.793708618845232,5.152052153216534e-09,3.927092774343142e-07,189,8290
http://purl.obolibrary.org/obo/GO_0005764,lysosome,Cellular Component,21,202,4.605307599517491,4.5599559955995606,5.167227334662029e-09,3.927092774343142e-07,189,8290
http://purl.obolibrary.org/obo/GO_0010628,positive regulation of gene expression,Biological Process,21,206,4.696501809408926,4.471413160733549,7.362923310781844e-09,4.896344001669926e-07,189,8290
http://purl.obolibrary.org/obo/GO_1904646,cellular response to amyloid-beta,Biological Process,10,39,0.8891435464414957,11.24677791344458,1.0709406739315568e-08,6.330449317017647e-07,189,8290
http://purl.obolibrary.org/obo/GO_0007220,Notch receptor processing,Biological Process,5,6,0.1367913148371532,36.552028218694886,3.44298838462659e-08,1.722239006821617e-06,189,8290
http://purl.obolibrary.org/obo/GO_0005769,early endosome,Cellular Component,18,166,3.784559710494572,4.756167527251865,3.561020502826652e-08,1.722239006821617e-06,189,8290
http://purl.obolibrary.org/obo/GO_0001540,amyloid-beta binding,Molecular Function,12,69,1.5731001206272617,7.628249367379802,3.939741521687693e-08,1.746618741281544e-06,189,8290
http://purl.obolibrary.org/obo/GO_1902004,positive regulation of amyloid-beta formation,Biological Process,7,17,0.3875753920386007,18.06100217864924,4.594908135223563e-08,1.8803777907222581e-06,189,8290
http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component,92,2511,57.24716525934861,1.6070664736534908,6.463624355612035e-08,2.374592397712628e-06,189,8290
http://purl.obolibrary.org/obo/GO_0010008,endosome membrane,Cellular Component,18,173,3.9441495778045836,4.56372144233416,6.780850311999809e-08,2.374592397712628e-06,189,8290
http://purl.obolibrary.org/obo/GO_0009986,cell surface,Cellular Component,32,498,11.353679131483716,2.8184696457788827,7.34851856244562e-08,2.374592397712628e-06,189,8290
http://purl.obolibrary.org/obo/GO_0004175,endopeptidase activity,Molecular Function,12,73,1.6642943305186972,7.21026310067406,7.587983225773434e-08,2.374592397712628e-06,189,8290
http://purl.obolibrary.org/obo/GO_0042982,amyloid precursor protein metabolic process,Biological Process,5,7,0.15958986731001207,31.330309901738474,1.1827534531311147e-07,3.4956935392541834e-06,189,8290
http://purl.obolibrary.org/obo/GO_0001774,microglial cell activation,Biological Process,7,20,0.4559710494571773,15.351851851851853,1.7281497952954984e-07,4.8388194268273954e-06,189,8290
http://purl.obolibrary.org/obo/GO_0048143,astrocyte activation,Biological Process,6,13,0.29638118214716525,20.244200244200247,1.9492933217233658e-07,5.185120235784153e-06,189,8290
http://purl.obolibrary.org/obo/GO_0007611,learning or memory,Biological Process,9,41,0.9347406513872135,9.628339140534262,2.566924422253375e-07,6.332269706627324e-06,189,8290
