sym,down,up,consistent,conflict,net_dir
AC107993.1,0.0,5.0,5.0,False,up
ALMS1,0.0,5.0,5.0,False,up
ANP32B,0.0,5.0,5.0,False,up
MFSD14C,0.0,5.0,5.0,False,up
MFSD14CP,0.0,5.0,5.0,False,up
NFAT5,0.0,5.0,5.0,False,up
RP11-194N12.2,0.0,5.0,5.0,False,up
SKI,0.0,5.0,5.0,False,up
AL356599.1,5.0,0.0,5.0,False,down
EMC3,5.0,0.0,5.0,False,down
EPM2A-DT,5.0,0.0,5.0,False,down
FBXO30-DT,5.0,0.0,5.0,False,down
HMOX2,5.0,0.0,5.0,False,down
MIR7-3HG,5.0,0.0,5.0,False,down
NIT2,5.0,0.0,5.0,False,down
PCYOX1L,5.0,0.0,5.0,False,down
POP4,5.0,0.0,5.0,False,down
RP11-545I5.3,5.0,0.0,5.0,False,down
USP42,1.0,4.0,4.0,True,up
AC004951.1,0.0,4.0,4.0,False,up
AC004951.6,0.0,4.0,4.0,False,up
AC007388.1,0.0,4.0,4.0,False,up
ADAM33,0.0,4.0,4.0,False,up
AHNAK,0.0,4.0,4.0,False,up
AL583810.1,0.0,4.0,4.0,False,up
ANKRD13D,0.0,4.0,4.0,False,up
APLNR,0.0,4.0,4.0,False,up
ATP8B1,0.0,4.0,4.0,False,up
BBX,0.0,4.0,4.0,False,up
BOD1L1,0.0,4.0,4.0,False,up
C9orf64,0.0,4.0,4.0,False,up
CCDC152,0.0,4.0,4.0,False,up
CDK13,0.0,4.0,4.0,False,up
CEBPB,0.0,4.0,4.0,False,up
COL27A1,0.0,4.0,4.0,False,up
CTD-3051D23.4,0.0,4.0,4.0,False,up
DBT,0.0,4.0,4.0,False,up
DCHS1,0.0,4.0,4.0,False,up
DCLRE1C,0.0,4.0,4.0,False,up
DNAJC1,0.0,4.0,4.0,False,up
EP300,0.0,4.0,4.0,False,up
EP400,0.0,4.0,4.0,False,up
EPC1,0.0,4.0,4.0,False,up
ERC2-IT1,0.0,4.0,4.0,False,up
FAM161B,0.0,4.0,4.0,False,up
GEM,0.0,4.0,4.0,False,up
HCG18,0.0,4.0,4.0,False,up
IFNAR2,0.0,4.0,4.0,False,up
KLHL24,0.0,4.0,4.0,False,up
KNOP1,0.0,4.0,4.0,False,up
MAFF,0.0,4.0,4.0,False,up
MALAT1,0.0,4.0,4.0,False,up
MAP4K3-DT,0.0,4.0,4.0,False,up
MAPKBP1,0.0,4.0,4.0,False,up
MED13L,0.0,4.0,4.0,False,up
MKNK2,0.0,4.0,4.0,False,up
MT-ND5,0.0,4.0,4.0,False,up
MTHFR,0.0,4.0,4.0,False,up
NFIC,0.0,4.0,4.0,False,up
PALD1,0.0,4.0,4.0,False,up
PARP11,0.0,4.0,4.0,False,up
PGF,0.0,4.0,4.0,False,up
PMP2,0.0,4.0,4.0,False,up
POU3F2,0.0,4.0,4.0,False,up
PPFIBP1,0.0,4.0,4.0,False,up
PRR11,0.0,4.0,4.0,False,up
PXDC1,0.0,4.0,4.0,False,up
QNG1,0.0,4.0,4.0,False,up
RAB11FIP3,0.0,4.0,4.0,False,up
RF00019,0.0,4.0,4.0,False,up
RFX4,0.0,4.0,4.0,False,up
RGPD5,0.0,4.0,4.0,False,up
RNU6-1016P,0.0,4.0,4.0,False,up
RPL13P5,0.0,4.0,4.0,False,up
SCAF11,0.0,4.0,4.0,False,up
SECISBP2L,0.0,4.0,4.0,False,up
SEPT7P2,0.0,4.0,4.0,False,up
SEPTIN7P2,0.0,4.0,4.0,False,up
SLC35E1,0.0,4.0,4.0,False,up
SLC7A2,0.0,4.0,4.0,False,up
SNRNP48,0.0,4.0,4.0,False,up
SRRM2,0.0,4.0,4.0,False,up
SYMPK,0.0,4.0,4.0,False,up
TNPO1,0.0,4.0,4.0,False,up
WWTR1,0.0,4.0,4.0,False,up
XRCC2,0.0,4.0,4.0,False,up
Y_RNA,0.0,4.0,4.0,False,up
ZC3H7B,0.0,4.0,4.0,False,up
AC126474.2,4.0,0.0,4.0,False,down
ACO2,4.0,0.0,4.0,False,down
ACOT7,4.0,0.0,4.0,False,down
ADARB1,4.0,0.0,4.0,False,down
AHNAK2,4.0,0.0,4.0,False,down
AMPH,4.0,0.0,4.0,False,down
ANAPC13,4.0,0.0,4.0,False,down
ANXA6,4.0,0.0,4.0,False,down
AP1M1,4.0,0.0,4.0,False,down
AP2A2,4.0,0.0,4.0,False,down
AP3M2,4.0,0.0,4.0,False,down
ATP5B,4.0,0.0,4.0,False,down
ATP5C1,4.0,0.0,4.0,False,down
ATP5F1B,4.0,0.0,4.0,False,down
ATP5F1C,4.0,0.0,4.0,False,down
ATP5IF1,4.0,0.0,4.0,False,down
ATP5J2,4.0,0.0,4.0,False,down
ATP5MF,4.0,0.0,4.0,False,down
ATP6V0B,4.0,0.0,4.0,False,down
ATP6V1E1,4.0,0.0,4.0,False,down
ATP6V1G2,4.0,0.0,4.0,False,down
ATPIF1,4.0,0.0,4.0,False,down
BEX5,4.0,0.0,4.0,False,down
BMERB1,4.0,0.0,4.0,False,down
C16orf45,4.0,0.0,4.0,False,down
C1orf216,4.0,0.0,4.0,False,down
C2orf80,4.0,0.0,4.0,False,down
CALB1,4.0,0.0,4.0,False,down
CALY,4.0,0.0,4.0,False,down
CCK,4.0,0.0,4.0,False,down
CDC123,4.0,0.0,4.0,False,down
CDC37,4.0,0.0,4.0,False,down
CETN2,4.0,0.0,4.0,False,down
CHCHD6,4.0,0.0,4.0,False,down
CHGB,4.0,0.0,4.0,False,down
COPS3,4.0,0.0,4.0,False,down
COPS4,4.0,0.0,4.0,False,down
COPS6,4.0,0.0,4.0,False,down
COX6B1,4.0,0.0,4.0,False,down
COX7B,4.0,0.0,4.0,False,down
CRYM,4.0,0.0,4.0,False,down
DHCR24,4.0,0.0,4.0,False,down
DNAJC7,4.0,0.0,4.0,False,down
EEF1A2,4.0,0.0,4.0,False,down
EIF2B3,4.0,0.0,4.0,False,down
ELOB,4.0,0.0,4.0,False,down
ENO2,4.0,0.0,4.0,False,down
