assayName,sym,dir,log2fc,adjp
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AL135901.1,up,1.0,7.82715e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-432M24.4,up,1.0,7.82715e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AL135901.1,up,1.1,0.000668896
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-432M24.4,up,1.1,0.000668896
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RF00019,up,1.0,0.00230386
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',Y_RNA,up,1.0,0.00230386
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RF00019,up,1.0,0.00245124
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',Y_RNA,up,1.0,0.00245124
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RF00019,up,1.4,0.000126345
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',Y_RNA,up,1.4,0.000126345
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RF00019,up,1.6,7.34806e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',Y_RNA,up,1.6,7.34806e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',RF00019,up,1.2,0.00292915
'Alzheimers disease' vs 'normal' in 'hippocampus',Y_RNA,up,1.2,0.00292915
'Alzheimers disease' vs 'normal' in 'hippocampus',AC016394.1,down,-1.0,8.8345e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',AC016394.2,down,-1.0,8.8345e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',DNAJC9-AS1,down,-1.0,8.8345e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',RP11-152N13.5,down,-1.0,8.8345e-05
'Pick disease' vs 'normal',AC004951.1,up,1.6,8.2616e-07
'Pick disease' vs 'normal',AC004951.6,up,1.6,8.2616e-07
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AC004951.1,up,1.8,0.00109311
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AC004951.6,up,1.8,0.00109311
