disease,study,title,tech,pmid
http://purl.obolibrary.org/obo/DOID_0050523,http://purl.org/okn/wobd/study/E-MTAB-2770,RNA-seq of 1019 human cancer cell lines from the Cancer Cell Line Encyclopedia,,31068700.0
http://purl.obolibrary.org/obo/DOID_0080711,http://purl.org/okn/wobd/study/E-CURD-149,Diagnosis of multisystem inflammatory syndrome in children (MIS-C) by a whole-blood transcriptional signature - differential analysis,,37255317.0
http://purl.obolibrary.org/obo/DOID_0081254,http://purl.org/okn/wobd/study/E-GEOD-66354,Investigation of the mechansim underlying the inflammatory phenotype in Group A ependymoma,,
http://purl.obolibrary.org/obo/DOID_0081255,http://purl.org/okn/wobd/study/E-GEOD-66354,Investigation of the mechansim underlying the inflammatory phenotype in Group A ependymoma,,
http://purl.obolibrary.org/obo/EFO_0000761,http://purl.org/okn/wobd/study/E-GEOD-65194,Expression profiling of breast cancer samples from Institut Curie (Maire cohort) --Affy CDF,,25848952.0
http://purl.obolibrary.org/obo/HP_0000103,http://purl.org/okn/wobd/study/E-MTAB-9255,Urinary bladder disease in rat experimental diabetes mellitus,,
http://purl.obolibrary.org/obo/HP_0001397,http://purl.org/okn/wobd/study/E-MTAB-7884,"Investigating NAFLD from RNA-seq data (human cell line Huh7) for samples under three treatments: low fat low sugar, low fat high sugar and high fat high sugar. Wild type samples are compared against DGAT2 knocked out.",,
http://purl.obolibrary.org/obo/HP_0001399,http://purl.org/okn/wobd/study/E-GEOD-74000,Gene expression data from acetaminophen-induced toxicity in human hepatic in vitro systems and clinical liver samples,,27761495.0
http://purl.obolibrary.org/obo/HP_0001636,http://purl.org/okn/wobd/study/E-GEOD-36761,mRNA expression profiling in patients with Tetralogy of Fallot and healthy unaffected individuals,,24459294.0
http://purl.obolibrary.org/obo/HP_0001919,http://purl.org/okn/wobd/study/E-GEOD-30718,Transcription profiling of molecular phenotypes of acute kidney injury in kidney transplants,,22343120.0
http://purl.obolibrary.org/obo/HP_0002373,http://purl.org/okn/wobd/study/E-MEXP-1483,Transcription profiling of hippocampus from wild type and ZIF268(Egr1) knock-out mice subjected to kainic acid induced seizures,,
http://purl.obolibrary.org/obo/HP_0004443,http://purl.org/okn/wobd/study/E-GEOD-55282,Characterization of distinct classes of differential gene expression in osteoblast cultures from non-syndromic craniosynostosis bone,,25184005.0
http://purl.obolibrary.org/obo/HP_0006554,http://purl.org/okn/wobd/study/E-GEOD-38941,Liver Regeneration Gene Signature in Hepatitis B virus (HBV)-Associated Acute Liver Failure Identified by Gene Expression Profiling,,23185381.0
http://purl.obolibrary.org/obo/HP_0006554,http://purl.org/okn/wobd/study/E-GEOD-62029,Integrated ordination of miRNA and mRNA expression profiles [mRNA],,26459852.0
http://purl.obolibrary.org/obo/HP_0012115,http://purl.org/okn/wobd/study/E-MTAB-5901,RNA-seq of livers in control and Cnot1 tamoxifen-inducible liver-specific knockout mice,,
http://purl.obolibrary.org/obo/HP_0012864,http://purl.org/okn/wobd/study/E-GEOD-6872,Transcription profiling by array of human sperm from normospermic and teratozoospermic individuals,,17327269.0
