assayName,sym,dir,log2fc,adjp,region
'Pick disease' vs 'normal',AC004951.1,up,1.6,8.2616e-07,
'Pick disease' vs 'normal',AC004951.6,up,1.6,8.2616e-07,
'progressive supranuclear palsy' vs 'normal',AC004951.1,up,1.1,0.00755108,
'progressive supranuclear palsy' vs 'normal',AC004951.6,up,1.1,0.00755108,
'Pick disease' vs 'normal',AL589880.1,up,1.2,0.00151384,
'Pick disease' vs 'normal',RP11-111F16.2,up,1.2,0.00151384,
'Pick disease' vs 'normal',AC021078.1,up,1.1,4.18605e-06,
'Pick disease' vs 'normal',CTB-89H12.4,up,1.1,4.18605e-06,
'Pick disease' vs 'normal',AL683813.1,up,1.1,7.42803e-05,
'Pick disease' vs 'normal',RP11-1114A5.4,up,1.1,7.42803e-05,
'Pick disease' vs 'normal',AL161457.2,up,1.3,0.0094086,
'Pick disease' vs 'normal',RP11-88I18.2,up,1.3,0.0094086,
'Pick disease' vs 'normal',PRR34-AS1,up,1.1,0.00149073,
'Pick disease' vs 'normal',RP6-109B7.3,up,1.1,0.00149073,
'Pick disease' vs 'normal',AL591895.1,down,-1.0,0.00164173,
'Pick disease' vs 'normal',RP11-285F7.2,down,-1.0,0.00164173,
'Pick disease' vs 'normal',AC100786.1,up,1.1,0.000151601,
'Pick disease' vs 'normal',CTD-2514K5.2,up,1.1,0.000151601,
'Pick disease' vs 'normal',MGC16275,up,1.1,0.000151601,
'Pick disease' vs 'normal',AC104825.1,down,-1.3,0.000658073,
'Pick disease' vs 'normal',AC104825.2,down,-1.3,0.000658073,
'Pick disease' vs 'normal',RP11-774O3.3,down,-1.3,0.000658073,
'Pick disease' vs 'normal',AC069503.1,up,1.2,6.51646e-06,
'Pick disease' vs 'normal',RP11-87C12.5,up,1.2,6.51646e-06,
'progressive supranuclear palsy' vs 'normal',AL583810.1,up,1.1,0.009918,
'progressive supranuclear palsy' vs 'normal',CTD-3051D23.4,up,1.1,0.009918,
'Pick disease' vs 'normal',AL583810.1,up,1.6,1.5446e-07,
'Pick disease' vs 'normal',CTD-3051D23.4,up,1.6,1.5446e-07,
'Pick disease' vs 'normal',AC022613.3,up,1.9,1.25004e-05,
'Pick disease' vs 'normal',RP11-680F8.4,up,1.9,1.25004e-05,
'Pick disease' vs 'normal',AL049838.1,down,-1.2,0.000266899,
'Pick disease' vs 'normal',RP11-999E24.3,down,-1.2,0.000266899,
'Pick disease' vs 'normal',AL023284.4,down,-1.2,0.00324598,
'Pick disease' vs 'normal',RP3-406A7.7,down,-1.2,0.00324598,
'Pick disease' vs 'normal',AC027279.1,up,2.0,2.03813e-05,
'Pick disease' vs 'normal',RP11-319G9.3,up,2.0,2.03813e-05,
'Pick disease' vs 'normal',AC073476.3,up,1.5,1.91242e-05,
'Pick disease' vs 'normal',RP11-690I21.2,up,1.5,1.91242e-05,
'Pick disease' vs 'normal',AC012615.1,down,-1.3,3.35427e-05,
'Pick disease' vs 'normal',CTB-31O20.2,down,-1.3,3.35427e-05,
'Pick disease' vs 'normal',AC005632.2,up,1.1,1.2556e-05,
'Pick disease' vs 'normal',CTB-31N19.3,up,1.1,1.2556e-05,
'Pick disease' vs 'normal',AC006058.1,down,-1.9,8.69876e-07,
'Pick disease' vs 'normal',RP4-555D20.2,down,-1.9,8.69876e-07,
'Pick disease' vs 'normal',AL391840.1,up,1.3,0.00244552,
'Pick disease' vs 'normal',RP11-342L8.2,up,1.3,0.00244552,
'Pick disease' vs 'normal',AC036222.1,up,1.3,1.08524e-06,
'Pick disease' vs 'normal',RP11-433M22.2,up,1.3,1.08524e-06,
'Pick disease' vs 'normal',AC127502.2,down,-1.6,0.000190985,
'Pick disease' vs 'normal',CTD-3092A11.2,down,-1.6,0.000190985,
'Pick disease' vs 'normal',AC090559.2,up,1.4,2.86276e-05,
'Pick disease' vs 'normal',RP11-750H9.7,up,1.4,2.86276e-05,
'progressive supranuclear palsy' vs 'normal',AC016831.5,up,1.8,0.00836097,
'progressive supranuclear palsy' vs 'normal',RP11-138A9.1,up,1.8,0.00836097,
'Pick disease' vs 'normal',AC016831.5,up,1.6,0.000371668,
'Pick disease' vs 'normal',RP11-138A9.1,up,1.6,0.000371668,
'Pick disease' vs 'normal',RP1-142L7.8,up,1.3,0.000145954,
'Pick disease' vs 'normal',Z99289.3,up,1.3,0.000145954,
'Pick disease' vs 'normal',AC024060.1,down,-1.3,0.000982616,
'Pick disease' vs 'normal',RP11-97C16.1,down,-1.3,0.000982616,
'Pick disease' vs 'normal',AL691432.2,down,-1.2,1.25004e-05,
'Pick disease' vs 'normal',RP11-345P4.9,down,-1.2,1.25004e-05,
'Pick disease' vs 'normal',AC144521.1,up,1.2,0.00133767,
'Pick disease' vs 'normal',RP11-158G18.1,up,1.2,0.00133767,
'Pick disease' vs 'normal',AL355488.1,down,-1.2,0.000229939,
'Pick disease' vs 'normal',AL355488.2,down,-1.2,0.000229939,
'Pick disease' vs 'normal',RP5-1074L1.4,down,-1.2,0.000229939,
'Pick disease' vs 'normal',AL031666.3,up,1.2,8.83387e-05,
'Pick disease' vs 'normal',RP4-569M23.4,up,1.2,8.83387e-05,
'Pick disease' vs 'normal',AC009283.1,down,-1.1,6.60464e-06,
'Pick disease' vs 'normal',RP11-390P24.1,down,-1.1,6.60464e-06,
'Pick disease' vs 'normal',AC087284.1,up,1.2,0.000305668,
'Pick disease' vs 'normal',RP11-617F23.2,up,1.2,0.000305668,
'Pick disease' vs 'normal',AC091271.1,down,-1.3,9.44265e-06,
'Pick disease' vs 'normal',RP11-758H9.2,down,-1.3,9.44265e-06,
'Pick disease' vs 'normal',AL162390.1,up,1.7,1.38735e-05,
'Pick disease' vs 'normal',RP11-386J22.3,up,1.7,1.38735e-05,
'Pick disease' vs 'normal',AC005332.4,down,-1.1,7.25604e-05,
'Pick disease' vs 'normal',AC005332.7,down,-1.1,7.25604e-05,
'Pick disease' vs 'normal',RP11-147L13.15,down,-1.1,7.25604e-05,
'Pick disease' vs 'normal',AC026356.1,up,1.6,0.000148394,
'Pick disease' vs 'normal',RP11-817I4.1,up,1.6,0.000148394,
'Pick disease' vs 'normal',AC130650.2,up,1.1,0.00196024,
'Pick disease' vs 'normal',CTA-276F8.1,up,1.1,0.00196024,
'Pick disease' vs 'normal',AC123768.4,down,-1.0,0.000329859,
'Pick disease' vs 'normal',RP11-1000B6.7,down,-1.0,0.000329859,
'Pick disease' vs 'normal',AP001148.1,down,-1.1,0.000648706,
'Pick disease' vs 'normal',RP11-762L8.6,down,-1.1,0.000648706,
'Pick disease' vs 'normal',AC090181.3,up,1.6,0.000467356,
'Pick disease' vs 'normal',RP11-797A18.5,up,1.6,0.000467356,
'Pick disease' vs 'normal',AC009951.1,up,1.8,1.11148e-05,
'Pick disease' vs 'normal',RP11-107E5.3,up,1.8,1.11148e-05,
'Pick disease' vs 'normal',AC079331.1,up,1.3,0.000450534,
'Pick disease' vs 'normal',RP11-360N9.3,up,1.3,0.000450534,
'Pick disease' vs 'normal',AC105235.1,up,1.0,8.53877e-05,
'Pick disease' vs 'normal',CTD-2014D20.1,up,1.0,8.53877e-05,
'Pick disease' vs 'normal',AC010997.6,up,1.7,0.000797556,
'Pick disease' vs 'normal',RP11-399K21.12,up,1.7,0.000797556,
'Pick disease' vs 'normal',AC091152.4,up,1.2,1.50613e-05,
'Pick disease' vs 'normal',RP11-1072C15.6,up,1.2,1.50613e-05,
'Pick disease' vs 'normal',AC008895.1,up,1.0,3.35008e-05,
'Pick disease' vs 'normal',CTD-2233K9.1,up,1.0,3.35008e-05,
'Pick disease' vs 'normal',AC011676.5,up,1.3,0.000911429,
'Pick disease' vs 'normal',RP11-10J21.2,up,1.3,0.000911429,
'Pick disease' vs 'normal',AC027290.2,up,1.0,1.11148e-05,
'Pick disease' vs 'normal',AC027290.3,up,1.0,1.11148e-05,
'Pick disease' vs 'normal',RP11-463O12.5,up,1.0,1.11148e-05,
'Pick disease' vs 'normal',AC129502.1,up,1.5,8.2078e-05,
'Pick disease' vs 'normal',RP11-1110F20.1,up,1.5,8.2078e-05,
'Pick disease' vs 'normal',SMIM10L1,down,-1.0,0.000101146,
'Pick disease' vs 'normal',ZNF37BP,up,1.0,0.00482705,
'Pick disease' vs 'normal',CCDC152,up,1.3,1.03883e-08,
'Pick disease' vs 'normal',AC139887.2,down,-1.1,6.59211e-05,
'Pick disease' vs 'normal',PCGF3-AS1,down,-1.1,6.59211e-05,
'Pick disease' vs 'normal',HDAC6,down,-1.0,7.09911e-05,
'Pick disease' vs 'normal',CKMT2-AS1,up,1.0,8.45564e-05,
'Pick disease' vs 'normal',FAM196B,down,-1.2,0.00586102,
'Pick disease' vs 'normal',INSYN2B,down,-1.2,0.00586102,
'Pick disease' vs 'normal',ZFHX4-AS1,down,-1.6,3.12149e-06,
'Pick disease' vs 'normal',RPS20P22,up,1.1,0.00391958,
'Pick disease' vs 'normal',CTD-2228K2.7,down,-1.2,9.44265e-06,
'Pick disease' vs 'normal',SLC9A3-AS1,down,-1.2,9.44265e-06,
'Pick disease' vs 'normal',FTX,up,1.6,1.64025e-06,
'progressive supranuclear palsy' vs 'normal',FTX,up,1.5,0.00755108,
'Pick disease' vs 'normal',AK3P3,up,1.0,0.000722468,
'Pick disease' vs 'normal',THAP9-AS1,down,-2.1,1.80582e-05,
'progressive supranuclear palsy' vs 'normal',THAP9-AS1,down,-1.7,0.00897737,
'Pick disease' vs 'normal',PRKAG2-AS1,down,-1.5,0.000658073,
'Pick disease' vs 'normal',ANKRD10-IT1,up,1.6,2.44277e-05,
'Pick disease' vs 'normal',LINC01094,up,2.7,0.000839275,
'Pick disease' vs 'normal',EBLN3,up,1.3,0.000168097,
'Pick disease' vs 'normal',EBLN3P,up,1.3,0.000168097,
'Pick disease' vs 'normal',FOXP1-IT1,up,1.3,2.42559e-06,
'Pick disease' vs 'normal',DAPK1-IT1,up,2.3,1.25004e-05,
'Pick disease' vs 'normal',ADAMTS9-AS2,up,1.6,1.25004e-05,
'progressive supranuclear palsy' vs 'normal',ASAP1-IT2,up,1.2,0.0079404,
'Pick disease' vs 'normal',CHASERR,down,-1.1,0.000395271,
'Pick disease' vs 'normal',LINC01578,down,-1.1,0.000395271,
'Pick disease' vs 'normal',AL356599.1,down,-1.3,1.24486e-05,
'Pick disease' vs 'normal',EPM2A-DT,down,-1.3,1.24486e-05,
'Pick disease' vs 'normal',FBXO30-DT,down,-1.3,1.24486e-05,
'Pick disease' vs 'normal',RP11-545I5.3,down,-1.3,1.24486e-05,
'Pick disease' vs 'normal',TFIP11-DT,down,-1.1,0.000743133,
'Pick disease' vs 'normal',Z95115.1,down,-1.1,0.000743133,
'Pick disease' vs 'normal',CPB2-AS1,down,-1.7,0.000253842,
'progressive supranuclear palsy' vs 'normal',SMC4,down,-1.2,0.00981457,
'Pick disease' vs 'normal',FARSB,down,-1.2,0.000364261,
'Pick disease' vs 'normal',ABCC5,down,-1.0,0.00709351,
'Pick disease' vs 'normal',DNM1L,down,-1.1,0.00309076,
'Pick disease' vs 'normal',MIR499B,up,1.0,0.000644458,
'Pick disease' vs 'normal',TIMM23B,down,-1.4,1.35999e-05,
'Pick disease' vs 'normal',RNU6-82P,up,1.6,8.30428e-05,
'progressive supranuclear palsy' vs 'normal',THRB-IT1,up,1.3,0.0048395,
'Pick disease' vs 'normal',ACTR1B,down,-1.1,2.6445e-05,
'Pick disease' vs 'normal',NAMPT,up,1.9,0.0073721,
'Pick disease' vs 'normal',YAF2,down,-1.3,0.000148159,
