otherLabel,ns,maxOR,maxN,pair
Alzheimer disease,HP,inf,2263.0,
Hypothalamic atrophy,HP,1177.6662442482666,62.0,
Senile plaques,HP,956.2792759072989,611.0,
Increased connective tissue,HP,916.7272585093461,537.0,
Neurofibrillary tangles,HP,793.4892561093475,543.0,
Cerebral white matter atrophy,HP,788.9713433730248,695.0,
Atrophic pituitary gland,HP,602.386942226548,42.0,
Hippocampal sclerosis,HP,552.4152345540623,347.0,
Lewy bodies,HP,487.9436851932558,629.0,
Hippocampal atrophy,HP,459.0825310011092,236.0,
Cerebral cortical atrophy,HP,397.4145728784108,742.0,
Granulovacuolar degeneration,HP,388.6386532660723,151.0,
Dilation of Virchow-Robin spaces,HP,380.1439512250827,458.0,
Cerebral atrophy,HP,320.58902278768176,753.0,
Neuronal loss in central nervous system,HP,274.86498129809115,355.0,
livedoid vasculopathy,MONDO,245.53512196599914,84.0,
Atrophy/Degeneration affecting the brainstem,HP,225.05391596282044,17.0,
Hirano bodies,HP,219.3152077928342,49.0,
Posterior cerebral artery stenosis,HP,174.89573563589215,24.0,
Anterior pituitary dysgenesis,HP,145.39003097631195,42.0,
Frontal release signs,HP,145.1009925033348,25.0,
logopenic progressive aphasia,MONDO,139.4993581255086,15.0,
Dementia,HP,134.06570290904676,1611.0,
perinatal asphyxia,MONDO,131.76104276997611,161.0,
Abnormal cranial nerve morphology,HP,131.75840757547272,42.0,
Cerebral amyloid angiopathy,HP,125.9468509368818,75.0,
cerebral amyloid angiopathy,MONDO,125.9468509368818,75.0,
Gliosis,HP,116.65839928115014,459.0,
Palmomental reflex,HP,115.42719674413561,122.0,
Snout reflex,HP,109.6572947238122,188.0,
Astrocytosis,HP,108.76069391665165,84.0,
cerebrovascular dementia,MONDO,107.14145813680776,11.0,
frontotemporal dementia,MONDO,102.93420523562618,98.0,
Glabellar reflex,HP,94.43105580176612,186.0,
progressive supranuclear palsy,MONDO,93.13126969338413,76.0,
Frontotemporal dementia,HP,87.82269917744897,80.0,
semantic dementia,MONDO,84.21053228956383,100.0,
Encephalopathy,HP,77.95408503751614,632.0,
Neurodegeneration,HP,75.69181269721352,93.0,
corticobasal degeneration disorder,MONDO,75.05040841724697,35.0,
Diffuse cerebral atrophy,HP,73.89757405400748,29.0,
primary progressive aphasia,MONDO,69.85977369737152,22.0,
Delusions,HP,68.27679788468319,265.0,
Mental deterioration,HP,64.90145223746589,365.0,
Abnormality of extrapyramidal motor function,HP,63.31485640791147,15.0,
Impaired executive functioning,HP,60.91503351505412,31.0,
Restlessness,HP,48.38742664926209,222.0,
Brain atrophy,HP,45.897470196365994,39.0,
