adTerm,adLabel,position,other,otherLabel,lnOR,ci,n,pairCount
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0100309,Subdural hemorrhage,2.4335,2.74159,42.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0008765,Auditory hallucinations,1.81521,1.30487,15.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0002362,Shuffling gait,3.04835,2.76874,52.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0002362,Shuffling gait,3.04835,3.32796,52.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0002362,Shuffling gait,,,,52.0
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0002427,Expressive aphasia,2.45346,2.82326,29.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0030891,Periventricular white matter hyperintensities,3.33454,3.71578,28.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0030891,Periventricular white matter hyperintensities,3.33454,2.9533,28.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0030891,Periventricular white matter hyperintensities,,,,28.0
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0002427,Expressive aphasia,2.45346,2.08365,29.0,
http://purl.obolibrary.org/obo/MONDO_0007088,Alzheimer disease type 1,AD_as_subject,http://purl.obolibrary.org/obo/HP_0003228,Hypernatremia,2.29185,1.74219,13.0,
