dLabel,compound,cName,cType,status,approval
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1017,,http://purl.obolibrary.org/obo/NCIT_C43366,,1998.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1017,,http://schema.org/Drug,,1998.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1023,,http://purl.obolibrary.org/obo/NCIT_C43366,,1999.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1023,,http://schema.org/Drug,,1999.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL103,,http://purl.obolibrary.org/obo/NCIT_C43366,,1976.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL103,,http://schema.org/Drug,,1976.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL10316,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL10316,,http://schema.org/Drug,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL106,,http://purl.obolibrary.org/obo/NCIT_C43366,,1990.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL106,,http://schema.org/Drug,,1990.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1064,,http://purl.obolibrary.org/obo/NCIT_C43366,,1991.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1064,,http://schema.org/Drug,,1991.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1072,,http://purl.obolibrary.org/obo/NCIT_C43366,,1983.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1072,,http://schema.org/Drug,,1983.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1076903,,http://purl.obolibrary.org/obo/NCIT_C43366,,2006.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1076903,,http://schema.org/Drug,,2006.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1083390,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1083390,,http://schema.org/Drug,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1083659,,http://purl.obolibrary.org/obo/NCIT_C43366,,2014.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1083659,,http://schema.org/Drug,,2014.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL109,,http://purl.obolibrary.org/obo/NCIT_C43366,,1978.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL109,,http://schema.org/Drug,,1978.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1090771,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1112,,http://purl.obolibrary.org/obo/NCIT_C43366,,2002.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1112,,http://schema.org/Drug,,2002.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL112797,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL11298,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL11298,,http://schema.org/Drug,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL113,,http://purl.obolibrary.org/obo/NCIT_C43366,,1948.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL113,,http://schema.org/Drug,,1948.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1131,,http://purl.obolibrary.org/obo/NCIT_C43366,,1996.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1131,,http://schema.org/Drug,,1996.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1140,,http://purl.obolibrary.org/obo/NCIT_C43366,,1982.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1140,,http://schema.org/Drug,,1982.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL118,,http://purl.obolibrary.org/obo/NCIT_C43366,,1998.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL118,,http://schema.org/Drug,,1998.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL119385,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200574,,http://purl.obolibrary.org/obo/NCIT_C43366,,1982.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200574,,http://schema.org/Drug,,1982.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200699,,http://purl.obolibrary.org/obo/NCIT_C43366,,1967.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200699,,http://schema.org/Drug,,1967.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200711,,http://purl.obolibrary.org/obo/NCIT_C43366,,2004.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200711,,http://schema.org/Drug,,2004.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200806,,http://purl.obolibrary.org/obo/NCIT_C43366,,1980.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200806,,http://schema.org/Drug,,1980.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200826,,http://purl.obolibrary.org/obo/NCIT_C43366,,1970.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200826,,http://schema.org/Drug,,1970.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200904,,http://purl.obolibrary.org/obo/NCIT_C43366,,1989.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1200904,,http://schema.org/Drug,,1989.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201066,,http://purl.obolibrary.org/obo/NCIT_C43366,,1993.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201066,,http://schema.org/Drug,,1993.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201092,,http://purl.obolibrary.org/obo/NCIT_C43366,,1998.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201092,,http://schema.org/Drug,,1998.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201168,,http://purl.obolibrary.org/obo/NCIT_C43366,,1959.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201168,,http://schema.org/Drug,,1959.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201774,,http://purl.obolibrary.org/obo/NCIT_C43366,,2007.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1201774,,http://schema.org/Drug,,2007.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL121,,http://purl.obolibrary.org/obo/NCIT_C43366,,1999.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL121,,http://schema.org/Drug,,1999.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL122,,http://purl.obolibrary.org/obo/NCIT_C43366,,1999.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL122,,http://schema.org/Drug,,1999.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1222251,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1222251,,http://schema.org/Drug,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1256786,,http://purl.obolibrary.org/obo/NCIT_C43366,,2001.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1256786,,http://schema.org/Drug,,2001.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL127071,,http://purl.obolibrary.org/obo/NCIT_C43366,,
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1276308,,http://purl.obolibrary.org/obo/NCIT_C43366,,2000.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1276308,,http://schema.org/Drug,,2000.0
Alzheimer disease,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1277001,,http://purl.obolibrary.org/obo/NCIT_C43366,,
