go,K
http://purl.obolibrary.org/obo/GO_0000012,6
http://purl.obolibrary.org/obo/GO_0000014,2
http://purl.obolibrary.org/obo/GO_0000017,2
http://purl.obolibrary.org/obo/GO_0000018,3
http://purl.obolibrary.org/obo/GO_0000019,2
http://purl.obolibrary.org/obo/GO_0000023,1
http://purl.obolibrary.org/obo/GO_0000025,1
http://purl.obolibrary.org/obo/GO_0000026,2
http://purl.obolibrary.org/obo/GO_0000027,8
http://purl.obolibrary.org/obo/GO_0000028,6
http://purl.obolibrary.org/obo/GO_0000030,6
http://purl.obolibrary.org/obo/GO_0000033,2
http://purl.obolibrary.org/obo/GO_0000036,1
http://purl.obolibrary.org/obo/GO_0000038,5
http://purl.obolibrary.org/obo/GO_0000045,23
http://purl.obolibrary.org/obo/GO_0000048,2
http://purl.obolibrary.org/obo/GO_0000049,42
http://purl.obolibrary.org/obo/GO_0000050,7
http://purl.obolibrary.org/obo/GO_0000053,1
http://purl.obolibrary.org/obo/GO_0000054,2
http://purl.obolibrary.org/obo/GO_0000055,5
http://purl.obolibrary.org/obo/GO_0000056,4
http://purl.obolibrary.org/obo/GO_0000062,8
http://purl.obolibrary.org/obo/GO_0000064,2
http://purl.obolibrary.org/obo/GO_0000070,18
http://purl.obolibrary.org/obo/GO_0000076,7
http://purl.obolibrary.org/obo/GO_0000077,21
http://purl.obolibrary.org/obo/GO_0000079,11
http://purl.obolibrary.org/obo/GO_0000082,35
http://purl.obolibrary.org/obo/GO_0000086,27
http://purl.obolibrary.org/obo/GO_0000096,1
http://purl.obolibrary.org/obo/GO_0000098,2
http://purl.obolibrary.org/obo/GO_0000101,1
http://purl.obolibrary.org/obo/GO_0000103,2
http://purl.obolibrary.org/obo/GO_0000121,1
http://purl.obolibrary.org/obo/GO_0000122,385
http://purl.obolibrary.org/obo/GO_0000132,15
http://purl.obolibrary.org/obo/GO_0000137,5
http://purl.obolibrary.org/obo/GO_0000138,4
http://purl.obolibrary.org/obo/GO_0000139,399
http://purl.obolibrary.org/obo/GO_0000146,11
http://purl.obolibrary.org/obo/GO_0000149,14
