sym,go,goLabel,ns
A2M,http://purl.obolibrary.org/obo/GO_0001869,"negative regulation of complement activation, lectin pathway",Biological Process
A2M,http://purl.obolibrary.org/obo/GO_0002020,protease binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0004866,endopeptidase inhibitor activity,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0004867,serine-type endopeptidase inhibitor activity,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0005102,signaling receptor binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0005515,protein binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0005576,extracellular region,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0005615,extracellular space,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0019838,growth factor binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0019899,enzyme binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0019959,interleukin-8 binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0019966,interleukin-1 binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0030414,peptidase inhibitor activity,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0031012,extracellular matrix,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0031093,platelet alpha granule lumen,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0043120,tumor necrosis factor binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0048306,calcium-dependent protein binding,Molecular Function
A2M,http://purl.obolibrary.org/obo/GO_0070062,extracellular exosome,Cellular Component
A2M,http://purl.obolibrary.org/obo/GO_0072562,blood microparticle,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0000166,nucleotide binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005102,signaling receptor binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005515,protein binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005524,ATP binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005548,phospholipid transporter activity,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0005768,endosome,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0005789,endoplasmic reticulum membrane,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0005794,Golgi apparatus,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component
ABCA1,http://purl.obolibrary.org/obo/GO_0006629,lipid metabolic process,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007040,lysosome organization,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007186,G protein-coupled receptor signaling pathway,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0007584,response to nutrient,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0008035,high-density lipoprotein particle binding,Molecular Function
ABCA1,http://purl.obolibrary.org/obo/GO_0008202,steroid metabolic process,Biological Process
ABCA1,http://purl.obolibrary.org/obo/GO_0008203,cholesterol metabolic process,Biological Process
