pw,K
https://identifiers.org/reactome/R-HSA-1059683,10
https://identifiers.org/reactome/R-HSA-109704,21
https://identifiers.org/reactome/R-HSA-110056,10
https://identifiers.org/reactome/R-HSA-110312,12
https://identifiers.org/reactome/R-HSA-110314,23
https://identifiers.org/reactome/R-HSA-110320,14
https://identifiers.org/reactome/R-HSA-110328,16
https://identifiers.org/reactome/R-HSA-110329,16
https://identifiers.org/reactome/R-HSA-110330,17
https://identifiers.org/reactome/R-HSA-110331,17
https://identifiers.org/reactome/R-HSA-110357,3
https://identifiers.org/reactome/R-HSA-110362,8
https://identifiers.org/reactome/R-HSA-110373,2
https://identifiers.org/reactome/R-HSA-110381,3
https://identifiers.org/reactome/R-HSA-111367,6
https://identifiers.org/reactome/R-HSA-111446,3
https://identifiers.org/reactome/R-HSA-111447,13
https://identifiers.org/reactome/R-HSA-111448,1
https://identifiers.org/reactome/R-HSA-111452,1
https://identifiers.org/reactome/R-HSA-111453,6
https://identifiers.org/reactome/R-HSA-111457,4
https://identifiers.org/reactome/R-HSA-111458,5
https://identifiers.org/reactome/R-HSA-111459,6
https://identifiers.org/reactome/R-HSA-111463,7
https://identifiers.org/reactome/R-HSA-111464,7
https://identifiers.org/reactome/R-HSA-111465,16
https://identifiers.org/reactome/R-HSA-111469,4
https://identifiers.org/reactome/R-HSA-111471,1
https://identifiers.org/reactome/R-HSA-111885,2
https://identifiers.org/reactome/R-HSA-111931,5
https://identifiers.org/reactome/R-HSA-111932,10
https://identifiers.org/reactome/R-HSA-111933,5
https://identifiers.org/reactome/R-HSA-111957,4
https://identifiers.org/reactome/R-HSA-111995,2
https://identifiers.org/reactome/R-HSA-111997,1
https://identifiers.org/reactome/R-HSA-112043,5
https://identifiers.org/reactome/R-HSA-112126,3
https://identifiers.org/reactome/R-HSA-112303,2
https://identifiers.org/reactome/R-HSA-112308,7
https://identifiers.org/reactome/R-HSA-112310,1
https://identifiers.org/reactome/R-HSA-112311,4
https://identifiers.org/reactome/R-HSA-112314,7
https://identifiers.org/reactome/R-HSA-112382,37
https://identifiers.org/reactome/R-HSA-112399,5
https://identifiers.org/reactome/R-HSA-112409,6
https://identifiers.org/reactome/R-HSA-112411,9
https://identifiers.org/reactome/R-HSA-112412,7
https://identifiers.org/reactome/R-HSA-113418,16
https://identifiers.org/reactome/R-HSA-113501,6
https://identifiers.org/reactome/R-HSA-113507,3
https://identifiers.org/reactome/R-HSA-114294,2
https://identifiers.org/reactome/R-HSA-114508,12
https://identifiers.org/reactome/R-HSA-114516,4
https://identifiers.org/reactome/R-HSA-114604,27
https://identifiers.org/reactome/R-HSA-114608,103
https://identifiers.org/reactome/R-HSA-1169091,46
https://identifiers.org/reactome/R-HSA-1169092,5
https://identifiers.org/reactome/R-HSA-1169408,60
https://identifiers.org/reactome/R-HSA-1170546,8
https://identifiers.org/reactome/R-HSA-1181150,11
https://identifiers.org/reactome/R-HSA-1221632,32
https://identifiers.org/reactome/R-HSA-1222449,1
https://identifiers.org/reactome/R-HSA-1222556,15
https://identifiers.org/reactome/R-HSA-1227986,13
https://identifiers.org/reactome/R-HSA-1234158,8
https://identifiers.org/reactome/R-HSA-1234174,2
https://identifiers.org/reactome/R-HSA-1234176,45
