go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0005515,protein binding,Molecular Function,166
http://purl.obolibrary.org/obo/GO_0005886,plasma membrane,Cellular Component,92
http://purl.obolibrary.org/obo/GO_0005737,cytoplasm,Cellular Component,84
http://purl.obolibrary.org/obo/GO_0016020,membrane,Cellular Component,82
http://purl.obolibrary.org/obo/GO_0005634,nucleus,Cellular Component,70
http://purl.obolibrary.org/obo/GO_0005829,cytosol,Cellular Component,67
http://purl.obolibrary.org/obo/GO_0070062,extracellular exosome,Cellular Component,46
http://purl.obolibrary.org/obo/GO_0046872,metal ion binding,Molecular Function,43
http://purl.obolibrary.org/obo/GO_0005654,nucleoplasm,Cellular Component,42
http://purl.obolibrary.org/obo/GO_0005576,extracellular region,Cellular Component,40
http://purl.obolibrary.org/obo/GO_0042802,identical protein binding,Molecular Function,34
http://purl.obolibrary.org/obo/GO_0005615,extracellular space,Cellular Component,32
http://purl.obolibrary.org/obo/GO_0009986,cell surface,Cellular Component,32
http://purl.obolibrary.org/obo/GO_0000166,nucleotide binding,Molecular Function,27
http://purl.obolibrary.org/obo/GO_0005794,Golgi apparatus,Cellular Component,26
http://purl.obolibrary.org/obo/GO_0016787,hydrolase activity,Molecular Function,25
http://purl.obolibrary.org/obo/GO_0005739,mitochondrion,Cellular Component,25
http://purl.obolibrary.org/obo/GO_0031410,cytoplasmic vesicle,Cellular Component,25
http://purl.obolibrary.org/obo/GO_0005524,ATP binding,Molecular Function,25
http://purl.obolibrary.org/obo/GO_0016740,transferase activity,Molecular Function,24
http://purl.obolibrary.org/obo/GO_0007165,signal transduction,Biological Process,23
http://purl.obolibrary.org/obo/GO_0008270,zinc ion binding,Molecular Function,22
http://purl.obolibrary.org/obo/GO_0042803,protein homodimerization activity,Molecular Function,21
http://purl.obolibrary.org/obo/GO_0010628,positive regulation of gene expression,Biological Process,21
http://purl.obolibrary.org/obo/GO_0005783,endoplasmic reticulum,Cellular Component,21
http://purl.obolibrary.org/obo/GO_0005764,lysosome,Cellular Component,21
http://purl.obolibrary.org/obo/GO_0009897,external side of plasma membrane,Cellular Component,20
http://purl.obolibrary.org/obo/GO_0008233,peptidase activity,Molecular Function,19
http://purl.obolibrary.org/obo/GO_0006508,proteolysis,Biological Process,19
http://purl.obolibrary.org/obo/GO_0007155,cell adhesion,Biological Process,19
http://purl.obolibrary.org/obo/GO_0048471,perinuclear region of cytoplasm,Cellular Component,19
http://purl.obolibrary.org/obo/GO_0006915,apoptotic process,Biological Process,18
