abbr,name,cas,dtxsid,chem_class,primary_uses
BPA,Bisphenol A,80-05-7,DTXSID7020182,diphenylmethane bisphenol,"polycarbonate plastics; epoxy resins; thermal paper; can linings"
BPS,Bisphenol S,80-09-1,DTXSID3022409,diaryl sulfone bisphenol,"BPA-free thermal paper; epoxy; polyethersulfone"
BPF,Bisphenol F,2467-02-9,DTXSID4022446,diphenylmethane bisphenol,"epoxy resins; coatings; lacquers"
BPAF,Bisphenol AF,1478-61-1,DTXSID7037717,fluorinated bisphenol,"fluoroelastomers; high-performance polymers"
BPB,Bisphenol B,77-40-7,DTXSID4022442,diphenylmethane bisphenol,"phenolic resins (industrial)"
BPE,Bisphenol E,2081-08-5,DTXSID3047891,diphenylethane bisphenol,"polymer intermediate"
BPZ,Bisphenol Z,843-55-0,DTXSID4047963,cyclohexylidene bisphenol,"specialty polymers"
BPAP,Bisphenol AP,1571-75-1,DTXSID5051444,diarylethylidene bisphenol,"specialty polycarbonate; UV absorber"
BPP,Bisphenol P,2167-51-3,DTXSID0058693,diphenyl bisphenol,"heat-resistant polymers"
TBBPA,Tetrabromobisphenol A,79-94-7,DTXSID1026081,brominated flame retardant,"flame retardant in circuit boards/electronics"
TCBPA,Tetrachlorobisphenol A,79-95-8,DTXSID3021770,chlorinated bisphenol,"flame retardant"
BADGE,Bisphenol A diglycidyl ether,1675-54-3,DTXSID6024624,epoxy monomer,"epoxy resins; food-can coatings"
BisGMA,Bisphenol A glycidyl methacrylate,1565-94-2,DTXSID7044841,dimethacrylate monomer,"dental composite resins/sealants"
