DTXSID,abbr,n_target_genes,n_active_assays,min_ac50_uM
DTXSID7037717,BPAF,127,213,0.0020398207175211
DTXSID1026081,TBBPA,105,172,0.002000000073388
DTXSID4022442,BPB,89,142,0.102989988226927
DTXSID4038922,TBBPA-DHEE,78,118,0.220409141612805
DTXSID8047890,"3,3-diMe-BPA",71,115,0.080000000001484
DTXSID3021770,TCBPA,66,138,0.143917703122214
DTXSID7020182,BPA,55,103,0.0046646730364282
DTXSID6024624,BADGE,37,46,1.42236461119561
DTXSID7044841,BisGMA,35,44,1.8657719598414
DTXSID4047963,BPZ,27,37,0.180064796981083
DTXSID5051444,BPAP,26,29,0.11574583667598
DTXSID4022446,BPF,18,33,2.08702166345031
DTXSID3047891,BPE,17,27,0.247102424557359
DTXSID4038899,TBu-EBP,12,14,0.080000000001484
DTXSID3022409,BPS,10,35,0.796865215943676
