chemical,disease,category,genes_ICE_x_rdkg,effect_domain,aop_curated,min_AC50_uM,key_genes,n_evidence_types,tier
TBBPA,unipolar depression,Neuro-behavioral,18,1,1,1.411,AR|CCL2|CCND1|CXCL10|CXCL8|CYP2C19|CYP2C9|ESR1,3,A
TBBPA,thyroid cancer,Thyroid/Endocrine,10,1,1,0.002,CCL2|CCND1|CXCL10|CXCL8|HIF1A|PPARG|PTEN|SLC5A5,3,A
BPA,unipolar depression,Neuro-behavioral,8,1,1,0.098,AR|CYP2C19|CYP2C9|ESR1|ESR2|NR3C1|OPRM1|SLC6A3,3,A
BPAF,breast carcinoma,Hormone-dependent cancer,36,1,0,0.035,AHR|AR|CAT|CD40|CSF1|CXCL8|CXCL9|CYP19A1,2,A
BPAF,prostate cancer,Hormone-dependent cancer,33,1,0,0.035,ADRB2|AHR|AR|CXCL8|CYP19A1|CYP1A1|CYP2C19|CYP3A4,2,A
TBBPA,liver cancer,Cancer,31,1,0,0.002,ACOX1|AR|CCND1|CXCL8|CYP2B6|CYP2E1|EGR1|ESR1,2,A
TBBPA,prostate cancer,Hormone-dependent cancer,31,1,0,0.93,AR|BAX|CCND1|CDKN1A|CXCL8|CYP19A1|CYP2C19|CYP2E1,2,A
BPAF,unipolar depression,Neuro-behavioral,30,1,0,0.035,ADORA2A|ADRB1|AR|CAT|CCL2|CXCL10|CXCL8|CYP2C19,2,A
BPAF,liver cancer,Cancer,29,1,0,0.002,AHR|AR|CXCL8|CYP1A1|CYP2B6|CYP4A11|EGF|EGR1,2,A
TBBPA,breast carcinoma,Hormone-dependent cancer,29,1,0,4.0,AR|BAX|CCND1|CD40|CSF1|CXCL8|CXCL9|CYP19A1,2,A
BPB,breast carcinoma,Hormone-dependent cancer,27,1,0,0.103,ABCG2|AR|CCND1|CD40|CSF1|CXCL8|CYP19A1|ESR1,2,A
BPB,liver cancer,Cancer,25,1,0,0.114,ACOX1|AR|CCND1|CXCL8|CYP1A2|CYP4A11|EGR1|ESR1,2,A
TBBPA-DHEE,breast carcinoma,Hormone-dependent cancer,24,1,0,0.22,AR|CD40|CSF1|CXCL8|CXCL9|CYP19A1|CYP24A1|ESR1,2,A
TBBPA-DHEE,liver cancer,Cancer,23,1,0,0.22,AR|CEBPB|CXCL8|DCN|EGR1|ESR1|FOS|IL2,2,A
TCBPA,breast carcinoma,Hormone-dependent cancer,23,1,0,0.2,AR|CD40|CSF1|CXCL8|CXCL9|CYP19A1|DIO3|ESR1,2,A
TBBPA,non-alcoholic steatohepatitis,Metabolic/Liver,22,1,0,0.93,CCL2|COL3A1|CXCL8|CYP19A1|CYP2E1|FAS|IL1A|MMP1,2,A
TBBPA-DHEE,prostate cancer,Hormone-dependent cancer,22,1,0,1.103,AR|CXCL8|CYP19A1|CYP2C19|EGR1|ESR1|ESR2|FGF2,2,A
BPAF,non-alcoholic steatohepatitis,Metabolic/Liver,21,1,0,2.326,AHR|CAT|CCL2|COL3A1|CXCL8|CYP19A1|DDIT3|IL1A,2,A
BPAF,obesity disorder,Metabolic,21,1,0,0.002,ADRB1|ADRB2|AHR|CCL2|CD40|DDIT3|ESR1|HTR2C,2,A
TCBPA,prostate cancer,Hormone-dependent cancer,21,1,0,0.144,AR|CXCL8|CYP19A1|CYP2C19|EGR1|ESR1|ESR2|FGF2,2,A
BPB,prostate cancer,Hormone-dependent cancer,20,1,0,0.103,AR|CCND1|CXCL8|CYP19A1|EGR1|ESR1|ESR2|EZR,2,A
BPAF,coronary artery disease,Cardiovascular,19,1,0,0.035,ADRB1|ADRB2|CCL2|CD38|CXCL10|ESR1|ESR2|F3,2,B
BPA,liver cancer,Cancer,19,1,0,0.005,AHR|AR|CYP1A1|CYP1A2|CYP2B6|ESR1|FOS|NFE2L2,2,B
TCBPA,liver cancer,Cancer,19,1,0,0.2,AR|CXCL8|EGR1|ESR1|GLI1|IL6|JUN|MMP9,2,B
"3,3-diMe-BPA",breast carcinoma,Hormone-dependent cancer,19,1,0,0.286,AR|CD40|CSF1|CXCL8|CYP19A1|CYP24A1|ESR1|ESR2,2,B
"3,3-diMe-BPA",prostate cancer,Hormone-dependent cancer,19,1,0,0.08,AR|CXCL8|CYP19A1|CYP2C19|EGR1|ESR1|ESR2|HIF1A,2,B
BPB,unipolar depression,Neuro-behavioral,19,1,0,0.103,AR|CCL2|CCND1|CXCL10|CXCL8|CYP2C9|DRD1|ESR1,2,B
TBBPA-DHEE,unipolar depression,Neuro-behavioral,19,1,0,0.897,AR|CCL2|CXCL10|CXCL8|CYP2C19|CYP2C9|ESR1|ESR2,2,B
BPAF,ischemia reperfusion injury,Cardiovascular,18,1,0,5.0,ADORA2A|CAT|CCL2|CXCL8|EGF|EGR1|FOS|HSPA1A,2,B
TBBPA,coronary artery disease,Cardiovascular,18,1,0,4.0,CCL2|CCND1|CD38|CXCL10|ESR1|ESR2|F3|GCLC,2,B
"3,3-diMe-BPA",liver cancer,Cancer,18,1,0,0.286,AR|CXCL8|EGR1|ESR1|GLI1|IL6|MMP9|NFE2L2,2,B
BPA,breast carcinoma,Hormone-dependent cancer,18,1,0,0.005,AHR|AR|CD40|CYP1A1|CYP3A4|ESR1|ESR2|ESRRA,2,B
TBBPA-DHEE,coronary artery disease,Cardiovascular,17,1,0,4.0,CCL2|CD38|CXCL10|DCN|ESR1|ESR2|F3|FGF2,2,B
TBBPA,obesity disorder,Metabolic,17,1,0,0.002,CCL2|CD40|CYP2E1|ESR1|FOXO3|ICAM1|LPL|NQO1,2,B
"3,3-diMe-BPA",unipolar depression,Neuro-behavioral,17,1,0,0.286,AR|CCL2|CXCL10|CXCL8|CYP2C19|CYP2C9|ESR1|ESR2,2,B
TCBPA,unipolar depression,Neuro-behavioral,17,1,0,0.144,AR|CCL2|CXCL10|CXCL8|CYP2C19|CYP2C9|ESR1|ESR2,2,B
TCBPA,coronary artery disease,Cardiovascular,16,1,0,0.2,CCL2|CD38|CXCL10|ESR1|ESR2|F3|FGF2|ICAM1,2,B
BPAF,brain ischemia,Cardiovascular,16,1,0,5.0,CAT|CCL2|CHRM1|CXCL10|EGR1|HIF1A|IL1A|IL6,2,B
BPA,prostate cancer,Hormone-dependent cancer,16,1,0,0.005,AHR|AR|CYP1A1|CYP2C18|CYP2C19|CYP3A4|ESR1|ESR2,2,B
TBBPA-DHEE,ischemia reperfusion injury,Cardiovascular,15,1,0,2.733,CCL2|CXCL8|EGR1|ETS1|FGF2|FOS|ICAM1|IL1A,2,B
TCBPA,ischemia reperfusion injury,Cardiovascular,15,1,0,0.2,CCL2|CXCL8|EGR1|FGF2|ICAM1|IL1A|IL6|JUN,2,B
TBBPA,myocardial ischemia,Cardiovascular,15,1,0,4.0,CCL2|CCND1|CD38|CXCL10|F3|GCLC|HMGCS2|ICAM1,2,B
TBBPA,ischemia reperfusion injury,Cardiovascular,14,1,0,0.002,CASP3|CCL2|CDKN1A|CXCL8|EGR1|ICAM1|IL1A|JUN,2,B
BPAF,myocardial ischemia,Cardiovascular,14,1,0,20.0,ADRB1|ADRB2|CCL2|CD38|CXCL10|F3|HMGCS2|HSPA1A,2,B
