trait,tlabel,n_genes
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a55fbbd2f871eea292d,rare v2,100
http://www.orpha.net/ORDO/Orphanet_98053,Rare genetic disease,93
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f4bed64635235e69055c,Total bilirubin,82
https://purl.org/okn/frink/kg/digcfdekg/node/trait/3b10714f934e10bc9e01,Direct bilirubin,79
http://www.orpha.net/ORDO/Orphanet_156638,Rare genetic endocrine disease,76
http://www.orpha.net/ORDO/Orphanet_97978,Rare endocrine disease,73
http://www.ebi.ac.uk/efo/EFO_0004908,testosterone measurement,73
https://purl.org/okn/frink/kg/digcfdekg/node/trait/64dc3d26f1e92c57595a,Abdominal aortic aneurysm,71
http://www.orpha.net/ORDO/Orphanet_565779,Rare disorder potentially indicated for transplant or complication after transplantation,68
http://www.orpha.net/ORDO/Orphanet_506207,Rare disorder potentially indicated for transplant,67
https://purl.org/okn/frink/kg/digcfdekg/node/trait/1ea0d277668217c049a0,Maternal genetic effect on offspring birth weight,67
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5f8ca4c2d4a8ec326aa4,Fetal genetic effect on own birth weight,65
http://www.orpha.net/ORDO/Orphanet_93890,Rare developmental defect during embryogenesis,64
http://www.orpha.net/ORDO/Orphanet_183530,Rare genetic developmental defect during embryogenesis,63
https://purl.org/okn/frink/kg/digcfdekg/node/trait/83ffcb32961358c670c5,HbA1c adj BMI,62
https://purl.org/okn/frink/kg/digcfdekg/node/trait/462ff334979211cbf280,Sex hormone binding globulin (SHBG) levels,62
https://purl.org/okn/frink/kg/digcfdekg/node/trait/25da761ec4365c45f655,Hypothyroidism; not otherwise specified,60
http://purl.obolibrary.org/obo/HP_0100280,Crohn's disease,60
http://www.ebi.ac.uk/efo/EFO_0004574,Total cholesterol,60
https://purl.org/okn/frink/kg/digcfdekg/node/trait/2d7f850742d766e97812,Type 2 diabetes (additive model),60
https://purl.org/okn/frink/kg/digcfdekg/node/trait/0585d6614db9516e6927,Triglyceride levels in individuals without type 2 diabetes,59
https://purl.org/okn/frink/kg/digcfdekg/node/trait/63678529c7e12c900678,Ulcerative colitis,59
http://purl.obolibrary.org/obo/HP_0000822,Hypertension,59
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8edddc5843dcc9b4171c,Sex hormone-binding globulin levels adj BMI,59
http://purl.obolibrary.org/obo/MONDO_0005266,Diabetic retinopathy,58
https://purl.org/okn/frink/kg/digcfdekg/node/trait/66c90e93a8e31b0d68d7,Type 2 diabetes (T2D) adj BMI,58
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e9a7cbf9000436a8a46c,Graves' disease,58
https://purl.org/okn/frink/kg/digcfdekg/node/trait/734b32b95e4d4ec928b4,Plasma C-reactive protein,58
http://www.orpha.net/ORDO/Orphanet_250908,Rare neoplastic disease,57
http://www.orpha.net/ORDO/Orphanet_98057,Rare tumor,57
http://www.ebi.ac.uk/efo/EFO_0004611,low density lipoprotein cholesterol measurement,57
http://www.ebi.ac.uk/efo/EFO_0004541,HbA1c,57
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ae909733f252b0cfd74e,Type 2 diabetes with ophthalmic manifestations,57
https://purl.org/okn/frink/kg/digcfdekg/node/trait/d61690ba1df2ea382561,Non-HDL cholesterol,56
http://www.ebi.ac.uk/efo/EFO_0004533,Alkaline phosphatase (ALP),56
http://www.ebi.ac.uk/efo/EFO_0004348,hematocrit,56
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ece8e3266c79fa638613,Mosaic chromosomal alteration of the Y chromosome,56
https://purl.org/okn/frink/kg/digcfdekg/node/trait/5b589311e87ab0908de9,Seropositive rheumatoid arthritis,56
https://purl.org/okn/frink/kg/digcfdekg/node/trait/2b34c74a96a2933c519a,Waist-hip ratio adj BMI,56
http://www.orpha.net/ORDO/Orphanet_98006,Rare neurologic disease,56
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4e83c1d73ea294926d22,Random glucose,55
http://www.ebi.ac.uk/efo/EFO_0004696,sex hormone-binding globulin measurement,55
http://www.orpha.net/ORDO/Orphanet_96344,Rare gynecologic or obstetric disease,55
https://purl.org/okn/frink/kg/digcfdekg/node/trait/afd7e28c816edd556fc1,Total plasma protein,55
http://www.ebi.ac.uk/efo/EFO_0004343,waist-hip ratio,55
https://purl.org/okn/frink/kg/digcfdekg/node/trait/67879044b385a3c3c098,Inflammatory bowel disease (IBD),55
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b33b3f2a47f94086e2ad,Childhood-onset asthma,55
http://www.ebi.ac.uk/efo/EFO_0004195,LDL cholesterol,54
http://www.ebi.ac.uk/efo/EFO_0004736,Aspartate aminotransferase (AST),54
https://purl.org/okn/frink/kg/digcfdekg/node/trait/57f8bc8d7a94263b6ab0,Allergic disease (asthma; hay fever; or eczema),54
http://www.ebi.ac.uk/efo/EFO_0006336,diastolic blood pressure,54
http://www.ebi.ac.uk/efo/EFO_0007005,free androgen index,53
http://www.orpha.net/ORDO/Orphanet_101997,Primary immunodeficiency,53
https://purl.org/okn/frink/kg/digcfdekg/node/trait/778bf57bfbdb7c29b0f5,Myocardial infarction,53
