abbr,DTXSID,effect_domain,n_assays
"3,3-diMe-BPA",DTXSID8047890,AcuteTox,66
"3,3-diMe-BPA",DTXSID8047890,Androgen,5
"3,3-diMe-BPA",DTXSID8047890,Cancer,96
"3,3-diMe-BPA",DTXSID8047890,CardioTox,53
"3,3-diMe-BPA",DTXSID8047890,Cardiomyocyte/Myocardial Injury,6
"3,3-diMe-BPA",DTXSID8047890,Change in Vasoactivity,8
"3,3-diMe-BPA",DTXSID8047890,DART,54
"3,3-diMe-BPA",DTXSID8047890,Endothelial Injury/Coagulation,39
"3,3-diMe-BPA",DTXSID8047890,Estrogen,10
"3,3-diMe-BPA",DTXSID8047890,Other Steroid Hormone,13
"3,3-diMe-BPA",DTXSID8047890,Thyroid Hormone,3
BADGE,DTXSID6024624,AcuteTox,36
BADGE,DTXSID6024624,Androgen,6
BADGE,DTXSID6024624,Cancer,63
BADGE,DTXSID6024624,CardioTox,10
BADGE,DTXSID6024624,Cardiomyocyte/Myocardial Injury,4
BADGE,DTXSID6024624,Change in Vasoactivity,1
BADGE,DTXSID6024624,DART,30
BADGE,DTXSID6024624,Endothelial Injury/Coagulation,5
BADGE,DTXSID6024624,Estrogen,4
BADGE,DTXSID6024624,Other Steroid Hormone,7
BADGE,DTXSID6024624,Thyroid Hormone,6
BPA,DTXSID7020182,AcuteTox,69
BPA,DTXSID7020182,Androgen,13
BPA,DTXSID7020182,Cancer,100
BPA,DTXSID7020182,CardioTox,39
BPA,DTXSID7020182,Cardiomyocyte/Myocardial Injury,4
BPA,DTXSID7020182,Change in Vasoactivity,6
BPA,DTXSID7020182,DART,69
BPA,DTXSID7020182,Endothelial Injury/Coagulation,25
BPA,DTXSID7020182,Estrogen,39
BPA,DTXSID7020182,Other Steroid Hormone,8
BPA,DTXSID7020182,Thyroid Hormone,5
BPA,DTXSID7020182,Valvular Injury/Proliferation,2
BPAF,DTXSID7037717,AcuteTox,133
BPAF,DTXSID7037717,Androgen,11
BPAF,DTXSID7037717,Cancer,158
BPAF,DTXSID7037717,CardioTox,92
BPAF,DTXSID7037717,Cardiomyocyte/Myocardial Injury,6
BPAF,DTXSID7037717,Change in Action Potential,8
BPAF,DTXSID7037717,Change in Inotropy,4
BPAF,DTXSID7037717,Change in Vasoactivity,15
BPAF,DTXSID7037717,DART,88
BPAF,DTXSID7037717,Endothelial Injury/Coagulation,62
BPAF,DTXSID7037717,Estrogen,39
BPAF,DTXSID7037717,Other Steroid Hormone,13
BPAF,DTXSID7037717,Thyroid Hormone,9
BPAF,DTXSID7037717,Valvular Injury/Proliferation,5
BPAP,DTXSID5051444,AcuteTox,31
BPAP,DTXSID5051444,Androgen,1
BPAP,DTXSID5051444,Cancer,48
BPAP,DTXSID5051444,CardioTox,6
BPAP,DTXSID5051444,Cardiomyocyte/Myocardial Injury,2
BPAP,DTXSID5051444,DART,15
BPAP,DTXSID5051444,Endothelial Injury/Coagulation,4
BPAP,DTXSID5051444,Estrogen,4
BPAP,DTXSID5051444,Other Steroid Hormone,2
BPAP,DTXSID5051444,Thyroid Hormone,1
BPB,DTXSID4022442,AcuteTox,76
BPB,DTXSID4022442,Androgen,12
BPB,DTXSID4022442,Cancer,117
BPB,DTXSID4022442,CardioTox,63
BPB,DTXSID4022442,Cardiomyocyte/Myocardial Injury,7
BPB,DTXSID4022442,Change in Vasoactivity,8
BPB,DTXSID4022442,DART,77
BPB,DTXSID4022442,Endothelial Injury/Coagulation,42
BPB,DTXSID4022442,Estrogen,22
BPB,DTXSID4022442,Other Steroid Hormone,8
BPB,DTXSID4022442,Thyroid Hormone,5
BPB,DTXSID4022442,Valvular Injury/Proliferation,4
BPE,DTXSID3047891,AcuteTox,17
BPE,DTXSID3047891,Androgen,2
BPE,DTXSID3047891,Cancer,40
BPE,DTXSID3047891,CardioTox,8
BPE,DTXSID3047891,Cardiomyocyte/Myocardial Injury,2
BPE,DTXSID3047891,DART,17
BPE,DTXSID3047891,Endothelial Injury/Coagulation,6
BPE,DTXSID3047891,Estrogen,8
BPE,DTXSID3047891,Other Steroid Hormone,2
BPF,DTXSID4022446,AcuteTox,20
BPF,DTXSID4022446,Androgen,5
BPF,DTXSID4022446,Cancer,43
BPF,DTXSID4022446,CardioTox,10
BPF,DTXSID4022446,Cardiomyocyte/Myocardial Injury,3
BPF,DTXSID4022446,DART,23
BPF,DTXSID4022446,Endothelial Injury/Coagulation,7
BPF,DTXSID4022446,Estrogen,15
BPF,DTXSID4022446,Other Steroid Hormone,2
BPS,DTXSID3022409,AcuteTox,6
