entrez,symbol,n_bisphenols,bisphenols,n_assays,min_ac50_uM,median_ac50_uM
8856,NR1I2,15,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA",5,0.080000000001484,6.34417784461797
2099,ESR1,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",21,0.0348028788322721,4.35678777518172
367,AR,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",14,1.29953609840391,25.46397053722335
5241,PGR,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",9,0.633285449353635,11.2464493012296
6469,SHH,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",1,13.9811678809809,32.69126488782915
5468,PPARG,13,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",6,0.002000000073388,6.319811686281875
2100,ESR2,13,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|TBBPA|TBBPA-DHEE|TCBPA",6,0.0403996563402947,2.655018373325645
4780,NFE2L2,13,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",2,0.644538663801431,24.5368709401518
7421,VDR,12,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",1,1.10270099258443,9.663029241111424
4520,MTF1,12,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",1,8.55743573226647,35.1746606090593
9971,NR1H4,11,"3,3-diMe-BPA|BADGE|BPAF|BPAP|BPB|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA",4,1.56511109158936,29.3394848957178
5914,RARA,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPZ|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA",3,0.220409141612805,42.87012521071095
3297,HSF1,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPE|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",2,8.87478890383301,39.7514211867354
