goid,goLabel,k,K,expected,fold,p,FDR,genes
GO_0045944,positive regulation of transcription by RNA polymerase II,50,531,10.532689547174735,4.747125582317375,7.4804587747368185e-22,3.5158156241263045e-20,AHR|AR|ATF6|CD40|CEBPB|CREB3|DDIT3|DRD2|EGR1|ESR1|ESRRA|FGF2|FOS|FOXO1|FOXO3|GLI1|HGF|HIF1A|HNF4A|HSF1|IL6|JUN|MYC|NFE2L2|NFIA|NR1H4|NR1I2|NR1I3|NR3C1|NR4A2|NRF1|PAX6|PGR|POU2F1|PPARA|PPARG|PTEN|RARA|RXRA|RXRB|SHH|SP1|SREBF1|TGFB1|THRB|TNF|TNFRSF1A|TP53|VDR|XBP1
GO_0006355,regulation of DNA-templated transcription,43,429,8.509461046587498,5.053198993988468,1.0770226542840864e-19,2.531003237567603e-18,ADORA2A|AHR|AR|ATF6|CEBPB|CREB3|DDIT3|ESR1|ESR2|ESRRA|FOS|FOXO1|FOXO3|GLI1|HIF1A|HNF4A|HSF1|JUN|MYC|NFE2L2|NFIA|NR1H4|NR1I2|NR1I3|NR3C1|NR4A2|PAX6|PGR|POU2F1|PPARA|PPARD|PPARG|RARA|RORA|RORC|RXRA|RXRB|SP1|THRA|THRB|TP53|VDR|XBP1
GO_1902895,positive regulation of miRNA transcription,16,38,0.7537517943364218,21.22714681440443,3.949247915386178e-18,6.187155067438346e-17,AR|EGR1|FGF2|FOS|FOXO3|HIF1A|IL6|JUN|MYC|NR3C1|PAX6|POU2F1|PPARG|SREBF1|TGFB1|TP53
GO_0045893,positive regulation of DNA-templated transcription,38,392,7.775544825786246,4.887117346938775,7.280186387104665e-17,8.554219004847982e-16,AHR|AR|CD38|COL1A1|DDIT3|EGF|EGR1|ESR1|ESR2|FOS|FOXO1|FOXO3|GLI1|HIF1A|HNF4A|IL6|JUN|MYC|NFE2L2|NFIA|NR1I2|NR3C1|PAX6|PPARA|PPARD|PPARG|PRKAA1|RARA|RORA|RORC|RXRA|RXRB|SHH|SP1|SREBF1|TGFB1|TNF|TP53
GO_0006805,xenobiotic metabolic process,19,76,1.5075035886728436,12.60361842105263,2.091642452439087e-16,1.9661439052927417e-15,ABCB11|ABCC3|AHR|CYP1A1|CYP1A2|CYP2B6|CYP2C18|CYP2C19|CYP2C9|CYP2E1|CYP2J2|CYP3A4|NQO1|NR1I2|RORA|RORC|SLC22A1|SLCO1B1|UGT1A1
GO_0009410,response to xenobiotic stimulus,23,149,2.95550045674018,7.782099964676792,9.754702227556844e-15,7.641183411586196e-14,ADORA2A|AHR|CASP3|CAT|CCND1|CD38|COL1A1|CYP1A1|DRD1|DRD2|FOS|FOXO3|HMGCS2|MYC|NFE2L2|PRKAA1|SLC6A2|SLC6A3|SREBF1|TGFB1|TNF|TP53|TSPO
GO_0010628,positive regulation of gene expression,25,206,4.086128148244812,6.118261369443026,1.837294289651512e-13,1.2336118801945865e-12,ACTA1|AR|CCL2|CEBPB|CSF1|EGF|EGR1|EZR|HIF1A|HSF1|HSPA1A|IL6|LDLR|MYC|NFE2L2|PAX6|PGR|PPARD|PPARG|RARA|SP1|TGFB1|TNF|TP53|VDR
GO_0006357,regulation of transcription by RNA polymerase II,25,235,4.661359780764713,5.363241881298992,3.729085703629057e-12,2.190837850882071e-11,AHR|ATF6|CCND1|CEBPB|CREB3|DDIT3|FOS|FOXO1|FOXO3|GLI1|HIF1A|HNF4A|HSF1|JUN|NFE2L2|NR1H4|NRF1|PPARD|PPARG|RORA|SP1|SREBF1|THRA|TP53|XBP1
GO_0045471,response to ethanol,16,89,1.7653660446300405,9.06327616794796,1.3218047721474374e-11,6.902758254547728e-11,CASP3|CAT|CCND1|DRD2|FGF2|FOS|HMGCS2|IL2|OPRD1|PPARA|RARA|SLC6A3|SREBF1|TGFB1|TNF|VCAM1
GO_0071222,cellular response to lipopolysaccharide,16,90,1.7852016181652095,8.962573099415204,1.5805736443713574e-11,7.42869612854538e-11,CCL2|CD40|CEBPB|CXCL8|HMGCS2|IL6|MMP3|MMP9|NR1H4|PPARD|RARA|SERPINE1|TNF|TNFRSF1A|TSPO|XBP1
GO_0030522,intracellular receptor signaling pathway,8,19,0.3768758971682109,21.22714681440443,1.2522660159436452e-09,5.3505911590319386e-09,AHR|AR|ESRRA|HNF4A|NR4A2|RORA|RORC|SREBF1
GO_0000122,negative regulation of transcription by RNA polymerase II,28,385,7.636695811040062,3.666507177033493,1.487620338073571e-09,5.826512990788153e-09,AR|CCND1|CEBPB|DDIT3|ESR1|ESR2|ESRRA|EZR|FOXO1|FOXO3|HSF1|HSPA1A|JUN|MYC|NR1H4|NR3C1|NR4A2|PAX6|PPARA|PPARD|PPARG|RORC|RXRA|SHH|SRC|TNF|TP53|VDR
GO_0008202,steroid metabolic process,14,91,1.8050371917003785,7.756072874493927,2.2970818743742617e-09,8.304834468891563e-09,CYP1A1|CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2E1|CYP3A4|HMGCS2|LDLR|NR1I2|PRKAA1|SREBF1|TSPO|UGT1A1
GO_0071456,cellular response to hypoxia,13,85,1.6860237504893645,7.7104489164086685,9.503224597842185e-09,3.190368257847019e-08,CCND1|FABP1|FOS|FOXO3|HIF1A|MYC|NFE2L2|OPRD1|PPARG|PRKAA1|RORA|TGFB1|TP53
GO_0043066,negative regulation of apoptotic process,22,284,5.633302883987994,3.9053465530022238,3.418994907667112e-08,1.0712850710690284e-07,ADORA1|CAT|CD38|FAS|FOXO1|HGF|HSPA1A|IL2|IL6|KDR|MMP9|MYC|NR1H4|PLAUR|PPARD|PRKAA1|SHH|SRC|TIMP1|TNF|TP53|XBP1
GO_0001666,response to hypoxia,13,97,1.9240506329113924,6.756578947368421,4.8861591471181105e-08,1.435309249465945e-07,ADORA1|CASP3|CAT|CD38|CYP1A1|DRD2|EGR1|HIF1A|PPARA|PRKAA1|TGFB1|TNF|VCAM1
GO_0008284,positive regulation of cell population proliferation,20,270,5.3556048544956285,3.7344054580896686,3.1674276370518556e-07,8.757005820084542e-07,AR|CCND1|CD38|CDKN1A|CSF1|EGF|FGF2|GLI1|IL2|IL6|IL6R|KDR|PRKAA1|PTEN|RARA|SHH|TGFB1|TIMP1|TSHR|XBP1
GO_0007165,signal transduction,41,943,18.704945843664362,2.191933638443936,5.973463609101617e-07,1.559737720154311e-06,ADORA1|ADORA2A|ADRA2C|ADRB1|ADRB2|AR|ATF6|CCL2|CD38|CHRM1|CXCL8|DRD1|DRD2|DRD4|ESR1|ESR2|FAS|FGF2|HGF|HIF1A|HTR2C|HTR6|HTR7|ICAM1|IGFBP1|NR1I2|NR1I3|NR3C1|OPRD1|OPRL1|OPRM1|PGR|PLAU|PLAUR|PRKAA1|PTGER2|SRC|TIMP1|TNFRSF1A|TRHR|TSHR
