entrez,n_bisphenols,bisphenols,n_assays,min_ac50
8856,15,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA",5,0.080000000001484
2099,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",21,0.0348028788322721
367,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",14,1.29953609840391
5241,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",9,0.633285449353635
6469,14,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",1,13.9811678809809
2100,13,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPS|BPZ|TBBPA|TBBPA-DHEE|TCBPA",6,0.0403996563402947
5468,13,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPB|BPE|BPF|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",6,0.002000000073388
4780,13,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",2,0.644538663801431
4520,12,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",1,8.55743573226647
7421,12,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",1,1.10270099258443
9971,11,"3,3-diMe-BPA|BADGE|BPAF|BPAP|BPB|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA",4,1.56511109158936
5914,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPZ|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA",3,0.220409141612805
3297,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPE|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",2,8.87478890383301
4086,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",2,9.02208371386054
5080,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPF|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",1,7.93416290489086
5451,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BisGMA|TBBPA|TBBPA-DHEE",1,7.80236159829335
7494,11,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPE|BPF|BisGMA|TBBPA|TBBPA-DHEE",1,7.4638555052801
7157,10,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPB|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",9,8.07307351364953
2908,10,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPB|BPS|BPZ|TBBPA|TBBPA-DHEE|TCBPA",8,0.143917703122214
9970,10,"3,3-diMe-BPA|BPA|BPAF|BPAP|BPB|BPE|BPZ|BisGMA|TBBPA|TBBPA-DHEE",4,0.0020398207175211
7067,10,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPB|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",3,3.16566053145402
1588,10,"3,3-diMe-BPA|BADGE|BPAF|BPB|BPS|BPZ|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",2,7.45812011999249
1958,10,"3,3-diMe-BPA|BADGE|BPAF|BPAP|BPB|BPF|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",2,9.44859915543225
2101,10,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPZ|BisGMA|TBBPA|TBBPA-DHEE",2,13.88974198229
3091,9,"3,3-diMe-BPA|BADGE|BPAF|BPAP|BPF|BPZ|BisGMA|TBBPA|TBBPA-DHEE",2,6.59286165988587
5467,9,"3,3-diMe-BPA|BPA|BPAF|BPB|BPE|BPZ|BisGMA|TBBPA|TCBPA",1,2.73585922447103
5980,9,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPB|BPZ|BisGMA|TBBPA|TBBPA-DHEE",1,2.99015571443488
6720,9,"3,3-diMe-BPA|BADGE|BPA|BPAP|BPB|BPF|BisGMA|TBBPA|TBBPA-DHEE",1,11.4427273138643
8438,9,BADGE|BPA|BPAF|BPB|BPF|BPZ|BisGMA|TBBPA|TBBPA-DHEE,1,4.75607989934717
5465,8,BPA|BPAF|BPE|BPF|BPS|BisGMA|TBBPA|TCBPA,2,0.929764174038921
7253,8,"3,3-diMe-BPA|BADGE|BPA|BPAF|BPAP|BPB|BPZ|TBBPA-DHEE",1,30.3182369267936
7412,7,"3,3-diMe-BPA|BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",6,0.200000000016587
4929,7,"3,3-diMe-BPA|BPAP|BPB|BisGMA|TBBPA|TBBPA-DHEE|TCBPA",3,9.17625185556783
1281,7,"3,3-diMe-BPA|BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",2,3.99999999974246
958,7,"3,3-diMe-BPA|BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",2,10.0
1559,7,"3,3-diMe-BPA|BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",1,0.381647640990481
1591,7,"3,3-diMe-BPA|BADGE|BPAF|BPZ|BisGMA|TBBPA|TBBPA-DHEE",1,34.9035675445195
54314,7,BADGE|BPA|BPAF|BPB|BPS|TBBPA|TCBPA,1,0.473959503766406
6403,7,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA",1,3.99999999974246
969,7,"3,3-diMe-BPA|BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",1,3.99999999974246
6347,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",6,3.99999999974246
3576,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",5,0.200000000016587
4312,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",5,3.99999999974246
3725,6,BPAF|BPAP|BPB|BPZ|TBBPA|TCBPA,4,5.31695840002633
5329,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",4,0.080000000001484
1435,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",3,3.99999999974246
1557,6,"3,3-diMe-BPA|BPA|BPAF|TBBPA|TBBPA-DHEE|TCBPA",3,0.128283593396184
3122,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",3,10.0
3627,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",3,3.99999999974246
5328,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",3,10.0
6401,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",3,10.0
7056,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",3,20.0000000016587
100174814,6,BPA|BPAF|BPF|BPS|TBBPA|TCBPA,2,0.0846490864545464
5732,6,"3,3-diMe-BPA|BPA|BPAF|BPB|TBBPA-DHEE|TCBPA",2,1.0
6714,6,BADGE|BPA|BPAF|BPB|TBBPA|TCBPA,2,16.7095394849994
10488,6,"3,3-diMe-BPA|BADGE|BPA|BPAF|TBBPA|TBBPA-DHEE",1,11.5607001198653
2353,6,BPA|BPAF|BPAP|BPB|BisGMA|TBBPA-DHEE,1,5.21447811286849
6097,6,"3,3-diMe-BPA|BPAF|BPAP|BPZ|BisGMA|TBBPA-DHEE",1,15.3190204032351
952,6,"3,3-diMe-BPA|BPAF|BPB|TBBPA|TBBPA-DHEE|TCBPA",1,20.0000000016587
2152,5,"3,3-diMe-BPA|BPAF|TBBPA|TBBPA-DHEE|TCBPA",3,6.99999999977021
3014,5,BPA|BPAF|BPB|BPE|TBBPA,3,45.8214978338601
3552,5,"3,3-diMe-BPA|BPAF|TBBPA|TBBPA-DHEE|TCBPA",3,10.0
3569,5,"3,3-diMe-BPA|BPAF|TBBPA-DHEE|TBu-EBP|TCBPA",3,20.0000000016587
5054,5,"3,3-diMe-BPA|BPAF|TBBPA|TBBPA-DHEE|TCBPA",3,0.200000000016587
101933533,5,BPA|BPAF|BPF|BPS|TCBPA,2,0.0991091885969709
19016,5,BPAF|BPF|BPS|TBBPA|TCBPA,2,2.41141652096236
317733,5,BPA|BPAF|BPF|BPS|TCBPA,2,0.0746727905193789
317734,5,BPA|BPAF|BPF|BPS|TCBPA,2,0.0409237875385113
7124,5,BPAF|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA,2,3.99999999974246
7201,5,"3,3-diMe-BPA|BPAF|BPZ|TBBPA|TCBPA",2,15.2531689745556
10344,5,BPAF|TBBPA|TBBPA-DHEE|TBu-EBP|TCBPA,1,3.99999999974246
24208,5,BPA|BPAF|BPB|TBBPA|TCBPA,1,1.6754665459597
4318,5,"3,3-diMe-BPA|BPAF|BPB|TBBPA-DHEE|TCBPA",1,3.99999999974246
7077,5,"3,3-diMe-BPA|BPAF|TBBPA|TBBPA-DHEE|TCBPA",1,10.0
4283,4,BPAF|TBBPA|TBBPA-DHEE|TCBPA,5,0.499999999958532
259252,4,BPA|BPAF|BPF|BPS,2,0.194125117050175
396099,4,BPA|BPAF|BPS|TCBPA,2,0.0545484122092687
398734,4,BPA|BPF|BPS|TCBPA,2,0.189018426315689
7076,4,BPAF|TBBPA|TBBPA-DHEE|TCBPA,2,3.99999999974246
100714898,4,"3,3-diMe-BPA|BPA|BPAF|BPB",1,6.98430509865222
134,4,"3,3-diMe-BPA|BPA|BPAF|BPB",1,2.04470031126256
13982,4,BPA|BPAF|BPB|TCBPA,1,0.0685466911191333
1734,4,BADGE|BPAF|TBBPA|TCBPA,1,3.7587766223132
1735,4,BADGE|BPAF|TBBPA|TCBPA,1,3.61990867035765
24230,4,BADGE|BPA|BPAF|BPS,1,2.95085059145646
407238,4,BPA|BPAF|BPB|BPS,1,0.073795893257251
4774,4,BPAF|BPB|TBBPA|TBBPA-DHEE,1,16.3559334235418
5290,4,"3,3-diMe-BPA|BPA|TBBPA-DHEE|TCBPA",1,2.69520384908605
