goid,K
GO_0000122,385
GO_0001525,156
GO_0001666,97
GO_0002376,435
GO_0006355,429
GO_0006357,235
GO_0006508,364
GO_0006629,453
GO_0006631,114
GO_0006805,76
GO_0006915,394
GO_0006954,245
GO_0006955,227
GO_0006974,314
GO_0007165,943
GO_0007186,396
GO_0007200,86
GO_0007267,107
GO_0008202,91
GO_0008203,64
GO_0008284,270
GO_0008285,188
GO_0009410,149
GO_0010628,206
GO_0010629,132
GO_0030154,383
GO_0030335,169
GO_0030522,19
GO_0032355,60
GO_0032496,75
GO_0034976,66
GO_0042632,57
GO_0043065,155
GO_0043066,284
GO_0043410,104
GO_0045471,89
GO_0045766,96
GO_0045892,287
GO_0045893,392
GO_0045944,531
GO_0048511,102
GO_0050729,65
GO_0051897,132
GO_0070374,128
GO_0071222,90
GO_0071456,85
GO_1902895,38
