sym,goid,goLabel
ACOX1,GO_0000038,very long-chain fatty acid metabolic process
H2AX,GO_0000077,DNA damage checkpoint signaling
MYC,GO_0000082,G1/S transition of mitotic cell cycle
CDKN1A,GO_0000082,G1/S transition of mitotic cell cycle
CCND1,GO_0000082,G1/S transition of mitotic cell cycle
FOXO3,GO_0000122,negative regulation of transcription by RNA polymerase II
ESR1,GO_0000122,negative regulation of transcription by RNA polymerase II
NR3C1,GO_0000122,negative regulation of transcription by RNA polymerase II
TP53,GO_0000122,negative regulation of transcription by RNA polymerase II
MYC,GO_0000122,negative regulation of transcription by RNA polymerase II
TNF,GO_0000122,negative regulation of transcription by RNA polymerase II
HSPA1A,GO_0000122,negative regulation of transcription by RNA polymerase II
AR,GO_0000122,negative regulation of transcription by RNA polymerase II
SRC,GO_0000122,negative regulation of transcription by RNA polymerase II
VDR,GO_0000122,negative regulation of transcription by RNA polymerase II
EZR,GO_0000122,negative regulation of transcription by RNA polymerase II
ESRRA,GO_0000122,negative regulation of transcription by RNA polymerase II
JUN,GO_0000122,negative regulation of transcription by RNA polymerase II
DDIT3,GO_0000122,negative regulation of transcription by RNA polymerase II
PPARG,GO_0000122,negative regulation of transcription by RNA polymerase II
PAX6,GO_0000122,negative regulation of transcription by RNA polymerase II
CEBPB,GO_0000122,negative regulation of transcription by RNA polymerase II
RXRA,GO_0000122,negative regulation of transcription by RNA polymerase II
CCND1,GO_0000122,negative regulation of transcription by RNA polymerase II
PPARD,GO_0000122,negative regulation of transcription by RNA polymerase II
FOXO1,GO_0000122,negative regulation of transcription by RNA polymerase II
ESR2,GO_0000122,negative regulation of transcription by RNA polymerase II
PPARA,GO_0000122,negative regulation of transcription by RNA polymerase II
NR4A2,GO_0000122,negative regulation of transcription by RNA polymerase II
HSF1,GO_0000122,negative regulation of transcription by RNA polymerase II
SHH,GO_0000122,negative regulation of transcription by RNA polymerase II
NR1H4,GO_0000122,negative regulation of transcription by RNA polymerase II
RORC,GO_0000122,negative regulation of transcription by RNA polymerase II
MYC,GO_0000165,MAPK cascade
HSF1,GO_0000165,MAPK cascade
NQO1,GO_0000209,protein polyubiquitination
HGF,GO_0000278,mitotic cell cycle
CAT,GO_0000302,response to reactive oxygen species
HIF1A,GO_0000302,response to reactive oxygen species
VDR,GO_0000902,cell morphogenesis
NFIA,GO_0000902,cell morphogenesis
COL1A1,GO_0001501,skeletal system development
COL1A1,GO_0001503,ossification
SLC6A3,GO_0001504,neurotransmitter uptake
LDLR,GO_0001523,retinoid metabolic process
LPL,GO_0001523,retinoid metabolic process
COL4A1,GO_0001525,angiogenesis
EGF,GO_0001525,angiogenesis
SERPINE1,GO_0001525,angiogenesis
FGF2,GO_0001525,angiogenesis
CCL2,GO_0001525,angiogenesis
CXCL8,GO_0001525,angiogenesis
KDR,GO_0001525,angiogenesis
XBP1,GO_0001525,angiogenesis
RORA,GO_0001525,angiogenesis
PIK3CA,GO_0001525,angiogenesis
CEBPB,GO_0001541,ovarian follicle development
CASP3,GO_0001554,luteolysis
COL1A1,GO_0001568,blood vessel development
PAX6,GO_0001568,blood vessel development
AHR,GO_0001568,blood vessel development
COL4A1,GO_0001569,branching involved in blood vessel morphogenesis
SHH,GO_0001569,branching involved in blood vessel morphogenesis
TGFB1,GO_0001570,vasculogenesis
KDR,GO_0001570,vasculogenesis
SHH,GO_0001570,vasculogenesis
COL1A1,GO_0001649,osteoblast differentiation
CAT,GO_0001649,osteoblast differentiation
GLI1,GO_0001649,osteoblast differentiation
FASN,GO_0001649,osteoblast differentiation
NR1I3,GO_0001649,osteoblast differentiation
CYP24A1,GO_0001649,osteoblast differentiation
ATF6,GO_0001654,eye development
PAX6,GO_0001654,eye development
SHH,GO_0001656,metanephros development
TGFB1,GO_0001657,ureteric bud development
CAT,GO_0001657,ureteric bud development
MYC,GO_0001658,branching involved in ureteric bud morphogenesis
FGF2,GO_0001658,branching involved in ureteric bud morphogenesis
SHH,GO_0001658,branching involved in ureteric bud morphogenesis
DRD2,GO_0001659,temperature homeostasis
ADORA1,GO_0001659,temperature homeostasis
FOXO1,GO_0001659,temperature homeostasis
FOS,GO_0001661,conditioned taste aversion
DRD4,GO_0001662,behavioral fear response
HTR2C,GO_0001662,behavioral fear response
CYP1A1,GO_0001666,response to hypoxia
TNF,GO_0001666,response to hypoxia
CAT,GO_0001666,response to hypoxia
TGFB1,GO_0001666,response to hypoxia
DRD2,GO_0001666,response to hypoxia
EGR1,GO_0001666,response to hypoxia
ADORA1,GO_0001666,response to hypoxia
VCAM1,GO_0001666,response to hypoxia
CD38,GO_0001666,response to hypoxia
PPARA,GO_0001666,response to hypoxia
HIF1A,GO_0001666,response to hypoxia
CASP3,GO_0001666,response to hypoxia
PRKAA1,GO_0001666,response to hypoxia
CYP1A1,GO_0001676,long-chain fatty acid metabolic process
CYP2E1,GO_0001676,long-chain fatty acid metabolic process
CYP2C19,GO_0001676,long-chain fatty acid metabolic process
FOXO1,GO_0001678,intracellular glucose homeostasis
NR1H4,GO_0001678,intracellular glucose homeostasis
HIF1A,GO_0001678,intracellular glucose homeostasis
COL3A1,GO_0001701,in utero embryonic development
SHH,GO_0001708,cell fate specification
SHH,GO_0001755,neural crest cell migration
TGFB1,GO_0001763,morphogenesis of a branching structure
COL3A1,GO_0001764,neuron migration
NR4A2,GO_0001764,neuron migration
TNF,GO_0001774,microglial cell activation
IL6,GO_0001781,neutrophil apoptotic process
BAX,GO_0001783,B cell apoptotic process
CASP3,GO_0001818,negative regulation of cytokine production
TNF,GO_0001819,positive regulation of cytokine production
CAT,GO_0001822,kidney development
HMGCS2,GO_0001822,kidney development
BAX,GO_0001836,release of cytochrome c from mitochondria
TGFB1,GO_0001837,epithelial to mesenchymal transition
HGF,GO_0001837,epithelial to mesenchymal transition
HIF1A,GO_0001837,epithelial to mesenchymal transition
TGFB1,GO_0001843,neural tube closure
MYC,GO_0001866,NK T cell proliferation
CYP1A1,GO_0001889,liver development
RARA,GO_0001889,liver development
CCND1,GO_0001889,liver development
CEBPB,GO_0001889,liver development
XBP1,GO_0001889,liver development
HMGCS2,GO_0001889,liver development
PPARG,GO_0001890,placenta development
COL3A1,GO_0001894,tissue homeostasis
ICAM1,GO_0001910,regulation of leukocyte mediated cytotoxicity
HLA-DRA,GO_0001916,positive regulation of T cell mediated cytotoxicity
LDLR,GO_0001920,negative regulation of receptor recycling
CDKN1A,GO_0001933,negative regulation of protein phosphorylation
MMP9,GO_0001934,positive regulation of protein phosphorylation
CDKN1A,GO_0001934,positive regulation of protein phosphorylation
KDR,GO_0001934,positive regulation of protein phosphorylation
PLAUR,GO_0001934,positive regulation of protein phosphorylation
XBP1,GO_0001935,endothelial cell proliferation
TNF,GO_0001937,negative regulation of endothelial cell proliferation
EGF,GO_0001938,positive regulation of endothelial cell proliferation
F3,GO_0001938,positive regulation of endothelial cell proliferation
FGF2,GO_0001938,positive regulation of endothelial cell proliferation
KDR,GO_0001938,positive regulation of endothelial cell proliferation
HIF1A,GO_0001938,positive regulation of endothelial cell proliferation
KDR,GO_0001944,vasculature development
PIK3CA,GO_0001944,vasculature development
SHH,GO_0001947,heart looping
EZR,GO_0001951,intestinal D-glucose absorption
CSF1,GO_0001954,positive regulation of cell-matrix adhesion
DDIT3,GO_0001955,blood vessel maturation
IL6,GO_0001960,negative regulation of cytokine-mediated signaling pathway
DRD2,GO_0001963,"synaptic transmission, dopaminergic"
DRD1,GO_0001963,"synaptic transmission, dopaminergic"
DRD4,GO_0001963,"synaptic transmission, dopaminergic"
ADORA2A,GO_0001973,G protein-coupled adenosine receptor signaling pathway
ADORA1,GO_0001973,G protein-coupled adenosine receptor signaling pathway
TNF,GO_0001975,response to amphetamine
DRD2,GO_0001975,response to amphetamine
DRD4,GO_0001975,response to amphetamine
DRD2,GO_0001976,nervous system process involved in regulation of systemic arterial blood pressure
ADRB1,GO_0001996,positive regulation of heart rate by epinephrine-norepinephrine
DRD2,GO_0002027,regulation of heart rate
DRD2,GO_0002028,regulation of sodium ion transport
DRD2,GO_0002031,G protein-coupled receptor internalization
TNF,GO_0002037,negative regulation of L-glutamate import across plasma membrane
FGF2,GO_0002042,cell migration involved in sprouting angiogenesis
DRD2,GO_0002052,positive regulation of neuroblast proliferation
MYC,GO_0002053,positive regulation of mesenchymal cell proliferation
TGFB1,GO_0002062,chondrocyte differentiation
COL3A1,GO_0002062,chondrocyte differentiation
ADORA1,GO_0002087,regulation of respiratory gaseous exchange by nervous system process
EGF,GO_0002092,positive regulation of receptor internalization
DRD2,GO_0002092,positive regulation of receptor internalization
SELE,GO_0002092,positive regulation of receptor internalization
THRA,GO_0002157,positive regulation of thyroid hormone receptor signaling pathway
THRB,GO_0002157,positive regulation of thyroid hormone receptor signaling pathway
RXRA,GO_0002157,positive regulation of thyroid hormone receptor signaling pathway
SRC,GO_0002223,stimulatory C-type lectin receptor signaling pathway
IL17A,GO_0002225,positive regulation of antimicrobial peptide production
CXCL8,GO_0002237,response to molecule of bacterial origin
TP53,GO_0002244,hematopoietic progenitor cell differentiation
TGFB1,GO_0002244,hematopoietic progenitor cell differentiation
TGFB1,GO_0002248,connective tissue replacement involved in inflammatory response wound healing
HIF1A,GO_0002248,connective tissue replacement involved in inflammatory response wound healing
HLA-DRA,GO_0002250,adaptive immune response
IL17A,GO_0002250,adaptive immune response
IL2,GO_0002250,adaptive immune response
ICAM1,GO_0002252,immune effector process
TNF,GO_0002281,macrophage activation involved in immune response
ICAM1,GO_0002291,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
IL6,GO_0002314,germinal center B cell differentiation
SHH,GO_0002320,lymphoid progenitor cell differentiation
IL2,GO_0002366,leukocyte activation involved in immune response
HLA-DRA,GO_0002376,immune system process
MMP3,GO_0002376,immune system process
SRC,GO_0002376,immune system process
CSF1,GO_0002376,immune system process
CD40,GO_0002376,immune system process
IL17A,GO_0002376,immune system process
IL2,GO_0002376,immune system process
NR1H4,GO_0002376,immune system process
IL6,GO_0002384,hepatic immune response
IL6R,GO_0002384,hepatic immune response
TNF,GO_0002439,chronic inflammatory response to antigenic stimulus
IL6,GO_0002446,neutrophil mediated immunity
TGFB1,GO_0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
HLA-DRA,GO_0002469,myeloid dendritic cell antigen processing and presentation
HLA-DRA,GO_0002491,antigen processing and presentation of endogenous peptide antigen via MHC class II
HLA-DRA,GO_0002503,peptide antigen assembly with MHC class II protein complex
HLA-DRA,GO_0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
SELE,GO_0002523,leukocyte migration involved in inflammatory response
F3,GO_0002541,activation of plasma proteins involved in acute inflammatory response
F3,GO_0002543,activation of blood coagulation via clotting cascade
VCAM1,GO_0002544,chronic inflammatory response
CCL2,GO_0002548,monocyte chemotaxis
