sym,rhsa,pwLabel
IL6R,R-HSA-1059683,Interleukin-6 signaling
IL6,R-HSA-1059683,Interleukin-6 signaling
FGF2,R-HSA-109704,PI3K Cascade
PIK3CA,R-HSA-109704,PI3K Cascade
IL6R,R-HSA-110056,MAPK3 (ERK1) activation
IL6,R-HSA-110056,MAPK3 (ERK1) activation
REV3L,R-HSA-110312,Translesion synthesis by REV1
H2AX,R-HSA-110328,Recognition and association of DNA glycosylase with site containing an affected pyrimidine
H2AX,R-HSA-110329,Cleavage of the damaged pyrimidine 
H2AX,R-HSA-110330,Recognition and association of DNA glycosylase with site containing an affected purine
H2AX,R-HSA-110331,Cleavage of the damaged purine
BCL2L11,R-HSA-111446,Activation of BIM and translocation to mitochondria 
TP53,R-HSA-111448,Activation of NOXA and translocation to mitochondria
BCL2L11,R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
BAX,R-HSA-111457,Release of apoptotic factors from the mitochondria
CASP3,R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage
CASP3,R-HSA-111463,SMAC (DIABLO) binds to IAPs 
CASP3,R-HSA-111464,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes 
CASP3,R-HSA-111465,Apoptotic cleavage of cellular proteins
CASP3,R-HSA-111469,"SMAC, XIAP-regulated apoptotic response"
OPRM1,R-HSA-111885,Opioid Signalling
SLC22A1,R-HSA-112311,Neurotransmitter clearance
PIK3CA,R-HSA-112399,IRS-mediated signalling
IL6R,R-HSA-112411,MAPK1 (ERK2) activation
IL6,R-HSA-112411,MAPK1 (ERK2) activation
BAX,R-HSA-114294,"Activation, translocation and oligomerization of BAX"
COL1A1,R-HSA-114604,GPVI-mediated activation cascade
PIK3CA,R-HSA-114604,GPVI-mediated activation cascade
SERPINE1,R-HSA-114608,Platelet degranulation 
TGFB1,R-HSA-114608,Platelet degranulation 
TIMP1,R-HSA-114608,Platelet degranulation 
EGF,R-HSA-114608,Platelet degranulation 
HGF,R-HSA-114608,Platelet degranulation 
SELP,R-HSA-114608,Platelet degranulation 
FOXO3,R-HSA-1181150,Signaling by NODAL
H2AX,R-HSA-1221632,Meiotic synapsis
EGF,R-HSA-1227986,Signaling by ERBB2
SRC,R-HSA-1227986,Signaling by ERBB2
HIF1A,R-HSA-1234158,Regulation of gene expression by Hypoxia-inducible Factor
HIF1A,R-HSA-1234174,Cellular response to hypoxia
HIF1A,R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
EGF,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
PIK3CA,R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
EGF,R-HSA-1236394,Signaling by ERBB4
EGF,R-HSA-1250196,SHC1 events in ERBB2 signaling
PIK3CA,R-HSA-1250342,PI3K events in ERBB4 signaling
EGF,R-HSA-1251932,PLCG1 events in ERBB2 signaling
ESR1,R-HSA-1251985,Nuclear signaling by ERBB4
PGR,R-HSA-1251985,Nuclear signaling by ERBB4
SRC,R-HSA-1251985,Nuclear signaling by ERBB4
SRC,R-HSA-1253288,Downregulation of ERBB4 signaling
ESR1,R-HSA-1257604,PIP3 activates AKT signaling
EGF,R-HSA-1257604,PIP3 activates AKT signaling
HGF,R-HSA-1257604,PIP3 activates AKT signaling
FGF2,R-HSA-1257604,PIP3 activates AKT signaling
SRC,R-HSA-1257604,PIP3 activates AKT signaling
PIK3CA,R-HSA-1257604,PIP3 activates AKT signaling
ESR2,R-HSA-1257604,PIP3 activates AKT signaling
HGF,R-HSA-1266695,Interleukin-7 signaling
SRC,R-HSA-1295596,Spry regulation of FGF signaling
MYC,R-HSA-1362277,Transcription of E2F targets under negative control by DREAM complex
SERPINE1,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression"
RXRA,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression"
PPARA,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression"
TP53,R-HSA-139915,Activation of PUMA and translocation to mitochondria
CASP3,R-HSA-140342,Apoptosis induced DNA fragmentation
FAS,R-HSA-140534,Caspase activation via Death Receptors in the presence of ligand
F3,R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation
THBD,R-HSA-140875,Common Pathway of Fibrin Clot Formation
SRC,R-HSA-1433557,Signaling by SCF-KIT
MMP9,R-HSA-1433557,Signaling by SCF-KIT
PIK3CA,R-HSA-1433557,Signaling by SCF-KIT
SRC,R-HSA-1433559,Regulation of KIT signaling
MMP1,R-HSA-1442490,Collagen degradation
