mondo,K
MONDO_0001056,303
MONDO_0001106,38
MONDO_0001166,38
MONDO_0001187,144
MONDO_0001386,104
MONDO_0001438,85
MONDO_0001442,290
MONDO_0001569,65
MONDO_0001751,110
MONDO_0002083,55
MONDO_0002108,44
MONDO_0002123,44
MONDO_0002125,68
MONDO_0002251,45
MONDO_0002277,115
MONDO_0002367,45
MONDO_0002444,41
MONDO_0002447,73
MONDO_0002454,44
MONDO_0002492,101
MONDO_0002505,31
MONDO_0002512,213
MONDO_0002531,59
MONDO_0002571,56
MONDO_0002629,47
MONDO_0002691,612
MONDO_0002752,138
MONDO_0002771,85
MONDO_0002898,59
MONDO_0002909,30
MONDO_0003175,100
MONDO_0003197,116
MONDO_0003268,94
MONDO_0003582,1156
MONDO_0003699,46
MONDO_0003792,137
MONDO_0003795,137
MONDO_0003969,75
MONDO_0004071,25
MONDO_0004114,141
MONDO_0004375,48
MONDO_0004765,80
MONDO_0004784,80
MONDO_0004950,303
MONDO_0004970,116
MONDO_0004971,100
MONDO_0004979,87
MONDO_0004981,160
MONDO_0004986,144
MONDO_0004987,141
MONDO_0004989,538
MONDO_0004993,196
MONDO_0005002,33
MONDO_0005005,149
MONDO_0005009,110
MONDO_0005010,247
MONDO_0005015,223
MONDO_0005016,56
MONDO_0005027,193
MONDO_0005032,68
MONDO_0005059,55
MONDO_0005061,206
MONDO_0005065,141
MONDO_0005068,95
MONDO_0005083,59
MONDO_0005086,148
MONDO_0005098,58
MONDO_0005101,63
MONDO_0005133,161
MONDO_0005148,221
MONDO_0005155,105
MONDO_0005159,616
MONDO_0005192,107
MONDO_0005203,89
MONDO_0005206,149
MONDO_0005233,156
MONDO_0005249,54
MONDO_0005252,110
MONDO_0005258,321
MONDO_0005260,321
MONDO_0005263,440
MONDO_0005264,66
MONDO_0005292,25
MONDO_0005298,66
MONDO_0005299,63
MONDO_0005300,52
MONDO_0005301,45
MONDO_0005311,115
MONDO_0005335,702
MONDO_0005359,404
MONDO_0005379,299
MONDO_0005384,104
MONDO_0005401,159
MONDO_0005468,53
MONDO_0005480,78
MONDO_0005531,151
MONDO_0005532,50
MONDO_0005534,44
MONDO_0005567,58
MONDO_0005575,819
MONDO_0005580,95
MONDO_0005601,167
MONDO_0005606,116
MONDO_0005617,163
MONDO_0005744,141
MONDO_0005942,102
MONDO_0006003,82
MONDO_0006045,138
MONDO_0006176,116
MONDO_0006292,141
MONDO_0006335,142
MONDO_0006337,161
MONDO_0006373,60
MONDO_0006383,55
MONDO_0006402,116
MONDO_0006406,163
MONDO_0006474,41
MONDO_0006525,67
MONDO_0006589,78
MONDO_0006592,59
MONDO_0006644,30
MONDO_0006658,59
MONDO_0006716,95
MONDO_0006757,32
MONDO_0006857,34
MONDO_0006891,104
MONDO_0007008,38
MONDO_0007027,143
MONDO_0007191,24
MONDO_0007254,1074
MONDO_0007576,79
MONDO_0007763,148
MONDO_0008159,66
MONDO_0008170,137
MONDO_0008243,101
MONDO_0008315,616
MONDO_0008383,174
MONDO_0008903,556
MONDO_0009100,45
MONDO_0009807,47
MONDO_0009830,86
MONDO_0009831,102
MONDO_0010481,18
MONDO_0010482,86
MONDO_0010709,86
MONDO_0010888,161
MONDO_0011122,205
MONDO_0011401,101
MONDO_0011751,33
MONDO_0011962,72
MONDO_0012048,292
MONDO_0012819,45
MONDO_0013276,51
MONDO_0013626,57
MONDO_0013662,29
MONDO_0014231,86
MONDO_0015074,37
MONDO_0015278,107
MONDO_0015597,57
MONDO_0015796,22
MONDO_0016093,137
MONDO_0016096,137
MONDO_0016211,141
MONDO_0016248,137
MONDO_0016249,137
MONDO_0016266,1074
MONDO_0016267,1074
MONDO_0016419,1085
MONDO_0016642,60
MONDO_0016681,98
MONDO_0016682,116
MONDO_0016684,63
MONDO_0016685,26
MONDO_0016686,62
MONDO_0016687,63
MONDO_0016688,63
MONDO_0016689,63
MONDO_0016693,25
MONDO_0017327,137
MONDO_0017346,55
MONDO_0017347,55
MONDO_0017596,55
MONDO_0017597,55
MONDO_0017636,85
MONDO_0017884,213
MONDO_0018055,507
MONDO_0018166,18
MONDO_0018171,137
MONDO_0018172,137
MONDO_0018177,144
MONDO_0018184,300
MONDO_0018225,55
MONDO_0018321,88
MONDO_0018369,137
MONDO_0018466,85
MONDO_0018513,160
MONDO_0018532,521
MONDO_0018533,521
MONDO_0018534,521
MONDO_0018891,42
MONDO_0019086,79
MONDO_0019182,205
MONDO_0019434,135
MONDO_0019436,131
MONDO_0019781,27
MONDO_0020323,57
MONDO_0020324,56
MONDO_0020538,137
MONDO_0020541,137
MONDO_0020542,137
MONDO_0020543,137
MONDO_0020643,321
MONDO_0021040,102
MONDO_0021042,87
MONDO_0021063,159
MONDO_0021068,134
MONDO_0021074,110
MONDO_0021085,302
MONDO_0021100,1074
MONDO_0021117,266
MONDO_0021124,28
MONDO_0021251,72
MONDO_0021636,25
MONDO_0023122,662
MONDO_0024327,52
MONDO_0024331,702
MONDO_0024614,41
MONDO_0024644,176
MONDO_0025483,142
MONDO_0032920,131
MONDO_0045059,116
MONDO_0100342,98
