mondo,dlabel,n_target_genes,genes
MONDO_0003582,hereditary breast ovarian cancer syndrome,52,ABCG2|AHR|AR|BAX|CAT|CCND1|CD40|CSF1|CXCL8|CXCL9|CYP19A1|CYP1A1|CYP24A1|CYP3A4|DDIT3|DIO3|EGF|ESR1|ESR2|ESRRA|F3|FASN|FOS|GLI1|H2AX|HIF1A|IGF1|IL6|JUN|KDR|MMP1|MMP10|MMP3|MMP9|MYC|NQO1|PGR|PIK3CA|POU2F1|PRKAA1|PTEN|RAD54L|RARA|RXRB|SLC5A5|SLC6A3|SLCO1B1|SRC|TNF|TP53|VDR|XBP1
MONDO_0021100,breast neoplasm,51,ABCG2|AHR|AR|BAX|CAT|CCND1|CD40|CSF1|CXCL8|CXCL9|CYP19A1|CYP1A1|CYP24A1|CYP3A4|DDIT3|DIO3|EGF|ESR1|ESR2|ESRRA|F3|FASN|FOS|GLI1|H2AX|HIF1A|IGF1|IL6|JUN|KDR|MMP1|MMP10|MMP3|MMP9|NQO1|PGR|PIK3CA|POU2F1|PRKAA1|PTEN|RAD54L|RARA|RXRB|SLC5A5|SLC6A3|SLCO1B1|SRC|TNF|TP53|VDR|XBP1
MONDO_0007254,breast cancer,51,ABCG2|AHR|AR|BAX|CAT|CCND1|CD40|CSF1|CXCL8|CXCL9|CYP19A1|CYP1A1|CYP24A1|CYP3A4|DDIT3|DIO3|EGF|ESR1|ESR2|ESRRA|F3|FASN|FOS|GLI1|H2AX|HIF1A|IGF1|IL6|JUN|KDR|MMP1|MMP10|MMP3|MMP9|NQO1|PGR|PIK3CA|POU2F1|PRKAA1|PTEN|RAD54L|RARA|RXRB|SLC5A5|SLC6A3|SLCO1B1|SRC|TNF|TP53|VDR|XBP1
MONDO_0016266,squamous cell carcinoma of the corpus uteri,51,ABCG2|AHR|AR|BAX|CAT|CCND1|CD40|CSF1|CXCL8|CXCL9|CYP19A1|CYP1A1|CYP24A1|CYP3A4|DDIT3|DIO3|EGF|ESR1|ESR2|ESRRA|F3|FASN|FOS|GLI1|H2AX|HIF1A|IGF1|IL6|JUN|KDR|MMP1|MMP10|MMP3|MMP9|NQO1|PGR|PIK3CA|POU2F1|PRKAA1|PTEN|RAD54L|RARA|RXRB|SLC5A5|SLC6A3|SLCO1B1|SRC|TNF|TP53|VDR|XBP1
MONDO_0016267,undifferentiated carcinoma of the corpus uteri,51,ABCG2|AHR|AR|BAX|CAT|CCND1|CD40|CSF1|CXCL8|CXCL9|CYP19A1|CYP1A1|CYP24A1|CYP3A4|DDIT3|DIO3|EGF|ESR1|ESR2|ESRRA|F3|FASN|FOS|GLI1|H2AX|HIF1A|IGF1|IL6|JUN|KDR|MMP1|MMP10|MMP3|MMP9|NQO1|PGR|PIK3CA|POU2F1|PRKAA1|PTEN|RAD54L|RARA|RXRB|SLC5A5|SLC6A3|SLCO1B1|SRC|TNF|TP53|VDR|XBP1
MONDO_0016419,hereditary breast carcinoma,51,ABCG2|AHR|AR|BAX|CAT|CCND1|CD40|CSF1|CXCL8|CXCL9|CYP19A1|CYP1A1|CYP24A1|CYP3A4|DDIT3|DIO3|EGF|ESR1|ESR2|ESRRA|F3|FASN|FOS|GLI1|H2AX|HIF1A|IGF1|IL6|JUN|KDR|MMP1|MMP10|MMP3|MMP9|NQO1|PGR|PIK3CA|POU2F1|PRKAA1|PTEN|RAD54L|RARA|RXRB|SLC5A5|SLC6A3|SLCO1B1|SRC|TNF|TP53|VDR|XBP1
MONDO_0023122,familial prostate carcinoma,47,ADRB2|AHR|AR|BAX|BCL2L11|CCND1|CDKN1A|CXCL8|CYP19A1|CYP1A1|CYP2C18|CYP2C19|CYP2E1|CYP3A4|EGF|EGR1|ESR1|ESR2|EZR|FGF2|FOXO1|HIF1A|HSPA1A|ICAM1|IGF1|IL2|IL6|LPL|MMP9|MYC|NFE2L2|NQO1|NR3C1|PAX6|PIK3CA|PLAU|PLAUR|PPARA|PTEN|RXRA|SERPINE1|SLC5A5|SULT2A1|TGFA|TGFB1|TP53|VDR
MONDO_0008315,prostate cancer,46,ADRB2|AHR|AR|BAX|CCND1|CDKN1A|CXCL8|CYP19A1|CYP1A1|CYP2C18|CYP2C19|CYP2E1|CYP3A4|EGF|EGR1|ESR1|ESR2|EZR|FGF2|FOXO1|HIF1A|HSPA1A|ICAM1|IGF1|IL2|IL6|LPL|MMP9|MYC|NFE2L2|NQO1|NR3C1|PAX6|PIK3CA|PLAU|PLAUR|PPARA|PTEN|RXRA|SERPINE1|SLC5A5|SULT2A1|TGFA|TGFB1|TP53|VDR
MONDO_0005159,prostate carcinoma,46,ADRB2|AHR|AR|BAX|CCND1|CDKN1A|CXCL8|CYP19A1|CYP1A1|CYP2C18|CYP2C19|CYP2E1|CYP3A4|EGF|EGR1|ESR1|ESR2|EZR|FGF2|FOXO1|HIF1A|HSPA1A|ICAM1|IGF1|IL2|IL6|LPL|MMP9|MYC|NFE2L2|NQO1|NR3C1|PAX6|PIK3CA|PLAU|PLAUR|PPARA|PTEN|RXRA|SERPINE1|SLC5A5|SULT2A1|TGFA|TGFB1|TP53|VDR
MONDO_0002691,liver cancer,45,ACOX1|AHR|AR|CCND1|CEBPB|CXCL8|CYP1A1|CYP1A2|CYP2B6|CYP2E1|CYP4A11|DCN|EGF|EGR1|ESR1|FASN|FOS|GLI1|HGF|IGF1|IL2|IL6|JUN|MMP9|MYC|NFE2L2|NR1H4|NR1I3|PDK4|PIK3CA|PPARA|PPARG|PTEN|RAD54L|RARA|SERPINE1|SHH|SLC22A1|SLC5A5|SREBF1|TGFA|TGFB1|TNF|TP53|VCAM1
