entrez,sym,mondo,dlabel
1588,CYP19A1,MONDO_0000050,isolated congenital growth hormone deficiency
3170,FOXA2,MONDO_0000050,isolated congenital growth hormone deficiency
5328,PLAU,MONDO_0000190,ventricular fibrillation (disease)
8856,NR1I2,MONDO_0000313,hypophosphatemia (disease)
847,CAT,MONDO_0000393,partial fetal alcohol syndrome
847,CAT,MONDO_0000395,alcohol-related birth defect
54658,UGT1A1,MONDO_0000402,small cell carcinoma
7157,TP53,MONDO_0000402,small cell carcinoma
3552,IL1A,MONDO_0000409,chorioamnionitis
3552,IL1A,MONDO_0000410,funisitis
1815,DRD4,MONDO_0000495,oppositional defiant disorder (disease)
6390,SDHB,MONDO_0000550,extra-adrenal sympathetic paraganglioma
355,FAS,MONDO_0000607,primary cutaneous T-cell non-Hodgkin lymphoma
581,BAX,MONDO_0000607,primary cutaneous T-cell non-Hodgkin lymphoma
7157,TP53,MONDO_0000607,primary cutaneous T-cell non-Hodgkin lymphoma
7124,TNF,MONDO_0000745,cardiac arrest
2152,F3,MONDO_0000809,purpura fulminans
7056,THBD,MONDO_0000809,purpura fulminans
2353,FOS,MONDO_0000845,fibrous dysplasia
1813,DRD2,MONDO_0000903,myoclonus-dystonia syndrome
6390,SDHB,MONDO_0000920,duodenum cancer
7157,TP53,MONDO_0000920,duodenum cancer
3949,LDLR,MONDO_0000940,trypanosomiasis
2308,FOXO1,MONDO_0000942,corneal disease
5328,PLAU,MONDO_0000944,cerebral artery occlusion
5327,PLAT,MONDO_0000944,cerebral artery occlusion
7421,VDR,MONDO_0000944,cerebral artery occlusion
7040,TGFB1,MONDO_0000948,xerophthalmia
6390,SDHB,MONDO_0000956,small intestine cancer
7157,TP53,MONDO_0000956,small intestine cancer
836,CASP3,MONDO_0000960,diabetic peripheral angiopathy
5728,PTEN,MONDO_0000966,pleomorphic lipoma
3569,IL6,MONDO_0000986,pleurisy
3383,ICAM1,MONDO_0000986,pleurisy
6403,SELP,MONDO_0000986,pleurisy
7124,TNF,MONDO_0000986,pleurisy
154,ADRB2,MONDO_0001056,gastric cancer
153,ADRB1,MONDO_0001056,gastric cancer
196,AHR,MONDO_0001056,gastric cancer
1026,CDKN1A,MONDO_0001056,gastric cancer
3725,JUN,MONDO_0001056,gastric cancer
3569,IL6,MONDO_0001056,gastric cancer
3576,CXCL8,MONDO_0001056,gastric cancer
3570,IL6R,MONDO_0001056,gastric cancer
6257,RXRB,MONDO_0001056,gastric cancer
6095,RORA,MONDO_0001056,gastric cancer
5468,PPARG,MONDO_0001056,gastric cancer
5054,SERPINE1,MONDO_0001056,gastric cancer
5080,PAX6,MONDO_0001056,gastric cancer
4609,MYC,MONDO_0001056,gastric cancer
595,CCND1,MONDO_0001056,gastric cancer
5562,PRKAA1,MONDO_0001056,gastric cancer
5290,PIK3CA,MONDO_0001056,gastric cancer
4319,MMP10,MONDO_0001056,gastric cancer
5328,PLAU,MONDO_0001056,gastric cancer
7124,TNF,MONDO_0001056,gastric cancer
7039,TGFA,MONDO_0001056,gastric cancer
7056,THBD,MONDO_0001056,gastric cancer
7157,TP53,MONDO_0001056,gastric cancer
7421,VDR,MONDO_0001068,osteomalacia (disease)
132,ADK,MONDO_0001071,intellectual disability
2194,FASN,MONDO_0001071,intellectual disability
5080,PAX6,MONDO_0001071,intellectual disability
5728,PTEN,MONDO_0001071,intellectual disability
1634,DCN,MONDO_0001085,interstitial nephritis
1559,CYP2C9,MONDO_0001085,interstitial nephritis
6347,CCL2,MONDO_0001085,interstitial nephritis
1591,CYP24A1,MONDO_0001106,kidney failure
3383,ICAM1,MONDO_0001106,kidney failure
3791,KDR,MONDO_0001106,kidney failure
5468,PPARG,MONDO_0001106,kidney failure
7412,VCAM1,MONDO_0001106,kidney failure
7040,TGFB1,MONDO_0001106,kidney failure
7421,VDR,MONDO_0001106,kidney failure
3091,HIF1A,MONDO_0001115,familial polycythemia
1544,CYP1A2,MONDO_0001117,methemoglobinemia
1557,CYP2C19,MONDO_0001119,premature menopause
367,AR,MONDO_0001119,premature menopause
4780,NFE2L2,MONDO_0001119,premature menopause
1950,EGF,MONDO_0001126,gastric ulcer (disease)
4318,MMP9,MONDO_0001126,gastric ulcer (disease)
847,CAT,MONDO_0001126,gastric ulcer (disease)
7124,TNF,MONDO_0001126,gastric ulcer (disease)
3569,IL6,MONDO_0001152,amnestic disorder
3552,IL1A,MONDO_0001152,amnestic disorder
3558,IL2,MONDO_0001152,amnestic disorder
1813,DRD2,MONDO_0001162,impulse control disorder
2099,ESR1,MONDO_0001166,nephritis
355,FAS,MONDO_0001166,nephritis
3569,IL6,MONDO_0001166,nephritis
3576,CXCL8,MONDO_0001166,nephritis
3558,IL2,MONDO_0001166,nephritis
6347,CCL2,MONDO_0001166,nephritis
5328,PLAU,MONDO_0001166,nephritis
5468,PPARG,MONDO_0001166,nephritis
7124,TNF,MONDO_0001166,nephritis
3558,IL2,MONDO_0001185,dissociative amnesia
3569,IL6,MONDO_0001185,dissociative amnesia
3552,IL1A,MONDO_0001185,dissociative amnesia
2735,GLI1,MONDO_0001187,urinary bladder cancer
1728,NQO1,MONDO_0001187,urinary bladder cancer
2100,ESR2,MONDO_0001187,urinary bladder cancer
2099,ESR1,MONDO_0001187,urinary bladder cancer
1026,CDKN1A,MONDO_0001187,urinary bladder cancer
4318,MMP9,MONDO_0001187,urinary bladder cancer
3479,IGF1,MONDO_0001187,urinary bladder cancer
3576,CXCL8,MONDO_0001187,urinary bladder cancer
3558,IL2,MONDO_0001187,urinary bladder cancer
355,FAS,MONDO_0001187,urinary bladder cancer
4609,MYC,MONDO_0001187,urinary bladder cancer
7157,TP53,MONDO_0001187,urinary bladder cancer
7124,TNF,MONDO_0001187,urinary bladder cancer
6714,SRC,MONDO_0001187,urinary bladder cancer
7077,TIMP2,MONDO_0001187,urinary bladder cancer
3949,LDLR,MONDO_0001246,typhus
847,CAT,MONDO_0001247,social phobia
2908,NR3C1,MONDO_0001265,schizophreniform disorder
196,AHR,MONDO_0001270,stone in bladder diverticulum
5241,PGR,MONDO_0001275,spinal meningioma
5728,PTEN,MONDO_0001275,spinal meningioma
5327,PLAT,MONDO_0001297,cardiac tamponade
6530,SLC6A2,MONDO_0001298,congenital mitral valve insufficiency
3082,HGF,MONDO_0001299,diabetic autonomic neuropathy
4318,MMP9,MONDO_0001299,diabetic autonomic neuropathy
7040,TGFB1,MONDO_0001299,diabetic autonomic neuropathy
847,CAT,MONDO_0001299,diabetic autonomic neuropathy
836,CASP3,MONDO_0001299,diabetic autonomic neuropathy
