rhsa,pwLabel,k,K,expected,fold,p,FDR,genes
R-HSA-383280,Nuclear Receptor transcription pathway,22,44,1.1014588859416445,19.973509933774835,1.6226814305886126e-24,6.815262008472173e-23,AR|ESR1|ESR2|ESRRA|HNF4A|NR1H4|NR1I2|NR1I3|NR3C1|NR4A2|PGR|PPARA|PPARD|PPARG|RARA|RORA|RORC|RXRA|RXRB|THRA|THRB|VDR
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,28,92,2.303050397877984,12.157788655341204,9.446382046134681e-24,1.983740229688283e-22,CCL2|CCND1|CDKN1A|CXCL8|FGF2|FOS|FOXO1|FOXO3|HGF|HIF1A|ICAM1|IL17A|IL6|IL6R|MMP1|MMP3|MMP9|MYC|OPRD1|OPRM1|POU2F1|RORA|RORC|TGFB1|TIMP1|TNF|TP53|VCAM1
R-HSA-4090294,SUMOylation of intracellular receptors,15,22,0.5507294429708223,27.236604455147504,6.916081499506169e-20,9.682514099308637e-19,AR|ESR1|NR1H4|NR1I2|NR3C1|NR4A2|PGR|PPARA|PPARG|RARA|RORA|RXRA|THRA|THRB|VDR
R-HSA-211981,Xenobiotics,9,17,0.4255636604774536,21.148422282820412,6.237103498979286e-11,6.54895867392825e-10,AHR|CYP1A1|CYP2B6|CYP2C18|CYP2C19|CYP2C9|CYP2E1|CYP2J2|CYP3A4
R-HSA-1989781,PPARA activates gene expression,15,73,1.827420424403183,8.208291753606096,1.973617011232842e-10,1.6578382894355875e-09,ACOX1|AHR|CYP1A1|ESRRA|FABP1|HMGCS2|NR1H4|NRF1|PPARA|PPARG|RORA|RXRA|RXRB|SP1|SREBF1
R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt),7,15,0.3754973474801061,18.641942604856514,2.9174773398166993e-08,2.0422341378716898e-07,CAT|ESR1|FOXO3|HSF1|HSPA1A|NRF1|SIRT3
R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",7,20,0.5006631299734748,13.981456953642383,3.1627991839425545e-07,1.8976795103655327e-06,CAT|FOXO1|FOXO3|IGFBP1|NR3C1|SIRT3|SREBF1
R-HSA-2142670,Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),5,8,0.2002652519893899,24.966887417218544,4.85150799174422e-07,2.547041695665716e-06,CYP1A1|CYP1A2|CYP2C19|CYP2C9|CYP2J2
R-HSA-6783783,Interleukin-10 signaling,8,31,0.776027851458886,10.308908352916044,6.201935445933471e-07,2.8942365414356198e-06,CCL2|CSF1|CXCL8|ICAM1|IL6|TIMP1|TNF|TNFRSF1A
R-HSA-380994,ATF4 activates genes in response to endoplasmic reticulum  stress,6,19,0.47562997347480107,12.614848379226212,4.618843326632581e-06,1.939914197185684e-05,ATF6|CCL2|CEBPB|CXCL8|DDIT3|IGFBP1
R-HSA-159418,Recycling of bile acids and salts,5,13,0.3254310344827586,15.364238410596027,1.0071282507894435e-05,3.7333694004231006e-05,ABCB11|ABCC3|NR1H4|RXRA|SLCO1B1
R-HSA-9009391,Extra-nuclear estrogen signaling,7,32,0.8010610079575596,8.73841059602649,1.0666769715494573e-05,3.7333694004231006e-05,EGF|ESR1|ESR2|MMP3|MMP9|PIK3CA|SRC
