hEntrez	humanSymbol	symbol	l2fc_WT	p_WT	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	l2fc_KO	p_KO	nTissues	specificity	bone_role	sig_WT	sig_KO	n_arms	direction	maxabs	both_samedir	nrf2_dependent	bone_evidence	priority	tier
10	NAT2	Nat2	0.325587	0.0404365			False	False						True	False	1	↑	0.325587		False	none	12.2	C
100	ADA	Ada	0.397866	0.0140226			False	False						True	False	1	↑	0.397866		False	none	12.7	C
100033411	DUXB	Duxbl1	-1.48653	0.0318445			False	False			4.0	systemic		True	False	1	↓	1.48653		False	none	19.9	C
100049587	SIGLEC14	Siglecf	0.756708	0.000347953			False	False						True	False	1	↑	0.756708		False	none	15.0	C
10009	ZBTB33	Zbtb33	0.237496	0.0280869			False	False	0.228728	0.034016				True	True	2	↑	0.237496	True	False	none	26.6	C
100093630	SNHG8	Snhg8	0.4081	0.0369319			False	False						True	False	1	↑	0.4081		False	none	12.7	C
100101267	POM121C	Pom121					False	False	-1.18041	7.83156e-08				False	True	1	↓	1.18041		False	none	17.9	C
100101490	MCTS2	Mcts1	0.551151	3.03371e-05			False	False	0.351077	0.0116301				True	True	2	↑	0.551151	True	False	none	28.7	C
10011	SRA1	Sra1	0.479843	0.000732251			False	False	0.423521	0.00288158				True	True	2	↑	0.479843	True	False	none	28.2	C
100113407	TMEM170B	Tmem170b					False	False	0.299385	0.00335155				False	True	1	↑	0.299385		False	none	12.0	C
100128569	TEKTIP1	4930404N11Rik	-0.968323	0.000273651			False	False	-1.20631	1.11921e-05				True	True	2	↓	1.20631	True	False	none	33.0	C
100128731	OST4	Ost4	0.516238	0.000136993			False	False						True	False	1	↑	0.516238		False	none	13.4	C
100129094		Btnl10	-1.11414	1.03571e-11			False	False	-1.00838	7.4355e-10	3.0	systemic		True	True	2	↓	1.11414	True	False	none	32.4	C
100129361	SMIM10L1	Smim10l1	0.412535	0.00135838			False	False						True	False	1	↑	0.412535		False	none	12.8	C
10013	HDAC6	Hdac6			BMD|fracture		False	True	-0.572382	0.0114951				False	True	1	↓	0.572382		True	gwas_strong	36.8	B
