trait,traitLabel,gene,geneLabel,weight,entrez
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e491549d91b916e24445,Forearm bone mineral density,http://www.ncbi.nlm.nih.gov/gene/1000,CDH2,1.2,1000
http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100126315,MIR665,1.16,100126315
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100126315,MIR665,1.23,100126315
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),http://www.ncbi.nlm.nih.gov/gene/100126315,MIR665,1.18,100126315
http://purl.obolibrary.org/obo/OBA_2045559,bone density,http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,1.12,100126825
http://www.orpha.net/ORDO/Orphanet_93444,Primary bone dysplasia with increased bone density,http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,1.13,100126825
http://www.orpha.net/ORDO/Orphanet_2781,Osteopetrosis and related disorders,http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,1.28,100126825
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4c9a9bb4a649f5e9348c,Bone fracture,http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,2.35,100126825
http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,1.43,100126825
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,1.17,100126825
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a1c7ae8b81e9b648213,Lumbar spine bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,1.5,100126825
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),http://www.ncbi.nlm.nih.gov/gene/100126825,GJA6P,1.75,100126825
http://www.orpha.net/ORDO/Orphanet_93447,Primary bone dysplasia with defective bone mineralization,http://www.ncbi.nlm.nih.gov/gene/100127206,MINAR2,2.34,100127206
http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100128124,HGC6.3,1.42,100128124
http://purl.obolibrary.org/obo/OBA_2045559,bone density,http://www.ncbi.nlm.nih.gov/gene/100129128,KHDC1L,1.64,100129128
http://www.orpha.net/ORDO/Orphanet_93444,Primary bone dysplasia with increased bone density,http://www.ncbi.nlm.nih.gov/gene/10013,HDAC6,1.08,10013
http://www.orpha.net/ORDO/Orphanet_2781,Osteopetrosis and related disorders,http://www.ncbi.nlm.nih.gov/gene/10013,HDAC6,1.19,10013
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f536cb6072cfe6124034,Forearm fracture,http://www.ncbi.nlm.nih.gov/gene/10013,HDAC6,1.04,10013
http://www.ebi.ac.uk/efo/EFO_0007785,Femoral neck bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100130733,LRRC70,1.15,100130733
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4c9a9bb4a649f5e9348c,Bone fracture,http://www.ncbi.nlm.nih.gov/gene/100130733,LRRC70,1.73,100130733
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100130733,LRRC70,1.86,100130733
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a1c7ae8b81e9b648213,Lumbar spine bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100130733,LRRC70,1.25,100130733
http://purl.obolibrary.org/obo/MONDO_0005327,Hip fracture,http://www.ncbi.nlm.nih.gov/gene/100130988,C7orf72,2.42,100130988
http://www.orpha.net/ORDO/Orphanet_93447,Primary bone dysplasia with defective bone mineralization,http://www.ncbi.nlm.nih.gov/gene/100131897,FAM196B,2.2,100131897
https://purl.org/okn/frink/kg/digcfdekg/node/trait/b9d2e23e2c4ab2bc7ef9,EHR-defined osteoporosis,http://www.ncbi.nlm.nih.gov/gene/100131897,FAM196B,2.11,100131897
http://purl.obolibrary.org/obo/OBA_2045559,bone density,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,1.45,10014
http://www.ebi.ac.uk/efo/EFO_0007785,Femoral neck bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,1.24,10014
http://www.ebi.ac.uk/efo/EFO_0007785,Femoral neck bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,1.73,10014
http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,1.77,10014
https://purl.org/okn/frink/kg/digcfdekg/node/trait/4c9a9bb4a649f5e9348c,Bone fracture,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,2.28,10014
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a1c7ae8b81e9b648213,Lumbar spine bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,1.19,10014
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,1.19,10014
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f536cb6072cfe6124034,Forearm fracture,http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,2.3,10014
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),http://www.ncbi.nlm.nih.gov/gene/10014,HDAC5,2.68,10014
https://purl.org/okn/frink/kg/digcfdekg/node/trait/822d2a7dd4120de88ed8,EHR-defined osteoporosis (dominant model),http://www.ncbi.nlm.nih.gov/gene/100144748,KLLN,1.17,100144748
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e491549d91b916e24445,Forearm bone mineral density,http://www.ncbi.nlm.nih.gov/gene/100144748,KLLN,1.01,100144748
http://purl.obolibrary.org/obo/OBA_2045559,bone density,http://www.ncbi.nlm.nih.gov/gene/10015,PDCD6IP,2.63,10015
https://purl.org/okn/frink/kg/digcfdekg/node/trait/e491549d91b916e24445,Forearm bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10016,PDCD6,1.88,10016
http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10018,BCL2L11,1.08,10018
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),http://www.ncbi.nlm.nih.gov/gene/10018,BCL2L11,1.11,10018
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f536cb6072cfe6124034,Forearm fracture,http://www.ncbi.nlm.nih.gov/gene/10018,BCL2L11,1.72,10018
https://purl.org/okn/frink/kg/digcfdekg/node/trait/eac7647078ccfdee1d15,Total body (less head) bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10020,GNE,1.27,10020
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10023,FRAT1,1.08,10023
