category,K,k,n,N,expected,fold,p,fdr,signature
Reduced bone mineral density_HP:0004349,461,61,730,9925,33.91,1.8,4.16829543592932e-06,1.667318174371728e-05,all
Osteopenia_HP:0000938,246,30,730,9925,18.09,1.66,0.004156277299945173,0.008312554599890346,all
Severe generalized osteoporosis_HP:0005897,2,1,730,9925,0.15,6.8,0.1417002975764424,0.1889337301019232,all
"Osteoporosis, Senile",8,1,730,9925,0.59,1.7,0.45740920312021127,0.45740920312021127,all
Reduced bone mineral density_HP:0004349,461,22,226,9925,10.5,2.1,0.0008143477868142292,0.0024430433604426876,core
"Osteoporosis, Senile",8,1,226,9925,0.18,5.49,0.16834541255358632,0.19888267045933916,core
Osteopenia_HP:0000938,246,8,226,9925,5.6,1.43,0.19888267045933916,0.19888267045933916,core
Reduced bone mineral density_HP:0004349,461,10,117,9925,5.43,1.84,0.045266752686468514,0.09053726034570737,bone_marrow
Osteopenia_HP:0000938,246,6,117,9925,2.9,2.07,0.07052047431907665,0.09053726034570737,bone_marrow
"Osteoporosis, Senile",8,1,117,9925,0.09,10.6,0.09053726034570737,0.09053726034570737,bone_marrow
