category,K,k,n,N,expected,fold,p,fdr,family,signature,label
http://purl.obolibrary.org/obo/GO_0006811,365,81,1010,7663,48.11,1.68,8.333497055301273e-07,0.0008366831043522,GO_BP,all,monoatomic ion transport
http://purl.obolibrary.org/obo/GO_0090103,6,6,1010,7663,0.79,7.59,5.175161990774483e-06,0.0025979313193687,GO_BP,all,cochlea morphogenesis
http://purl.obolibrary.org/obo/GO_0034220,239,56,1010,7663,31.5,1.78,8.03500530925131e-06,0.0026890484434961,GO_BP,all,monoatomic ion transmembrane transport
http://purl.obolibrary.org/obo/GO_0008544,43,17,1010,7663,5.67,3.0,1.385539949954987e-05,0.003477705274387,GO_BP,all,epidermis development
http://purl.obolibrary.org/obo/GO_0007565,51,18,1010,7663,6.72,2.68,4.75748950250798e-05,0.0089215714106719,GO_BP,all,female pregnancy
http://purl.obolibrary.org/obo/GO_0042572,27,12,1010,7663,3.56,3.37,6.659469397836644e-05,0.0089215714106719,GO_BP,all,retinol metabolic process
http://purl.obolibrary.org/obo/GO_0007155,433,85,1010,7663,57.07,1.49,6.840595701863123e-05,0.0089215714106719,GO_BP,all,cell adhesion
http://purl.obolibrary.org/obo/GO_0006954,245,54,1010,7663,32.29,1.67,7.108821841172841e-05,0.0089215714106719,GO_BP,all,inflammatory response
http://purl.obolibrary.org/obo/GO_0033629,11,7,1010,7663,1.45,4.83,0.0001378074544348,0.0142450904265982,GO_BP,all,negative regulation of cell adhesion mediated by integrin
http://purl.obolibrary.org/obo/GO_0006813,84,24,1010,7663,11.07,2.17,0.0001418833707828,0.0142450904265982,GO_BP,all,potassium ion transport
http://purl.obolibrary.org/obo/GO_0048545,18,9,1010,7663,2.37,3.79,0.0001844460762451,0.0144649500778971,GO_BP,all,response to steroid hormone
http://purl.obolibrary.org/obo/GO_0002715,6,5,1010,7663,0.79,6.32,0.0002107295066153,0.0144649500778971,GO_BP,all,regulation of natural killer cell mediated immunity
http://purl.obolibrary.org/obo/GO_0002477,6,5,1010,7663,0.79,6.32,0.0002107295066153,0.0144649500778971,GO_BP,all,antigen processing and presentation of exogenous peptide antigen via MHC class Ib
