assay,gene,symbol,organism,taxonomy,log2fc,adj_p,osd,tissue,entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100009609,Vmn2r65,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.84519,0.0117685,OSD-770,soleus,100009609
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100034684,Cstdc5,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,2.17184,1.64565e-18,OSD-690,bone marrow,100034684
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100034684,Cstdc5,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.55001,3.27784e-10,OSD-690,bone marrow,100034684
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-326-0fc1dbed094071ca1f2f41bddd0ac5a7,http://www.ncbi.nlm.nih.gov/gene/100034726,Gm15772,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.43727,0.00271619,OSD-326,quadriceps femoris,100034726
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100036518,Vmn1r223,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,2.26919,0.0497512,OSD-770,soleus,100036518
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100037278,Niban3,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.21698,0.00168265,OSD-666,quadriceps femoris,100037278
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100037278,Niban3,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.02475,2.56441e-05,OSD-690,bone marrow,100037278
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-99-69f6c3ba8382c8668e921659326759d7,http://www.ncbi.nlm.nih.gov/gene/100038464,Gm15441,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.67859,1.35626e-05,OSD-99,EDL,100038464
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100038538,Gm10767,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.15523,0.00385152,OSD-104,soleus,100038538
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100038574,Gm10415,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,3.37694,0.0229266,OSD-770,soleus,100038574
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100038608,Gm10389,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,3.54987,0.039314,OSD-770,soleus,100038608
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100038712,Gm10516,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.0306,0.0146604,OSD-690,bone marrow,100038712
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100038712,Gm10516,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.32909,0.00185512,OSD-690,bone marrow,100038712
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-326-0fc1dbed094071ca1f2f41bddd0ac5a7,http://www.ncbi.nlm.nih.gov/gene/100038725,Cep85l,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.32328,0.00446906,OSD-326,quadriceps femoris,100038725
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-576-df35787540b0077305f2739d53c076ed,http://www.ncbi.nlm.nih.gov/gene/100038725,Cep85l,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.30467,0.00158419,OSD-576,tibialis anterior,100038725
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-665-a4167284b0876ec8d3daba0d0e4a567f,http://www.ncbi.nlm.nih.gov/gene/100038725,Cep85l,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.01799,6.6701e-12,OSD-665,EDL,100038725
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100038725,Cep85l,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.34988,9.80049e-08,OSD-666,quadriceps femoris,100038725
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100038752,Gm10825,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,2.2418,0.0476189,OSD-770,soleus,100038752
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-105-cfde96b31f3c39139e213c293fde11e0,http://www.ncbi.nlm.nih.gov/gene/100038882,Isg15,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.33221,0.00639945,OSD-105,tibialis anterior,100038882
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,http://www.ncbi.nlm.nih.gov/gene/100038882,Isg15,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.12081,0.00160864,OSD-103,quadriceps femoris,100038882
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-99-69f6c3ba8382c8668e921659326759d7,http://www.ncbi.nlm.nih.gov/gene/100038882,Isg15,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.13979,0.00212374,OSD-99,EDL,100038882
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100038991,Rpl35rt,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.88936,0.00770973,OSD-770,soleus,100038991
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100039027,Gm2011,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.047,0.00945091,OSD-770,soleus,100039027
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100039162,Eif1ad17,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,3.73807,0.0320628,OSD-770,soleus,100039162
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-665-a4167284b0876ec8d3daba0d0e4a567f,http://www.ncbi.nlm.nih.gov/gene/100039218,Gm2106,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.0055,0.00130726,OSD-665,EDL,100039218
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100039239,Ctxnd1,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.05032,0.0327847,OSD-770,soleus,100039239
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-665-a4167284b0876ec8d3daba0d0e4a567f,http://www.ncbi.nlm.nih.gov/gene/100039542,Tbx3os1,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.63267,0.000186523,OSD-665,EDL,100039542
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100039542,Tbx3os1,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.07456,0.0460055,OSD-770,soleus,100039542
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100039672,Msmp,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-2.28977,0.020418,OSD-770,soleus,100039672
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100039763,Cldn34c6,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,4.0213,0.00616375,OSD-770,soleus,100039763
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100039796,Tgtp2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.99316,8.08889e-06,OSD-770,soleus,100039796
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-665-a4167284b0876ec8d3daba0d0e4a567f,http://www.ncbi.nlm.nih.gov/gene/100039796,Tgtp2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.51646,0.000911874,OSD-665,EDL,100039796
