hEntrez,humanSymbol,n_assays,n_studies,n_tissues,tissues,studies,organisms,n_up,n_down,max_abs_log2fc,min_adj_p,mean_log2fc,ambiguous,consistent_direction,net_direction
1628,DBP,11,11,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-105; OSD-419; OSD-422; OSD-576; OSD-665; OSD-666; OSD-770; OSD-99,Mus musculus; Rattus norvegicus,0,11,-2.2107,1.38511e-16,-1.7932545454545454,False,consistent,down
121952,METTL21EP,10,10,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-105; OSD-326; OSD-576; OSD-665; OSD-666; OSD-770; OSD-99,Mus musculus,10,0,4.0796,3.34613e-28,1.91464,False,consistent,up
2353,FOS,9,9,5,bone marrow; extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-103; OSD-104; OSD-105; OSD-576; OSD-665; OSD-666; OSD-690; OSD-770; OSD-99,Mus musculus,5,4,3.1094,6.19851e-11,0.5190777777777777,False,mixed,up
8864,PER2,9,9,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-105; OSD-326; OSD-576; OSD-665; OSD-666; OSD-99,Mus musculus,0,9,-2.3457,4.3574e-13,-1.4577333333333333,False,consistent,down
1026,CDKN1A,8,8,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-103; OSD-105; OSD-422; OSD-576; OSD-665; OSD-666; OSD-770; OSD-99,Mus musculus; Rattus norvegicus,8,0,2.6857,1.64393e-08,1.8809500000000001,False,consistent,up
284451,ODF3L2,8,8,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-103; OSD-104; OSD-105; OSD-576; OSD-665; OSD-666; OSD-770; OSD-99,Mus musculus,8,0,4.8279,1.59742e-15,2.171,False,consistent,up
148523,CIART,7,7,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-105; OSD-576; OSD-770; OSD-99,Mus musculus,0,7,-2.9118,3.94941e-23,-1.9220428571428572,False,consistent,down
4862,NPAS2,7,7,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-105; OSD-576; OSD-770; OSD-99,Mus musculus,7,0,1.8385,6.36701e-06,1.3485142857142858,False,consistent,up
5409,PNMT,7,7,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-576; OSD-665; OSD-666; OSD-770,Mus musculus,7,0,4.0113,5.57e-49,2.7582285714285715,False,consistent,up
1052,CEBPD,6,6,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-422; OSD-576; OSD-665; OSD-666; OSD-770,Mus musculus; Rattus norvegicus,6,0,2.0493,1.2351e-17,1.6725333333333332,False,consistent,up
10965,ACOT2,6,5,5,bone marrow; extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-665; OSD-666; OSD-690; OSD-770,Mus musculus,6,0,2.1994,3.73469e-10,1.88485,True,consistent,up
2289,FKBP5,6,6,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-422; OSD-576; OSD-665; OSD-666; OSD-770,Mus musculus; Rattus norvegicus,6,0,1.9431,4.00332e-08,1.5249,False,consistent,up
249,ALPL,6,5,5,bone marrow; extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-665; OSD-666; OSD-690; OSD-770,Mus musculus,0,6,-2.7891,2.51726e-10,-1.9104166666666664,False,consistent,down
4501,MT1X,6,6,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,6,0,3.9715,4.29338e-09,1.88655,True,consistent,up
4502,MT2A,6,6,5,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus; tibialis anterior,OSD-101; OSD-103; OSD-104; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,6,0,3.9715,4.29338e-09,1.88655,False,consistent,up
641371,ACOT1,6,5,5,bone marrow; extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-665; OSD-666; OSD-690; OSD-770,Mus musculus,6,0,2.1994,3.73469e-10,1.88485,True,consistent,up
163351,GBP6,6,6,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-105; OSD-576; OSD-665; OSD-666; OSD-770; OSD-99,Mus musculus,3,3,2.4491,4.93567e-50,0.2990333333333333,True,mixed,mixed
23237,ARC,6,6,4,bone marrow; extensor digitorum longus; gastrocnemius; soleus,OSD-101; OSD-104; OSD-665; OSD-690; OSD-770; OSD-99,Mus musculus,2,4,-1.8955,4.73824e-15,-0.5861666666666666,False,mixed,down
375057,STUM,6,6,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-576; OSD-666; OSD-99,Mus musculus,0,6,-1.6324,1.45238e-09,-1.3604166666666666,False,consistent,down
220213,OTUD1,6,6,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-105; OSD-576; OSD-665; OSD-770; OSD-99,Mus musculus,3,3,-3.0472,8.2576e-24,-0.1725500000000001,False,mixed,mixed
2645,GCK,6,6,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-103; OSD-104; OSD-326; OSD-665; OSD-770; OSD-99,Mus musculus,3,3,-2.7094,1.71132e-05,-0.2463166666666667,False,mixed,mixed
30819,KCNIP2,6,6,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-105; OSD-576; OSD-665; OSD-770; OSD-99,Mus musculus,4,2,2.6114,2.94072e-13,0.8169166666666667,False,mixed,up
5166,PDK4,5,5,5,bone marrow; extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus,OSD-422; OSD-666; OSD-690; OSD-770; OSD-99,Mus musculus; Rattus norvegicus,3,2,3.3968,1.16791e-25,0.5661799999999999,False,mixed,up
6521,SLC4A1,5,5,5,bone marrow; extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-665; OSD-666; OSD-690; OSD-770,Mus musculus,4,1,2.0484,8.73518e-15,1.07008,False,mixed,up
1263,PLK3,5,5,4,extensor digitorum longus; gastrocnemius; soleus; tibialis anterior,OSD-101; OSD-104; OSD-576; OSD-665; OSD-770,Mus musculus,1,4,-2.1232,4.07267e-08,-0.8811,False,mixed,down
1271,CNTFR,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-105; OSD-576; OSD-665; OSD-666,Mus musculus,2,3,2.522,1.72895e-68,-0.31344000000000005,False,mixed,down
149563,SRARP,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-665; OSD-666; OSD-770; OSD-99,Mus musculus,1,4,-2.8005,5.31198e-05,-1.41096,False,mixed,down
150290,DUSP18,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-105; OSD-666; OSD-770; OSD-99,Mus musculus,2,3,-2.4297,1.95601e-42,-0.6606799999999999,False,mixed,down
2354,FOSB,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-103; OSD-105; OSD-666; OSD-770; OSD-99,Mus musculus,4,1,2.8446,2.93202e-14,1.4213,False,mixed,up
23780,APOL2,5,5,4,bone marrow; extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-105; OSD-690; OSD-770; OSD-99,Mus musculus,4,1,2.3916,2.53484e-07,1.2570800000000002,True,mixed,up
387119,CEP85L,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-326; OSD-422; OSD-576; OSD-665; OSD-666,Mus musculus; Rattus norvegicus,4,1,1.9682,6.6701e-12,0.8634999999999999,False,mixed,up
440699,LRRC52,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-105; OSD-666; OSD-770; OSD-99,Mus musculus,2,3,-2.846,3.39474e-52,-0.82492,False,mixed,down
4489,MT1A,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,5,0,2.6497,8.16862e-12,1.50902,False,consistent,up
4493,MT1E,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,5,0,2.6497,8.16862e-12,1.50902,False,consistent,up
4494,MT1F,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,5,0,2.6497,8.16862e-12,1.50902,False,consistent,up
4495,MT1G,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,5,0,2.6497,8.16862e-12,1.50902,False,consistent,up
4496,MT1H,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,5,0,2.6497,8.16862e-12,1.50902,False,consistent,up
4499,MT1M,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,5,0,2.6497,8.16862e-12,1.50902,False,consistent,up
4500,MT1L,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,5,0,2.6497,8.16862e-12,1.50902,False,consistent,up
5209,PFKFB3,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-105; OSD-576; OSD-665; OSD-666,Mus musculus,4,1,1.8055,2.5468e-10,0.93998,False,mixed,up
54463,RETREG1,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; soleus,OSD-419; OSD-422; OSD-665; OSD-666; OSD-770,Mus musculus; Rattus norvegicus,4,1,2.0253,1.97624e-16,0.9874,False,mixed,up
595,CCND1,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-665; OSD-666; OSD-770; OSD-99,Mus musculus,1,4,-1.6161,1.83801e-11,-1.0131999999999999,False,mixed,down
622,BDH1,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-105; OSD-666; OSD-770; OSD-99,Mus musculus,2,3,1.9805,3.90874e-45,-0.07038000000000007,False,mixed,down
6659,SOX4,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-576; OSD-665; OSD-666,Mus musculus,5,0,1.6722,1.83949e-10,1.4233,False,consistent,up
80832,APOL4,5,5,4,bone marrow; extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-105; OSD-690; OSD-770; OSD-99,Mus musculus,4,1,2.3916,2.53484e-07,1.2570800000000002,True,mixed,up
80833,APOL3,5,5,4,bone marrow; extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-105; OSD-690; OSD-770; OSD-99,Mus musculus,4,1,2.3916,2.53484e-07,1.2570800000000002,True,mixed,up
8542,APOL1,5,5,4,bone marrow; extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-105; OSD-690; OSD-770; OSD-99,Mus musculus,4,1,2.3916,2.53484e-07,1.2570800000000002,True,mixed,up
8863,PER3,5,5,4,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,OSD-101; OSD-103; OSD-105; OSD-326; OSD-99,Mus musculus,0,5,-1.5968,1.91694e-19,-1.3435000000000001,False,consistent,down
9899,SV2B,5,5,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665; OSD-666; OSD-770,Mus musculus,5,0,3.2353,3.81588e-36,2.27536,False,consistent,up
3303,HSPA1A,5,5,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-105; OSD-576; OSD-665; OSD-666; OSD-99,Mus musculus,2,3,-4.9629,6.34404e-17,-1.8956600000000001,True,mixed,down
3304,HSPA1B,5,5,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-105; OSD-576; OSD-665; OSD-666; OSD-99,Mus musculus,2,3,-4.9629,6.34404e-17,-1.8956600000000001,True,mixed,down
467,ATF3,5,5,3,extensor digitorum longus; soleus; tibialis anterior,OSD-105; OSD-576; OSD-665; OSD-770; OSD-99,Mus musculus,3,2,-3.4441,1.87769e-11,0.14103999999999992,False,mixed,up
10579,TACC2,4,4,4,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-665; OSD-666; OSD-770,Mus musculus,4,0,1.2615,3.38733e-10,1.154125,False,consistent,up
