theme	nterms	top	maxfold
Immune / inflammatory	15	CD8+ alpha-beta T cell homeostasis	4.76
Mitochondrial OXPHOS & respiration	12	mitochondrial ATP synthesis (PMF)	5.13
Cell cycle & division	9	reg. of G1/S transition (mitotic)	5.13
Proteostasis (ubiquitin-proteasome)	9	proteasomal ubiquitin-independent catabolism	4.22
Heme / erythroid	5	porphyrin biosynthesis	5.13
Metabolic / signaling	5	apoptotic process	5.13
Other	5	spermatogenesis	5.13
Translation & ribosome	4	cytoplasmic translation	4.32
Muscle (minor)	3	negative regulation of myoblast fusion	5.13
Oxidative-stress response (Nrf2)	2	response to oxidative stress	2.02
