hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
10009	ZBTB33	Zbtb33	56805	0.228728	0.228728	0.034016	1			False	False	True
100101267	POM121C	Pom121	107939	-1.18041	-1.18041	7.83156e-08	1			False	False	True
100101490	MCTS2	Mcts1	68995	0.351077	0.351077	0.0116301	1			False	False	True
10011	SRA1	Sra1	24068	0.423521	0.423521	0.00288158	1			False	False	True
100113407	TMEM170B	Tmem170b	621976	0.299385	0.299385	0.00335155	1			False	False	True
100128569	TEKTIP1	4930404N11Rik	432479	-1.20631	-1.20631	1.11921e-05	1			False	False	True
100129094		Btnl10	192194	-1.00838	-1.00838	7.4355e-10	1			False	False	True
10013	HDAC6	Hdac6	15185	-0.572382	-0.572382	0.0114951	1	BMD|fracture		False	True	True
100130932		Snrpg	68011	0.474204	0.474204	0.00537267	1			False	False	True
100131017	ZNF316	Zfp316	54201	-0.885693	-0.885693	0.000875497	1			False	False	False
100131439	CD300LD	Cd300ld5	100043125	-3.21385	-0.6650489999999999	0.0146225	3			False	False	True
100131801	PET100	Pet100	100503890	0.41914	0.41914	0.00796343	1			False	False	True
100132565		Golga2	99412	-0.516335	-0.516335	0.00812759	1			False	False	False
100132911		Dph3	105638	0.383007	0.383007	0.00452617	1			False	False	True
100134934	TEN1	Ten1	69535	0.395102	0.395102	0.0200292	1			False	False	True
10014	HDAC5	Hdac5	15184	-0.73163	-0.73163	5.94601e-05	1	BMD|fracture		False	True	True
100141515	C17orf99	6030468B19Rik	77727	-0.999452	-0.999452	2.25952e-05	1			False	False	True
10016	PDCD6	Pdcd6	18570	0.462343	0.462343	0.00140721	1	BMD		False	True	True
10018	BCL2L11	Bcl2l11	12125	-0.418835	-0.418835	0.00814654	1	BMD|fracture		False	True	True
100188893	TOMM6	Tomm6	66119	0.467663	0.467663	0.00150484	1			False	False	True
10019	SH2B3	Sh2b3	16923	-0.64996	-0.64996	0.00523794	1			False	False	True
10024	TROAP	Troap	78733	-0.46678	-0.46678	0.00621957	1	BMD		False	True	True
10025	MED16	Med16	216154	-0.861744	-0.861744	2.7108e-05	1			False	False	True
10026	PIGK	Pigk	329777	0.394643	0.394643	0.035979	1			False	False	True
100271927	RASA4B	Rasa4	54153	-0.454581	-0.454581	0.0112021	1			False	False	True
100287932	TIMM23	Timm23	53600	0.397662	0.397662	0.00149367	1			False	False	True
100288540		Pom121	107939	-1.18041	-1.18041	7.83156e-08	1			False	False	True
100293534		C4b	12268	-0.794869	-0.794869	0.0473933	1			False	False	True
100302736	TMED7-TICAM2	Tmed7	66676	0.211994	0.211994	0.033112	1	osteoporosis		False	True	True
100316904	SAP25	Sap25	751865	-0.654926	-0.654926	0.00701018	1			False	False	True
10036	CHAF1A	Chaf1a	27221	-0.579578	-0.579578	2.25203e-05	1			False	False	True
10038	PARP2	Parp2	11546	-0.468493	-0.468493	0.00421425	1			False	False	True
10040	TOM1L1	Tom1l1	71943	-0.626168	-0.626168	0.00452617	1			False	False	True
100423062	IGLL5	Igll1	16136	-0.588019	-0.588019	0.0237046	1			False	False	True
100505573	INAFM2	Inafm2	100043272	-0.469856	-0.469856	1.83694e-06	1			False	False	True
100505741	SPATA1	Spata1	70951	0.507972	0.507972	0.0447334	1			False	False	False
100506243	KRBOX1	Zfp65	235907	0.369551	0.369551	0.0417068	1			False	False	True
100507098	ADAMTS9-AS2	9530026P05Rik	330385	-2.72275	-2.72275	0.00197545	1			False	False	True
100507444		Ppp1r2	66849	0.277203	0.277203	0.0351226	1			False	False	True
100526737	RBM14-RBM4	Rbm14	56275	-0.75811	-0.75811	1.03333e-05	1	BMD		False	True	True
100526739	CENPS-CORT	Cenps	69928	0.428477	0.428477	0.0494028	1			False	False	True
100526767	RNF103-CHMP3	Chmp3	66700	0.27045	0.27045	0.00403479	1			False	False	True
100532731	COMMD3-BMI1	Bmi1	12151	0.423895	0.423895	0.0467546	1			False	False	True
100533496	TVP23C-CDRT4	Tvp23b	67510	0.399301	0.399301	0.0160275	1			False	False	True
10054	UBA2	Uba2	50995	0.176961	0.176961	0.031008	1			False	False	True
10058	ABCB6	Abcb6	74104	-0.825516	-0.825516	0.000227734	1			False	False	True
100652748	TIMM23B	Timm23	53600	0.397662	0.397662	0.00149367	1			False	False	True
10066	SCAMP2	Scamp2	24044	-0.537749	-0.537749	0.00635478	1			False	False	True
10067	SCAMP3	Scamp3	24045	-0.299522	-0.299522	0.0293365	1			False	False	True
10077	TSPAN32	Tspan32	27027	0.18424	0.18424	0.0190789	1			False	False	True
10092	ARPC5	Arpc5	67771	0.406817	0.406817	5.76826e-05	1			False	False	True
10094	ARPC3	Arpc3	56378	0.343226	0.343226	0.000135684	1			False	False	True
10095	ARPC1B	Arpc1b	11867	0.273425	0.273425	0.0303309	1			False	False	True
10096	ACTR3	Actr3	74117	0.289666	0.289666	0.000308565	1	BMD		False	True	True
10097	ACTR2	Actr2	66713	0.327379	0.327379	8.2736e-05	1	BMD		False	True	True
101059918	GOLGA8R	Golga2	99412	-0.516335	-0.516335	0.00812759	1			False	False	True
10106	CTDSP2	Ctdsp2	52468	-0.645848	-0.645848	0.000927784	1			False	False	True
10109	ARPC2	Arpc2	76709	0.383014	0.383014	0.000266364	1			False	False	True
10112	KIF20A	Kif20a	19348	-0.46274	-0.46274	0.00763722	1			False	False	True
10121	ACTR1A	Actr1a	54130	-0.251003	-0.251003	0.0185968	1			False	False	True
10124	ARL4A	Arl4a	11861	-0.414572	-0.414572	0.0350968	1	fracture		False	True	True
10133	OPTN	Optn	71648	-0.285545	-0.285545	0.0144119	1			False	False	True
10134	BCAP31	Bcap31	27061	0.288003	0.288003	0.0070347	1			False	False	True
10135	NAMPT	Nampt	59027	0.296041	0.296041	0.00355631	1			False	False	True
10150	MBNL2	Mbnl2	105559	0.235166	0.235166	0.0372757	1			False	False	True
10153	CEBPZ	Cebpz	12607	0.336	0.336	8.88775e-05	1			False	False	True
10155	TRIM28	Trim28	21849	-0.637053	-0.637053	5.74426e-05	1			False	False	True
10156	RASA4	Rasa4	54153	-0.454581	-0.454581	0.0112021	1			False	False	True
10162	LPCAT3	Lpcat3	14792	-0.569173	-0.569173	1.76951e-05	1			False	False	True
10163	WASF2	Wasf2	242687	-0.787623	-0.787623	0.000419771	1			False	False	True
10169	SERF2	Serf2	378702	0.379876	0.379876	0.0201272	1			False	False	True
1017	CDK2	Cdk2	12566	-0.409037	-0.409037	1.98777e-06	1			False	False	True
10170	DHRS9	Dhrs9	241452	0.762033	0.762033	0.0052317	1	BMD		False	True	True
10175	CNIH1	Cnih1	12793	0.281757	0.281757	0.0160131	1			False	False	True
