disease_set,gene
Reduced bone mineral density_HP:0004349,ABCC6
Reduced bone mineral density_HP:0004349,ABCC9
Reduced bone mineral density_HP:0004349,ADAMTS2
Reduced bone mineral density_HP:0004349,ADAMTSL2
Reduced bone mineral density_HP:0004349,ADCY10
Reduced bone mineral density_HP:0004349,AEBP1
Reduced bone mineral density_HP:0004349,AIFM1
Reduced bone mineral density_HP:0004349,AIP
Reduced bone mineral density_HP:0004349,AKR1D1
Reduced bone mineral density_HP:0004349,ALB
Reduced bone mineral density_HP:0004349,ALDH18A1
Reduced bone mineral density_HP:0004349,ALPL
Reduced bone mineral density_HP:0004349,ANAPC1
Reduced bone mineral density_HP:0004349,ANO5
Reduced bone mineral density_HP:0004349,ANOS1
Reduced bone mineral density_HP:0004349,ANTXR2
Reduced bone mineral density_HP:0004349,AP2S1
Reduced bone mineral density_HP:0004349,AR
Reduced bone mineral density_HP:0004349,ARL6IP6
Reduced bone mineral density_HP:0004349,ARMC5
Reduced bone mineral density_HP:0004349,ASAH1
Reduced bone mineral density_HP:0004349,ASXL1
Reduced bone mineral density_HP:0004349,ASXL2
Reduced bone mineral density_HP:0004349,ATP6V0A2
Reduced bone mineral density_HP:0004349,ATP6V0A4
Reduced bone mineral density_HP:0004349,ATP7A
Reduced bone mineral density_HP:0004349,ATP7B
Reduced bone mineral density_HP:0004349,AVP
Reduced bone mineral density_HP:0004349,B3GALT6
Reduced bone mineral density_HP:0004349,B3GAT3
Reduced bone mineral density_HP:0004349,B4GALT7
Reduced bone mineral density_HP:0004349,BAAT
Reduced bone mineral density_HP:0004349,BANF1
Reduced bone mineral density_HP:0004349,BAZ1B
Reduced bone mineral density_HP:0004349,BMP1
Reduced bone mineral density_HP:0004349,BMP15
Reduced bone mineral density_HP:0004349,BMP2
Reduced bone mineral density_HP:0004349,BNC1
Reduced bone mineral density_HP:0004349,BRAF
Reduced bone mineral density_HP:0004349,BRCA1
Reduced bone mineral density_HP:0004349,BRCA2
Reduced bone mineral density_HP:0004349,BRIP1
Reduced bone mineral density_HP:0004349,CA2
Reduced bone mineral density_HP:0004349,CALCR
Reduced bone mineral density_HP:0004349,CANT1
Reduced bone mineral density_HP:0004349,CASR
Reduced bone mineral density_HP:0004349,CAVIN1
Reduced bone mineral density_HP:0004349,CBL
Reduced bone mineral density_HP:0004349,CBS
Reduced bone mineral density_HP:0004349,CCDC141
Reduced bone mineral density_HP:0004349,CCN6
Reduced bone mineral density_HP:0004349,CCND1
Reduced bone mineral density_HP:0004349,CDC73
Reduced bone mineral density_HP:0004349,CDH23
Reduced bone mineral density_HP:0004349,CDKN1A
Reduced bone mineral density_HP:0004349,CDKN1B
Reduced bone mineral density_HP:0004349,CDKN2B
Reduced bone mineral density_HP:0004349,CDKN2C
Reduced bone mineral density_HP:0004349,CHD7
Reduced bone mineral density_HP:0004349,CHST3
Reduced bone mineral density_HP:0004349,CLCN5
Reduced bone mineral density_HP:0004349,CLCN7
Reduced bone mineral density_HP:0004349,CLIP2
Reduced bone mineral density_HP:0004349,COG1
Reduced bone mineral density_HP:0004349,COL1A1
Reduced bone mineral density_HP:0004349,COL1A2
Reduced bone mineral density_HP:0004349,COL2A1
Reduced bone mineral density_HP:0004349,COL5A1
Reduced bone mineral density_HP:0004349,COL5A2
Reduced bone mineral density_HP:0004349,COL7A1
Reduced bone mineral density_HP:0004349,COX4I2
Reduced bone mineral density_HP:0004349,CPLX1
Reduced bone mineral density_HP:0004349,CREB3L1
Reduced bone mineral density_HP:0004349,CRIPT
Reduced bone mineral density_HP:0004349,CRTAP
Reduced bone mineral density_HP:0004349,CTBP1
