go	K	k	exp	fold	p	fdr	label	theme
GO:0002181	76	64	14.8	4.32	3.298977200983249e-34	2.658975623992499e-31	cytoplasmic translation	Translation & ribosome
GO:1901740	42	35	8.2	4.27	6.656547719381433e-19	2.6825887309107173e-16	negative regulation of myoblast fusion	Muscle (minor)
GO:0006412	220	97	42.9	2.26	2.9031648994790367e-17	7.799836363267014e-15	translation	Translation & ribosome
GO:0006941	49	35	9.6	3.66	3.94618839693542e-15	7.951569619824872e-13	striated muscle contraction	Muscle (minor)
GO:0160165	14	13	2.7	4.76	6.529091174255784e-09	1.0524894972900323e-06	CD8+ alpha-beta T cell homeostasis	Immune / inflammatory
GO:0071357	32	21	6.2	3.36	1.5357095732481575e-08	2.0629698600633584e-06	cellular response to type I interferon	Immune / inflammatory
GO:0042776	35	22	6.8	3.22	2.2490113436522765e-08	2.5240153995518423e-06	mitochondrial ATP synthesis (PMF)	Mitochondrial OXPHOS & respiration
GO:0045063	21	16	4.1	3.91	3.0801552256550844e-08	2.5240153995518423e-06	T-helper 1 cell differentiation	Immune / inflammatory
GO:0043374	13	12	2.5	4.73	3.131532753786405e-08	2.5240153995518423e-06	CD8+ alpha-beta T cell differentiation	Immune / inflammatory
GO:0045061	13	12	2.5	4.73	3.131532753786405e-08	2.5240153995518423e-06	thymic T cell selection	Immune / inflammatory
GO:0010499	17	14	3.3	4.22	4.1219946346006736e-08	3.0202978868074023e-06	proteasomal ubiquitin-independent catabolism	Proteostasis (ubiquitin-proteasome)
GO:0072539	18	14	3.5	3.99	1.5205885055007618e-07	1.0213286128613448e-05	T-helper 17 cell differentiation	Immune / inflammatory
GO:0045590	17	13	3.3	3.92	6.130649271451396e-07	3.8010025482998656e-05	neg. reg. regulatory T cell differentiation	Immune / inflammatory
GO:0043161	129	49	25.2	1.95	6.979383297700275e-07	4.0181306699617296e-05	proteasome ubiquitin-dependent catabolism	Proteostasis (ubiquitin-proteasome)
GO:0009060	33	19	6.4	2.95	1.444721007576712e-06	7.762967547378866e-05	aerobic respiration	Mitochondrial OXPHOS & respiration
GO:0042274	46	23	9.0	2.56	3.167239534558936e-06	0.0001504503263968	ribosomal small subunit biogenesis	Translation & ribosome
GO:0022904	43	22	8.4	2.62	3.1732699115970244e-06	0.0001504503263968	respiratory electron transport chain	Mitochondrial OXPHOS & respiration
GO:0061136	42	21	8.2	2.56	8.496613084948002e-06	0.0003612577776641	reg. of proteasomal protein catabolism	Proteostasis (ubiquitin-proteasome)
GO:2000045	39	20	7.6	2.63	8.516002203000833e-06	0.0003612577776641	reg. of G1/S transition (mitotic)	Cell cycle & division
GO:0006779	7	7	1.4	5.13	1.0635985750426265e-05	0.0004082192626115	porphyrin biosynthesis	Heme / erythroid
GO:0006785	7	7	1.4	5.13	1.0635985750426265e-05	0.0004082192626115	heme B biosynthesis	Heme / erythroid
GO:1902600	86	34	16.8	2.03	1.2862395625364024e-05	0.0004712314033656	proton transmembrane transport	Mitochondrial OXPHOS & respiration
GO:0032743	34	18	6.6	2.71	1.359928626249142e-05	0.0004765662925029	positive reg. of interleukin-2 production	Immune / inflammatory
GO:0007283	204	65	39.8	1.63	1.4785881259863852e-05	0.000496559178977	spermatogenesis	Other
GO:0051321	49	22	9.6	2.3	4.470375041905154e-05	0.0014412489135102	meiotic cell cycle	Cell cycle & division
GO:1901798	12	9	2.3	3.84	4.971825241227229e-05	0.0015412658247804	pos. reg. p53-mediated signal transduction	Proteostasis (ubiquitin-proteasome)
GO:0006979	100	36	19.5	1.85	7.778962737735746e-05	0.0023221644320796	response to oxidative stress	Oxidative-stress response (Nrf2)
GO:0006915	394	107	76.9	1.39	9.64364626786364e-05	0.0027759924613921	apoptotic process	Metabolic / signaling
GO:0006511	90	33	17.6	1.88	0.0001014549061342	0.0028197467015247	ubiquitin-dependent protein catabolism	Proteostasis (ubiquitin-proteasome)
GO:0010498	48	21	9.4	2.24	0.0001054328050864	0.0028326280299885	proteasomal protein catabolism	Proteostasis (ubiquitin-proteasome)
GO:0070585	18	11	3.5	3.13	0.000123126185154	0.0032012808140058	protein localization to mitochondrion	Mitochondrial OXPHOS & respiration
GO:0006119	9	7	1.8	3.99	0.0002639065362224	0.006293660772509	oxidative phosphorylation	Mitochondrial OXPHOS & respiration
GO:0015986	9	7	1.8	3.99	0.0002639065362224	0.006293660772509	proton motive force-driven ATP synthesis	Mitochondrial OXPHOS & respiration
GO:0006120	22	12	4.3	2.8	0.0002675315404784	0.006293660772509	mito electron transport NADH->ubiquinone	Mitochondrial OXPHOS & respiration
GO:0015670	5	5	1.0	5.13	0.0002811064364892	0.006293660772509	carbon dioxide transport	Mitochondrial OXPHOS & respiration
GO:0006782	5	5	1.0	5.13	0.0002811064364892	0.006293660772509	protoporphyrinogen IX biosynthesis	Heme / erythroid
GO:0008286	41	18	8.0	2.25	0.0003087319104436	0.0064287337249074	insulin receptor signaling	Metabolic / signaling
GO:0044597	7	6	1.4	4.39	0.0003190438573155	0.0064287337249074	daunorubicin metabolic process	Other
GO:0006784	7	6	1.4	4.39	0.0003190438573155	0.0064287337249074	heme A biosynthesis	Heme / erythroid
GO:0044598	7	6	1.4	4.39	0.0003190438573155	0.0064287337249074	doxorubicin metabolic process	Other
GO:0032729	56	22	10.9	2.01	0.0004725609436986	0.0092294273010724	pos. reg. type II interferon production	Immune / inflammatory
GO:0034314	12	8	2.3	3.42	0.0004809378990633	0.0092294273010724	Arp2/3 actin nucleation	Metabolic / signaling
GO:0000278	53	21	10.3	2.03	0.0005520725272719	0.0103481501623524	mitotic cell cycle	Cell cycle & division
GO:0032760	79	28	15.4	1.82	0.0006291309212555	0.0115245346029999	pos. reg. TNF production	Immune / inflammatory
GO:0034341	30	14	5.9	2.39	0.000677642877006	0.0121373368637076	response to type II interferon	Immune / inflammatory
GO:0008654	21	11	4.1	2.68	0.0007647032543228	0.0133989309344389	phospholipid biosynthesis	Metabolic / signaling
GO:0038094	8	6	1.6	3.84	0.0010643225971046	0.0182520002822624	Fc-gamma receptor signaling	Immune / inflammatory
GO:0006783	16	9	3.1	2.88	0.0012090900219077	0.0203026366178669	heme biosynthesis	Heme / erythroid
GO:0002715	6	5	1.2	4.27	0.001413167353351	0.0215529389030389	reg. NK cell mediated immunity	Immune / inflammatory
