reactome	pathway	K	k	exp	fold	p	fdr	theme
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	97	77	19.6	3.92	2.1684568464884903e-36	1.1969881792616469e-33	Translation & ribosome
R-HSA-192823	Viral mRNA Translation	77	66	15.6	4.23	2.5365050212784427e-35	7.000753858728502e-33	Translation & ribosome
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	131	91	26.5	3.43	8.422392804010375e-35	1.5497202759379094e-32	Translation & ribosome
R-HSA-72764	Eukaryotic Translation Termination	80	67	16.2	4.14	1.5181622026367531e-34	2.095063839638719e-32	Translation & ribosome
R-HSA-156902	Peptide chain elongation	77	65	15.6	4.17	5.81854438389154e-34	6.423672999816258e-32	Translation & ribosome
R-HSA-2408557	Selenocysteine synthesis	78	65	15.8	4.12	2.8241655835263467e-33	2.5982323368442385e-31	Translation & ribosome
R-HSA-72689	Formation of a pool of free 40S subunits	89	69	18.0	3.83	1.6281868853758046e-31	1.283941658182063e-29	Translation & ribosome
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	83	66	16.8	3.93	2.1688773980255862e-31	1.4965254046376544e-29	Translation & ribosome
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	86	67	17.4	3.85	7.378119625617345e-31	4.5252467037119714e-29	Translation & ribosome
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	98	71	19.8	3.58	3.559601178399256e-29	1.964899850476389e-27	Translation & ribosome
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	99	71	20.0	3.54	1.0183935119774959e-28	5.110483805559799e-27	Translation & ribosome
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	95	69	19.2	3.59	1.7241558384096671e-28	7.93111685668447e-27	Translation & ribosome
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	133	72	26.9	2.67	2.393285883056176e-18	1.0162260057284688e-16	Translation & ribosome
R-HSA-9735869	SARS-CoV-1 modulates host translation machinery	30	26	6.1	4.28	8.67114902273184e-15	3.4189101861056973e-13	Translation & ribosome
R-HSA-9754678	SARS-CoV-2 modulates host translation machinery	39	30	7.9	3.8	3.5981400796902984e-14	1.3241155493260296e-12	Translation & ribosome
R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	45	31	9.1	3.4	1.9355414906513207e-12	6.677618142747057e-11	Translation & ribosome
R-HSA-9912633	Antigen processing: Ub, ATP-independent proteasomal degradation	19	18	3.8	4.68	4.533422150010152e-12	1.4720288392974138e-10	Proteostasis (ubiquitin-proteasome)
R-HSA-6798695	Neutrophil degranulation	360	127	72.9	1.74	5.075445099406081e-12	1.5564698304845316e-10	Immune / inflammatory
R-HSA-72702	Ribosomal scanning and start codon recognition	51	32	10.3	3.1	3.835773161720197e-11	1.0586733926347744e-09	Translation & ribosome
R-HSA-72649	Translation initiation complex formation	51	32	10.3	3.1	3.835773161720197e-11	1.0586733926347744e-09	Translation & ribosome
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	37	25	7.5	3.34	5.398639650053001e-10	1.4190709937282173e-08	Proteostasis (ubiquitin-proteasome)
R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	45	28	9.1	3.07	8.688345630399528e-10	2.1799849036275183e-08	Hypoxia (HIF)
R-HSA-180585	Vif-mediated degradation of APOBEC3G	38	25	7.7	3.25	1.2767784883583318e-09	3.0642683720599966e-08	Proteostasis (ubiquitin-proteasome)
R-HSA-611105	Respiratory electron transport	46	28	9.3	3.01	1.795555857899486e-09	4.0552273137843014e-08	Mitochondrial OXPHOS & respiration
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	36	24	7.3	3.29	1.8366065732718754e-09	4.0552273137843014e-08	Cell cycle & division
R-HSA-9604323	Negative regulation of NOTCH4 signaling	39	25	7.9	3.17	2.8778700984901027e-09	5.8836455346908763e-08	Immune / inflammatory
R-HSA-69601	Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A	39	25	7.9	3.17	2.8778700984901027e-09	5.8836455346908763e-08	Proteostasis (ubiquitin-proteasome)
R-HSA-1236974	ER-Phagosome pathway	71	36	14.4	2.5	8.823689116076163e-09	1.7101465672112258e-07	Proteostasis (ubiquitin-proteasome)
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	38	24	7.7	3.12	9.29427482180014e-09	1.7101465672112258e-07	Proteostasis (ubiquitin-proteasome)
