assay,symbol,organism,log2fc,adj_p,humanGene,humanSymbol,trait,traitLabel,weight,osd,tissue,entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Minar2,Mus musculus,2.22625,0.00280408,http://www.ncbi.nlm.nih.gov/gene/100127206,MINAR2,http://www.orpha.net/ORDO/Orphanet_93447,Primary bone dysplasia with defective bone mineralization,2.34,OSD-770,soleus,100127206
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Khdc1b,Mus musculus,2.98887,0.0482067,http://www.ncbi.nlm.nih.gov/gene/100129128,KHDC1L,http://purl.obolibrary.org/obo/OBA_2045559,bone density,1.64,OSD-770,soleus,100129128
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Frat1,Mus musculus,1.5898,1.67798e-09,http://www.ncbi.nlm.nih.gov/gene/10023,FRAT1,https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,1.08,OSD-770,soleus,10023
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Frat1,Mus musculus,1.5898,1.67798e-09,http://www.ncbi.nlm.nih.gov/gene/10023,FRAT1,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),1.17,OSD-770,soleus,10023
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,Frat1,Mus musculus,1.05587,2.27244e-06,http://www.ncbi.nlm.nih.gov/gene/10023,FRAT1,https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,1.08,OSD-666,quadriceps femoris,10023
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,Frat1,Mus musculus,1.05587,2.27244e-06,http://www.ncbi.nlm.nih.gov/gene/10023,FRAT1,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),1.17,OSD-666,quadriceps femoris,10023
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Ocln,Mus musculus,1.28035,0.0411381,http://www.ncbi.nlm.nih.gov/gene/100506658,OCLN,http://www.orpha.net/ORDO/Orphanet_2781,Osteopetrosis and related disorders,1.18,OSD-770,soleus,100506658
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,Tmem178b,Mus musculus,1.19138,3.21113e-16,http://www.ncbi.nlm.nih.gov/gene/100507421,TMEM178B,https://purl.org/okn/frink/kg/digcfdekg/node/trait/eac7647078ccfdee1d15,Total body (less head) bone mineral density,1.38,OSD-104,soleus,100507421
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Cdh10,Mus musculus,1.15015,0.0397867,http://www.ncbi.nlm.nih.gov/gene/1008,CDH10,https://purl.org/okn/frink/kg/digcfdekg/node/trait/4c9a9bb4a649f5e9348c,Bone fracture,2.32,OSD-770,soleus,1008
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Cdh10,Mus musculus,1.15015,0.0397867,http://www.ncbi.nlm.nih.gov/gene/1008,CDH10,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b9d2e23e2c4ab2bc7ef9,EHR-defined osteoporosis,1.06,OSD-770,soleus,1008
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-422-c44d743ac966082af0d193a0b7258e3e,Arl4a,Rattus norvegicus,1.29506,0.00144641,http://www.ncbi.nlm.nih.gov/gene/10124,ARL4A,https://purl.org/okn/frink/kg/digcfdekg/node/trait/4c9a9bb4a649f5e9348c,Bone fracture,1.32,OSD-422,gastrocnemius,10124
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,Cdh18,Mus musculus,2.98416,0.0228138,http://www.ncbi.nlm.nih.gov/gene/1016,CDH18,http://purl.obolibrary.org/obo/OBA_2045559,bone density,1.45,OSD-770,soleus,1016
