entrez,humanSymbol,n_assays,n_tissues,n_bone_traits,max_trait_weight,traits,tissues,max_abs_l2fc,min_p,score
51384,WNT16,3,2,18,8.66,Bone fracture; EHR-defined osteoporosis; EHR-defined osteoporosis (dominant model); Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture,soleus; tibialis anterior,-1.66816,0.0001913,29.66
3381,IBSP,1,1,16,5.43,Bone fracture; EHR-defined osteoporosis; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,tibialis anterior,4.4602,0.0452043,22.43
121340,SP7,1,1,14,10.7,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteogenesis imperfecta,tibialis anterior,4.07963,0.0388357,25.7
10165,SLC25A13,3,2,13,4.47,EHR-defined osteoporosis; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,quadriceps femoris; soleus,-1.31987,1.19797e-10,20.47
64388,GREM2,2,2,13,4.49,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Hip fracture; Lumbar spine bone mineral density,extensor digitorum longus; quadriceps femoris,-1.48819,3.60868e-07,19.490000000000002
1277,COL1A1,1,1,13,11.7,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteogenesis imperfecta,gastrocnemius,1.3849,0.0228687,25.7
84870,RSPO3,1,1,13,6.66,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Hip fracture,soleus,1.13416,1.59449e-28,20.66
56955,MEPE,1,1,13,4.01,Bone fracture; EHR-defined osteoporosis; EHR-defined osteoporosis (dominant model); Femoral neck bone mineral density; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,soleus,2.51454,0.0495751,18.009999999999998
6659,SOX4,5,4,12,6.47,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,extensor digitorum longus; gastrocnemius; quadriceps femoris; tibialis anterior,1.67219,1.83949e-10,23.47
860,RUNX2,2,2,12,8.86,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,extensor digitorum longus; tibialis anterior,1.64174,0.00101989,22.86
6662,SOX9,2,1,12,7.99,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,soleus,-1.86923,2.14842e-25,21.990000000000002
54361,WNT4,2,1,12,7.08,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,soleus,1.8221,2.3543e-42,21.08
4088,SMAD3,1,1,12,8.05,Bone fracture; EHR-defined osteoporosis (dominant model); Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD),soleus,1.32752,4.0897e-46,21.05
2261,FGFR3,1,1,12,4.73,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,tibialis anterior,-1.13264,0.00175132,17.73
1513,CTSK,1,1,11,9.18,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,tibialis anterior,1.11404,0.0151849,21.18
5745,PTH1R,1,1,11,8.05,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,bone marrow,-1.02856,0.0173382,20.05
5744,PTHLH,1,1,11,7.27,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,extensor digitorum longus,-1.05591,0.000613331,19.27
4323,MMP14,1,1,11,7.26,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,soleus,1.08691,0.0106792,19.259999999999998
4313,MMP2,1,1,11,5.33,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,bone marrow,-1.37821,0.043091,17.33
4000,LMNA,1,1,11,3.96,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,bone marrow,-1.16459,2.51633e-09,15.96
864,RUNX3,1,1,11,3.89,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,quadriceps femoris,-2.13421,0.00404605,15.89
4488,MSX2,1,1,11,3.25,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,soleus,4.68856,0.00517902,15.25
139285,AMER1,2,2,10,9.0,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,quadriceps femoris; soleus,2.08252,8.41151e-38,21.0
4609,MYC,2,2,10,3.87,Bone fracture; EHR-defined osteoporosis; EHR-defined osteoporosis (dominant model); Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD),extensor digitorum longus; soleus,1.5842,4.53627e-09,15.870000000000001
6569,SLC34A1,1,1,10,10.0,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,soleus,2.07683,0.00381468,21.0
8324,FZD7,1,1,10,8.13,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Total body (less head) bone mineral density,soleus,1.61103,5.04822e-13,19.130000000000003
6696,SPP1,1,1,10,7.28,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,tibialis anterior,1.82184,0.012567,18.28
5468,PPARG,1,1,10,7.02,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,quadriceps femoris,1.15987,0.00670387,18.02
655,BMP7,1,1,10,5.29,Bone fracture; EHR-defined osteoporosis (dominant model); Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,soleus,1.12081,0.00188148,16.29
5915,RARB,1,1,10,3.78,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,soleus,-1.07738,1.51606e-11,14.78
55636,CHD7,1,1,10,3.07,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,gastrocnemius,1.25637,0.0261266,14.07
7704,ZBTB16,1,1,10,2.53,Bone fracture; EHR-defined osteoporosis; EHR-defined osteoporosis (dominant model); Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD),gastrocnemius,3.5314,0.0364654,13.53
249,ALPL,6,5,9,7.04,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Primary bone dysplasia with defective bone mineralization,bone marrow; extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,-2.78906,2.51726e-10,22.04
871,SERPINH1,4,4,9,11.0,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Lumbar spine bone mineral density; Osteogenesis imperfecta; Primary bone dysplasia with decreased bone density,extensor digitorum longus; quadriceps femoris; soleus; tibialis anterior,-2.04481,3.54496e-12,24.0
658,BMPR1B,2,2,9,2.78,Bone fracture; Femoral neck bone mineral density; Forearm bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density,quadriceps femoris; soleus,1.4113,3.72501e-17,13.78
1588,CYP19A1,1,1,9,4.4,Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Osteopetrosis and related disorders; Total body bone mineral density; bone density,soleus,4.43135,0.00533287,14.4
8939,FUBP3,1,1,9,4.34,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Total body (less head) bone mineral density; Total body bone mineral density,gastrocnemius,1.44686,0.0296752,14.34
8200,GDF5,1,1,9,4.32,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,soleus,1.17968,0.0385971,14.32
7124,TNF,1,1,9,3.66,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,soleus,-1.3503,0.0428067,13.66
7020,TFAP2A,1,1,9,3.53,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Total body (less head) bone mineral density,soleus,2.8552,0.0329884,13.53
3667,IRS1,3,3,8,3.15,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Lumbar spine bone mineral density; Osteopetrosis and related disorders; Primary bone dysplasia with defective bone mineralization,extensor digitorum longus; quadriceps femoris; tibialis anterior,-1.73101,3.06414e-08,14.15
1758,DMP1,2,2,8,8.77,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Lumbar spine bone mineral density; Primary bone dysplasia with defective bone mineralization; Total body bone mineral density,quadriceps femoris; tibialis anterior,3.36769,0.000157312,18.77
64093,SMOC1,2,2,8,4.89,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Total body bone mineral density,quadriceps femoris; soleus,1.68899,0.000115944,14.89
115908,CTHRC1,2,2,8,2.93,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Total body bone mineral density,extensor digitorum longus; soleus,-2.32683,0.00289172,12.93
5077,PAX3,2,2,8,2.57,Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Primary bone dysplasia with defective bone mineralization; Total body bone mineral density,quadriceps femoris; soleus,1.27892,0.000139646,12.57
8326,FZD9,2,1,8,2.45,Bone fracture; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Total body (less head) bone mineral density; Total body bone mineral density,soleus,-2.57536,8.30696e-38,12.45
4322,MMP13,2,2,8,1.78,Bone fracture; Femoral neck bone mineral density; Forearm fracture; Heel quantitative ultrasound estimated bone mineral density (eBMD); Lumbar spine bone mineral density; Osteopetrosis and related disorders,extensor digitorum longus; tibialis anterior,4.7525,0.00129581,11.78
