mEntrez	symbol	hEntrez	humanSymbol	log2fc	adj_p_value	nOther	nTissues	specificity
100034684	Cstdc5	1475.0	CSTA	2.17184	1.6456500000000002e-18	13.0	3.0	systemic
100038712	Gm10516			-1.32909	0.00185512	24.0	5.0	systemic
100040123	Gm2614			1.02151	0.0335887	13.0	2.0	intermediate
100040551	Gm10036			1.28964	0.000319796	15.0	5.0	systemic
100042812	Rps26-ps1			1.08902	0.00145126	24.0	7.0	systemic
100042846	Gm12057			-1.1724	5.09533e-05	3.0	2.0	intermediate
100043381	Gm14308	84449.0	ZNF333	-1.35886	0.00855818	11.0	5.0	systemic
100043381	Gm14308	7695.0	ZNF136	-1.35886	0.00855818	11.0	5.0	systemic
100043564	Gm4521			-1.53897	0.0298289	1.0	1.0	intermediate
100382	AW011738			-1.03882	1.79224e-14	16.0	9.0	systemic
100415978	Gm17849			-1.05856	1.5315e-05	8.0	5.0	systemic
100416291	Gm15712			-1.01504	0.0275554	13.0	7.0	systemic
100416382	Gm18087			-1.16257	1.45822e-07	6.0	4.0	systemic
100416477	Zfp582	147948.0	ZNF582	1.68075	0.0223	2.0	2.0	intermediate
100417761	Gm18811			-1.62969	2.58962e-05	6.0	2.0	intermediate
100503915	Smpd5	392275.0		1.13757	6.36016e-05	4.0	2.0	intermediate
100503946	Atp6-ps			1.03122	0.000418294	13.0	7.0	systemic
100504461	5430401H09Rik			-1.16953	2.69249e-09	7.0	5.0	systemic
102632657	Gm12678			-1.04089	0.025535	10.0	1.0	intermediate
102634709	Gm5805			1.02457	0.0385556	10.0	3.0	systemic
102635290	Ttc39aos1			-1.30811	0.00578389	4.0	4.0	systemic
102635888	Gm33111			-1.70395	1.29544e-07	1.0	1.0	intermediate
102639566	Ptgs2os2			1.32654	6.62822e-05	3.0	3.0	systemic
104110	Adcy4	196883.0	ADCY4	-1.9589	0.000605212	12.0	7.0	systemic
108167871	Gm11703			1.18936	0.0338223	1.0	1.0	intermediate
108169148	Gm46961			-2.05264	0.00714312	1.0	1.0	intermediate
109254	Adtrp	84830.0	ADTRP	1.08002	0.000251911	22.0	7.0	systemic
109294	Prex2	80243.0	PREX2	-1.54994	0.0228286	8.0	6.0	systemic
110380	Shroom2	357.0	SHROOM2	-1.2734	0.0228261	19.0	5.0	systemic
110532	Adarb1	104.0	ADARB1	-1.03575	0.0416765	16.0	5.0	systemic
110751	Adam33	80332.0	ADAM33	-1.01913	0.0026201	12.0	4.0	systemic
11423	Ache	43.0	ACHE	-1.04075	9.05203e-09	9.0	7.0	systemic
11489	Adam12	8038.0	ADAM12	-1.26119	0.0103065	26.0	9.0	systemic
11536	Gpr182	11318.0	GPR182	-1.09117	0.0266747	16.0	9.0	systemic
11542	Adora3|Tmigd3	140.0	ADORA3	1.16299	4.30657e-06	4.0	1.0	intermediate
115487918	Gm23971	124904143.0		1.27573	0.0394587	18.0	5.0	systemic
115487918	Gm23971	124904141.0		1.27573	0.0394587	18.0	5.0	systemic
115487918	Gm23971	124904137.0		1.27573	0.0394587	18.0	5.0	systemic
115487918	Gm23971	124904138.0		1.27573	0.0394587	18.0	5.0	systemic
115487918	Gm23971	124904139.0		1.27573	0.0394587	18.0	5.0	systemic
115487918	Gm23971	124904140.0		1.27573	0.0394587	18.0	5.0	systemic
