hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
10	NAT2	Nat2	17961	0.325587	0.325587	0.0404365	1			False	False	True
100	ADA	Ada	11486	0.397866	0.397866	0.0140226	1			False	False	True
100033411	DUXB	Duxbl1	278672	-1.48653	-1.48653	0.0318445	1			False	False	False
100049587	SIGLEC14	Siglecf	233186	0.756708	0.756708	0.000347953	1			False	False	True
10009	ZBTB33	Zbtb33	56805	0.237496	0.237496	0.0280869	1			False	False	True
100093630	SNHG8	Snhg8	69895	0.4081	0.4081	0.0369319	1			False	False	True
100101490	MCTS2	Mcts1	68995	0.551151	0.551151	3.03371e-05	1			False	False	True
10011	SRA1	Sra1	24068	0.479843	0.479843	0.000732251	1			False	False	True
100128569	TEKTIP1	4930404N11Rik	432479	-0.968323	-0.968323	0.000273651	1			False	False	True
100128731	OST4	Ost4	67695	0.516238	0.516238	0.000136993	1			False	False	True
100129094		Btnl10	192194	-1.11414	-1.11414	1.03571e-11	1			False	False	True
100129361	SMIM10L1	Smim10l1	381820	0.412535	0.412535	0.00135838	1			False	False	False
100130283	PMM2|LOC100130283	Pmm2	54128	-0.238753	-0.238753	0.00515167	1			False	False	False
100130932		Snrpg	68011	0.408873	0.408873	0.0205227	1			False	False	True
100131439	CD300LD	Cd300a	217303	0.496827	0.4896525	0.00197038	2			False	False	True
100131801	PET100	Pet100	100503890	0.468401	0.468401	0.00298381	1			False	False	True
100132911		Dph3	105638	0.514116	0.514116	9.80072e-05	1			False	False	True
100134934	TEN1	Ten1	69535	0.444485	0.444485	0.00797798	1			False	False	True
100141515	C17orf99	6030468B19Rik	77727	-0.709324	-0.709324	0.00451687	1			False	False	True
10016	PDCD6	Pdcd6	18570	0.348225	0.348225	0.0226449	1	BMD		False	True	True
100188893	TOMM6	Tomm6	66119	0.468178	0.468178	0.00145402	1			False	False	True
10023	FRAT1	Frat1	14296	0.320667	0.320667	0.0202012	1	BMD		False	True	True
10024	TROAP	Troap	78733	-0.484714	-0.484714	0.0032668	1	BMD		False	True	True
100272147	CMC4	Cmc4	105886298	-0.61866	-0.61866	0.0412425	1			False	False	True
100287226	ZNF729	Zfp729b	100416706	0.321359	0.321359	0.0459244	1			False	False	True
100287932	TIMM23	Timm23	53600	0.44002	0.44002	0.000400783	1			False	False	True
100288687	DUX4	Duxbl1	278672	-1.48653	-1.48653	0.0318445	1			False	False	True
100288814	CLDN34	Cldn34c1	73061	-0.74513	-0.74513	0.00978633	1			False	False	False
100293534		C4b	12268	-1.08041	-1.08041	0.00488306	1			False	False	True
100302652	ASB3|GPR75-ASB3	Asb3	65257	0.367468	0.367468	0.012757	1	BMD		False	True	True
100302736	TMED7-TICAM2	Tmed7	66676	0.457474	0.457474	3.53547e-07	1	osteoporosis		False	True	True
100381270	ZBED6	Zbed6	667118	-0.405902	-0.405902	0.0123159	1			False	False	True
10040	TOM1L1	Tom1l1	71943	-0.867016	-0.867016	4.61322e-05	1			False	False	True
100419780		Zfp930	234358	0.404729	0.404729	0.0118314	1			False	False	True
100499467	LINC00511|LINC00673	2610035D17Rik|Gm57578	72386	-0.769249	-0.769249	0.049509	1			False	False	False
100506736	SLFN12L	Slfn2	20556	0.53108	0.4747019999999999	0.00190414	2			False	False	True
100507444		Ppp1r2	66849	0.325108	0.325108	0.0115598	1			False	False	True
10051	SMC4	Smc4	70099	-0.293816	-0.293816	0.0214005	1			False	False	True
100526767	RNF103-CHMP3	Chmp3	66700	0.24312	0.24312	0.0122593	1			False	False	True
100532726	NDUFC2-KCTD14	Ndufc2	68197	0.531662	0.531662	0.00232283	1			False	False	True
100533106	ZHX1-C8orf76	9130401M01Rik	75758	0.661656	0.661656	1.06404e-05	1			False	False	False
10058	ABCB6	Abcb6	74104	-0.639568	-0.639568	0.0060746	1			False	False	True
100652748	TIMM23B	Timm23	53600	0.44002	0.44002	0.000400783	1			False	False	True
10078	TSSC4	Tssc4	56844	0.442738	0.442738	0.00139451	1			False	False	True
10083	USH1C	Ush1c	72088	2.06124	2.06124	0.00298381	1			False	False	True
