hEntrez	humanSymbol_wt	symbol_wt	mEntrez_wt	log2fc_wt	log2fc_mean_wt	adj_p_value_wt	n_mouse_map_wt	humanSymbol_ko	symbol_ko	mEntrez_ko	log2fc_ko	log2fc_mean_ko	adj_p_value_ko	n_mouse_map_ko	sig_wt	sig_ko
10	NAT2	Nat2	17961	0.325587	0.325587	0.0404365	1.0								True	False
100	ADA	Ada	11486	0.397866	0.397866	0.0140226	1.0								True	False
100033411	DUXB	Duxbl1	278672	-1.48653	-1.48653	0.0318445	1.0								True	False
100049587	SIGLEC14	Siglecf	233186	0.756708	0.756708	0.000347953	1.0								True	False
10009	ZBTB33	Zbtb33	56805	0.237496	0.237496	0.0280869	1.0	ZBTB33	Zbtb33	56805	0.228728	0.228728	0.034016	1.0	True	True
100093630	SNHG8	Snhg8	69895	0.4081	0.4081	0.0369319	1.0								True	False
100101267								POM121C	Pom121	107939	-1.18041	-1.18041	7.83156e-08	1.0	False	True
100101490	MCTS2	Mcts1	68995	0.551151	0.551151	3.03371e-05	1.0	MCTS2	Mcts1	68995	0.351077	0.351077	0.0116301	1.0	True	True
10011	SRA1	Sra1	24068	0.479843	0.479843	0.000732251	1.0	SRA1	Sra1	24068	0.423521	0.423521	0.00288158	1.0	True	True
100113407								TMEM170B	Tmem170b	621976	0.299385	0.299385	0.00335155	1.0	False	True
100128569	TEKTIP1	4930404N11Rik	432479	-0.968323	-0.968323	0.000273651	1.0	TEKTIP1	4930404N11Rik	432479	-1.20631	-1.20631	1.11921e-05	1.0	True	True
100128731	OST4	Ost4	67695	0.516238	0.516238	0.000136993	1.0								True	False
100129094		Btnl10	192194	-1.11414	-1.11414	1.03571e-11	1.0		Btnl10	192194	-1.00838	-1.00838	7.4355e-10	1.0	True	True
100129361	SMIM10L1	Smim10l1	381820	0.412535	0.412535	0.00135838	1.0								True	False
10013								HDAC6	Hdac6	15185	-0.572382	-0.572382	0.0114951	1.0	False	True
