gene,biotype,spoke-okn,rdkg,prokn,digcfdekg,n_sources,digcfdekg_weight,confidence_tier
GCK,protein-coding,1,1,1,1,4,9.73,T1 very-high
WFS1,protein-coding,1,1,1,1,4,8.62,T1 very-high
HNF1A,protein-coding,1,1,1,1,4,8.6,T1 very-high
IRS1,protein-coding,1,1,1,1,4,8.29,T1 very-high
SLC2A2,protein-coding,1,1,1,1,4,8.18,T1 very-high
KCNJ11,protein-coding,1,1,1,1,4,8.13,T1 very-high
PPARG,protein-coding,1,1,1,1,4,8.06,T1 very-high
HNF4A,protein-coding,1,1,1,1,4,7.54,T1 very-high
HNF1B,protein-coding,1,1,1,1,4,6.9,T1 very-high
PDX1,protein-coding,1,1,1,1,4,4.13,T1 very-high
ABCC8,protein-coding,1,1,1,1,4,3.82,T1 very-high
INS,protein-coding,1,1,0,1,3,10.3,T2 high
LEP,protein-coding,1,1,0,1,3,9.77,T2 high
TCF7L2,protein-coding,1,1,0,1,3,7.85,T2 high
SLC30A8,protein-coding,1,1,0,1,3,7.67,T2 high
GLP1R,protein-coding,1,1,0,1,3,7.32,T2 high
FTO,protein-coding,1,1,0,1,3,6.92,T2 high
CDKAL1,protein-coding,1,1,0,1,3,6.55,T2 high
GLIS3,protein-coding,1,1,0,1,3,6.43,T2 high
IRS2,protein-coding,1,1,0,1,3,6.03,T2 high
INSR,protein-coding,1,1,0,1,3,5.86,T2 high
JAZF1,protein-coding,1,1,0,1,3,5.3,T2 high
ADCY5,protein-coding,1,1,0,1,3,5.02,T2 high
ADIPOQ,protein-coding,1,1,0,1,3,5.01,T2 high
IGF2BP2,protein-coding,1,1,0,1,3,4.93,T2 high
PPARGC1A,protein-coding,1,1,0,1,3,4.37,T2 high
LEPR,protein-coding,1,1,0,1,3,4.11,T2 high
HMGA1,protein-coding,1,1,0,1,3,3.95,T2 high
SLC2A4,protein-coding,1,1,0,1,3,3.93,T2 high
UBE2E2,protein-coding,1,1,0,1,3,3.6,T2 high
PAX4,protein-coding,1,1,0,1,3,3.46,T2 high
FGF21,protein-coding,1,1,0,1,3,3.42,T2 high
GCG,protein-coding,1,1,0,1,3,3.41,T2 high
NOS3,protein-coding,1,1,0,1,3,3.19,T2 high
AKT2,protein-coding,1,1,0,1,3,3.18,T2 high
SIRT1,protein-coding,1,1,0,1,3,3.1,T2 high
KCNQ1,protein-coding,1,1,0,1,3,2.99,T2 high
UCP2,protein-coding,1,1,0,1,3,2.36,T2 high
ENPP1,protein-coding,1,1,1,0,3,,T2 high
GCKR,protein-coding,0,1,0,1,2,8.97,T2 high
CCND2,protein-coding,0,1,0,1,2,6.05,T2 high
KL,protein-coding,0,1,0,1,2,5.55,T2 high
NEUROG3,protein-coding,1,0,0,1,2,4.83,T3 medium
MC4R,protein-coding,1,0,0,1,2,4.78,T3 medium
CDKN2A,protein-coding,1,0,0,1,2,4.66,T3 medium
HHEX,protein-coding,0,1,0,1,2,4.66,T3 medium
KLF14,protein-coding,0,1,0,1,2,4.57,T3 medium
APOE,protein-coding,1,0,0,1,2,4.54,T3 medium
THADA,protein-coding,0,1,0,1,2,4.33,T3 medium
ZMIZ1,protein-coding,1,0,0,1,2,4.11,T3 medium
IGF1R,protein-coding,1,0,0,1,2,4.09,T3 medium
PIK3R1,protein-coding,1,0,0,1,2,4.01,T3 medium
FOXO1,protein-coding,1,0,0,1,2,3.97,T3 medium
NOTCH2,protein-coding,0,1,0,1,2,3.88,T3 medium
PRKACA,protein-coding,1,0,0,1,2,3.88,T3 medium
ETS1,protein-coding,0,1,0,1,2,3.84,T3 medium
ZBTB20,protein-coding,1,0,0,1,2,3.78,T3 medium
HMGA2,protein-coding,1,0,0,1,2,3.77,T3 medium
BGLAP,protein-coding,1,0,0,1,2,3.71,T3 medium
ANKH,protein-coding,1,0,0,1,2,3.7,T3 medium
GRB14,protein-coding,0,1,0,1,2,3.67,T3 medium
NKX6-1,protein-coding,0,1,0,1,2,3.67,T3 medium
NR1H4,protein-coding,1,0,0,1,2,3.66,T3 medium
ADIPOR2,protein-coding,1,0,0,1,2,3.56,T3 medium
TLE1,protein-coding,1,0,0,1,2,3.54,T3 medium
ADAMTS9,protein-coding,0,1,0,1,2,3.49,T3 medium
NUS1,protein-coding,0,1,0,1,2,3.48,T3 medium
IL6,protein-coding,1,0,0,1,2,3.47,T3 medium
LDLR,protein-coding,1,0,0,1,2,3.4,T3 medium
PROX1,protein-coding,0,1,0,1,2,3.4,T3 medium
TMEM18,protein-coding,0,1,0,1,2,3.34,T3 medium
KCNK16,protein-coding,0,1,0,1,2,3.25,T3 medium
TCF4,protein-coding,1,0,0,1,2,3.25,T3 medium
AUTS2,protein-coding,0,1,0,1,2,3.22,T3 medium
LIPE,protein-coding,1,0,0,1,2,3.2,T3 medium
HK1,protein-coding,0,1,0,1,2,3.19,T3 medium
LPL,protein-coding,1,0,0,1,2,3.17,T3 medium
PSMD6,protein-coding,0,1,0,1,2,3.17,T3 medium
SREBF1,protein-coding,1,0,0,1,2,3.15,T3 medium
MLXIPL,protein-coding,1,0,0,1,2,3.1,T3 medium
STAT3,protein-coding,1,0,0,1,2,3.07,T3 medium
CYP19A1,protein-coding,1,0,0,1,2,2.94,T3 medium
CASR,protein-coding,1,0,0,1,2,2.93,T3 medium
HIF1A,protein-coding,1,0,0,1,2,2.93,T3 medium
MAFA,protein-coding,1,0,0,1,2,2.93,T3 medium
ARAP1,protein-coding,1,0,0,1,2,2.88,T3 medium
BHMT,protein-coding,0,1,0,1,2,2.87,T3 medium
GIP,protein-coding,1,0,0,1,2,2.77,T3 medium
ITGA1,protein-coding,0,1,0,1,2,2.77,T3 medium
ADIPOR1,protein-coding,1,0,0,1,2,2.74,T3 medium
CCL2,protein-coding,1,0,0,1,2,2.73,T3 medium
ACE,protein-coding,1,0,0,1,2,2.72,T3 medium
SIN3A,protein-coding,1,0,0,1,2,2.72,T3 medium
BSCL2,protein-coding,1,0,0,1,2,2.68,T3 medium
CPE,protein-coding,1,0,0,1,2,2.66,T3 medium
KCNU1,protein-coding,0,1,0,1,2,2.66,T3 medium
AGER,protein-coding,1,0,0,1,2,2.65,T3 medium
WRN,protein-coding,1,0,0,1,2,2.65,T3 medium
PAX6,protein-coding,0,1,0,1,2,2.64,T3 medium
IER3IP1,protein-coding,1,0,0,1,2,2.63,T3 medium
CMIP,protein-coding,0,1,0,1,2,2.62,T3 medium
AGPAT2,protein-coding,1,0,0,1,2,2.61,T3 medium
TP53,protein-coding,1,0,0,1,2,2.61,T3 medium
KSR2,protein-coding,0,1,0,1,2,2.6,T3 medium
HLA-DQA2,protein-coding,1,0,0,1,2,2.58,T3 medium
BCL2L11,protein-coding,0,1,0,1,2,2.55,T3 medium
HMGCR,protein-coding,1,0,0,1,2,2.53,T3 medium
HMG20A,protein-coding,0,1,0,1,2,2.4,T3 medium
POMC,protein-coding,1,0,0,1,2,2.35,T3 medium
BCL2,protein-coding,1,1,0,0,2,,T3 medium
BRAF,protein-coding,1,1,0,0,2,,T3 medium
CAPN10,protein-coding,1,1,0,0,2,,T3 medium
CASP3,protein-coding,1,1,0,0,2,,T3 medium
