entity_type,entity,entity_id,biotype,relationship,sources,n_sources,evidence_types,best_score,score_type,tissue_celltype,confidence_tier,notes
gene,ABCA1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ABCA4,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ABCB4,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ABCC8,,protein-coding,associated_with_T2D,digcfdekg;prokn;rdkg;spoke-okn,4,curated_link;statistical_association,3.82,PIGEAN/EAGGL_weight,,T1 very-high,
gene,ABO,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,2.77,PIGEAN/EAGGL_weight,,T4 low,
gene,ACE,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,2.72,PIGEAN/EAGGL_weight,,T3 medium,
gene,ACE2,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ACSL1,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,3.66,PIGEAN/EAGGL_weight,,T3 medium,
gene,ACTB,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ADA2,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ADAMTS9,,protein-coding,associated_with_T2D,digcfdekg;rdkg,2,curated_link;statistical_association,3.49,PIGEAN/EAGGL_weight,,T3 medium,
gene,ADAR,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ADCY5,,protein-coding,associated_with_T2D,digcfdekg;rdkg;spoke-okn,3,curated_link;statistical_association,5.02,PIGEAN/EAGGL_weight,,T2 high,
gene,ADIPOQ,,protein-coding,associated_with_T2D,digcfdekg;rdkg;spoke-okn,3,curated_link;statistical_association,5.01,PIGEAN/EAGGL_weight,,T2 high,
gene,ADIPOR1,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,2.74,PIGEAN/EAGGL_weight,,T3 medium,
gene,ADIPOR2,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,3.56,PIGEAN/EAGGL_weight,,T3 medium,
gene,ADRA2A,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ADRB3,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AEBP1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AGBL5,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AGER,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,2.65,PIGEAN/EAGGL_weight,,T3 medium,
gene,AGPAT2,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,2.61,PIGEAN/EAGGL_weight,,T3 medium,
gene,AGRP,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AGT,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AGTR1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AHI1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AHR,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AIP,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AIRE,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AKAP6,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,2.35,PIGEAN/EAGGL_weight,,T4 low,
gene,AKR1B1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AKT1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AKT2,,protein-coding,associated_with_T2D,digcfdekg;rdkg;spoke-okn,3,curated_link;statistical_association,3.18,PIGEAN/EAGGL_weight,,T2 high,
gene,ALB,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ALMS1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AMACR,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AMY1B,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AMY2A,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AMY2B,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ANGPTL8,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ANK1,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,3.67,PIGEAN/EAGGL_weight,,T3 medium,
gene,ANK2,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,2.49,PIGEAN/EAGGL_weight,,T4 low,
gene,ANKH,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,3.7,PIGEAN/EAGGL_weight,,T3 medium,
gene,ANKRD55,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,4.3,PIGEAN/EAGGL_weight,,T3 medium,
gene,ANO4,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ANPEP,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,2.67,PIGEAN/EAGGL_weight,,T4 low,
gene,AP3S2,,protein-coding,associated_with_T2D,rdkg,1,curated_link,,source_count,,T4 low,
gene,APCS,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,APOA1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,APOA5,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,APOB,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,APOC3,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,APOE,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,4.54,PIGEAN/EAGGL_weight,,T3 medium,
gene,APP,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,APPL1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AR,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ARAP1,,protein-coding,associated_with_T2D,digcfdekg;spoke-okn,2,curated_link;statistical_association,2.88,PIGEAN/EAGGL_weight,,T3 medium,
gene,ARHGEF18,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ARID5B,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,2.9,PIGEAN/EAGGL_weight,,T4 low,
gene,ARL2BP,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ARL3,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ARL6,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ARNT2,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ARNTL,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,2.47,PIGEAN/EAGGL_weight,,T4 low,
gene,ATF3,,protein-coding,associated_with_T2D,rdkg,1,curated_link,,source_count,,T4 low,
gene,ATM,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ATP12A,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ATP2A2,,protein-coding,associated_with_T2D,rdkg,1,curated_link,,source_count,,T4 low,
gene,ATP2A3,,protein-coding,associated_with_T2D,rdkg,1,curated_link,,source_count,,T4 low,
gene,ATP4A,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ATP6,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,ATRX,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,AUTS2,,protein-coding,associated_with_T2D,digcfdekg;rdkg,2,curated_link;statistical_association,3.22,PIGEAN/EAGGL_weight,,T3 medium,
gene,BAD,,protein-coding,associated_with_T2D,digcfdekg,1,statistical_association,6.1,PIGEAN/EAGGL_weight,,T2 high,
gene,BAX,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,BAZ1B,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,BBIP1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,BBS1,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,BBS10,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
gene,BBS12,,protein-coding,associated_with_T2D,spoke-okn,1,curated_link,,source_count,,T4 low,spoke-okn is parent-term (diabetes mellitus)
