fips,name,state,burden_agreement,f_facilities,f_vulnerability,f_court,f_rural,f_fewservices
45089,Williamsburg County,SC,5,1,1,1,1,1
35025,Lea County,NM,5,1,1,1,1,1
21195,Pike County,KY,5,1,1,1,1,1
36105,Sullivan County,NY,5,1,1,1,1,1
46017,Buffalo County,SD,4,1,1,1,1,0
48311,McMullen County,TX,4,1,1,1,1,0
46041,Dewey County,SD,4,1,1,1,1,0
30005,Blaine County,MT,4,1,1,1,1,0
38005,Benson County,ND,4,1,1,1,1,0
48127,Dimmit County,TX,4,1,1,1,1,0
35059,Union County,NM,4,1,1,1,1,0
40029,Coal County,OK,4,1,1,1,1,0
48483,Wheeler County,TX,4,1,1,1,1,0
31173,Thurston County,NE,4,1,1,1,1,0
46031,Corson County,SD,4,1,1,1,1,0
48297,Live Oak County,TX,4,1,1,1,1,0
48047,Brooks County,TX,4,1,1,1,1,0
46085,Lyman County,SD,4,1,1,1,1,0
30035,Glacier County,MT,4,1,1,1,1,0
28157,Wilkinson County,MS,4,1,1,1,1,0
48137,Edwards County,TX,4,1,1,1,1,0
08071,Las Animas County,CO,4,1,1,1,1,0
48131,Duval County,TX,4,1,1,1,1,0
48283,La Salle County,TX,4,1,1,1,1,0
48125,Dickens County,TX,4,1,1,1,1,0
48391,Refugio County,TX,4,1,1,1,1,0
21189,Owsley County,KY,4,1,1,1,1,0
06015,Del Norte County,CA,4,1,1,1,1,0
45005,Allendale County,SC,4,1,1,1,1,0
05095,Monroe County,AR,4,1,1,1,1,0
22027,Claiborne Parish,LA,4,1,1,1,1,0
21119,Knott County,KY,4,1,1,1,1,0
05147,Woodruff County,AR,4,1,1,1,1,0
53019,Ferry County,WA,4,1,1,1,1,0
48417,Shackelford County,TX,4,1,1,1,1,0
48123,DeWitt County,TX,4,1,1,1,1,0
36033,Franklin County,NY,4,1,0,1,1,1
48105,Crockett County,TX,4,1,1,1,1,0
35007,Colfax County,NM,4,1,1,1,1,0
48371,Pecos County,TX,4,1,1,1,1,0
