fips,name,state,pop,burden_agreement,burden_agreement_pfas,burden_index,f_facilities,f_vulnerability,f_court,f_rural,f_fewservices,f_pfas,epa_fac,epa_fac_pc,pfas_fac,enforce_records,court_cases,court_pc,svi,rucc,sud_providers,sud_pc,poverty,uninsured,food_insecurity,diabetes,obesity
45089,Williamsburg County,SC,34423.0,5,5.0,0.8102917058008557,1,1,1,1,1,,1473.0,427.9115707521134,19.0,40.0,112.0,32.536385556168845,0.964,6.0,1.0,0.29050344246579324,25.4,10.05,13.4,16.7,47.72
35025,Lea County,NM,64727.0,5,5.0,0.8028203501189022,1,1,1,1,1,,3559.0,549.8478223925101,1814.0,173.0,129.0,19.92985925502495,0.908,5.0,1.0,0.15449503298468956,12.6,13.06,12.8,10.35,39.88
21195,Pike County,KY,65024.0,5,5.0,0.7767360567177984,1,1,1,1,1,,1293.0,198.84965551181102,35.0,434.0,133.0,20.45398622047244,0.743,7.0,1.0,0.15378937007874016,23.7,5.84,19.2,12.44,43.91
36105,Sullivan County,NY,77547.0,5,5.0,0.7057979662404522,1,1,1,1,1,,2588.0,333.7330908997124,29.0,237.0,117.0,15.087624279469226,0.786,4.0,2.0,0.2579081073413543,12.7,5.73,11.5,10.26,36.69
46017,Buffalo County,SD,1912.0,4,4.0,0.9177512461101184,1,1,1,1,0,,50.0,261.5062761506276,2.0,45.0,13.0,67.99163179916319,0.986,9.0,,,32.8,40.4,21.3,20.0,48.3
48311,McMullen County,TX,707.0,4,4.0,0.9087689724025726,1,1,1,1,0,,355.0,5021.216407355021,14.0,29.0,8.0,113.15417256011315,0.72,9.0,,,9.7,24.86,9.3,10.6,36.2
46041,Dewey County,SD,5301.0,4,4.0,0.9065694511360005,1,1,1,1,0,,210.0,396.15166949632146,20.0,207.0,93.0,175.43859649122805,0.822,9.0,,,24.9,25.81,18.6,14.68,43.48
30005,Blaine County,MT,6491.0,4,4.0,0.8864348067196759,1,1,1,1,0,,193.0,297.3347712216916,7.0,66.0,15.0,23.10892004313665,0.948,9.0,,,20.9,15.34,17.1,13.48,40.32
38005,Benson County,ND,6660.0,4,4.0,0.8857480546955766,1,1,1,1,0,,294.0,441.44144144144144,20.0,80.0,21.0,31.53153153153153,0.814,9.0,,,24.2,8.86,15.1,12.99,43.87
48127,Dimmit County,TX,9996.0,4,4.0,0.8836581798307527,1,1,1,1,0,,851.0,851.3405362144857,20.0,38.0,691.0,691.2765106042416,1.0,6.0,,,25.5,21.34,23.1,18.9,44.08
35059,Union County,NM,4549.0,4,4.0,0.879015410162864,1,1,1,1,0,,133.0,292.3719498790943,2.0,16.0,22.0,48.362277423609584,0.828,9.0,,,19.0,10.73,15.3,11.03,36.3
40029,Coal County,OK,5925.0,4,4.0,0.8755959600283377,1,1,1,1,0,,260.0,438.8185654008439,184.0,11.0,14.0,23.628691983122362,0.822,9.0,,,19.3,21.13,18.7,12.7,41.82
48483,Wheeler County,TX,5410.0,4,4.0,0.8730245405039148,1,1,1,1,0,,714.0,1319.778188539741,13.0,35.0,9.0,16.635859519408502,0.814,9.0,,,13.5,21.1,16.1,10.63,37.73
31173,Thurston County,NE,6940.0,4,4.0,0.8703445261235098,1,1,1,1,0,,252.0,363.1123919308357,10.0,154.0,80.0,115.27377521613832,0.799,8.0,,,18.2,21.32,15.7,14.12,49.3
46031,Corson County,SD,4050.0,4,4.0,0.8664833803402103,1,1,1,1,0,,108.0,266.6666666666667,6.0,90.0,41.0,101.23456790123457,0.758,9.0,,,37.1,24.11,20.1,15.42,42.35
48297,Live Oak County,TX,11531.0,4,4.0,0.8603763613614901,1,1,1,1,0,,372.0,322.6086202410892,15.0,51.0,93.0,80.6521550602723,0.8,8.0,,,17.0,17.71,17.0,13.35,39.4
48047,Brooks County,TX,7223.0,4,4.0,0.8601822352200701,1,1,1,1,0,,164.0,227.0524712723245,7.0,11.0,1020.0,1412.155614010799,0.976,7.0,,,28.7,25.56,23.9,19.82,46.2
46085,Lyman County,SD,3755.0,4,4.0,0.8586633933276696,1,1,1,1,0,,96.0,255.65912117177098,11.0,54.0,21.0,55.9254327563249,0.771,9.0,,,23.9,16.58,14.0,10.1,37.7
30035,Glacier County,MT,13399.0,4,4.0,0.8580209835665387,1,1,1,1,0,,539.0,402.26882603179337,12.0,342.0,48.0,35.82356892305396,0.907,7.0,,,24.3,37.11,17.2,15.8,46.34
28157,Wilkinson County,MS,9878.0,4,4.0,0.8535763424653704,1,1,1,1,0,,203.0,205.50718768981577,11.0,32.0,71.0,71.87689815752177,0.919,8.0,,,28.4,14.55,21.7,17.9,46.0
48137,Edwards County,TX,2002.0,4,4.0,0.8518588135699973,1,1,1,1,0,,62.0,309.6903096903097,6.0,,16.0,79.92007992007991,0.674,9.0,,,19.1,20.99,12.3,14.8,39.9
08071,Las Animas County,CO,15507.0,4,4.0,0.8477450164042073,1,1,1,1,0,,1256.0,809.9567937060682,1015.0,114.0,39.0,25.149932288643836,0.833,7.0,,,16.4,7.41,13.8,9.41,30.06
48131,Duval County,TX,11782.0,4,4.0,0.8429892787694702,1,1,1,1,0,,257.0,218.1293498557121,7.0,36.0,54.0,45.83262603972161,0.982,7.0,,,20.0,19.39,17.9,15.63,41.33
48283,La Salle County,TX,6886.0,4,4.0,0.8421513835055422,1,1,1,1,0,,608.0,882.9509148997968,30.0,50.0,46.0,66.80220737728725,0.868,6.0,,,24.0,23.25,14.1,15.0,40.85
48125,Dickens County,TX,2444.0,4,4.0,0.8196886818286317,1,1,1,1,0,,72.0,294.59901800327333,1.0,8.0,4.0,16.366612111292962,0.883,8.0,,,18.9,17.84,16.2,12.25,38.9
48391,Refugio County,TX,7383.0,4,4.0,0.8151754822076893,1,1,1,1,0,,250.0,338.6157388595422,7.0,27.0,27.0,36.57049979683055,0.929,6.0,,,15.3,14.21,15.8,12.78,40.14
21189,Owsley County,KY,4755.0,4,4.0,0.8127417118100252,1,1,1,1,0,,110.0,231.33543638275498,1.0,10.0,12.0,25.23659305993691,0.709,9.0,,,30.6,3.97,21.7,11.5,43.2
06015,Del Norte County,CA,28610.0,4,4.0,0.8101043191993226,1,1,1,1,0,,715.0,249.91261796574622,13.0,50.0,156.0,54.52638937434463,0.946,7.0,1.0,0.3495281370150297,18.5,5.49,14.4,10.8,32.42
45005,Allendale County,SC,10419.0,4,4.0,0.8096076504698958,1,1,1,1,0,,231.0,221.71033688453787,11.0,19.0,56.0,53.74796045685766,0.998,6.0,,,31.6,11.71,15.9,16.2,45.37
05095,Monroe County,AR,8149.0,4,4.0,0.8081372175447448,1,1,1,1,0,,192.0,235.61173150079765,8.0,29.0,20.0,24.542888697999754,0.896,7.0,,,23.8,8.4,18.3,14.26,44.52
22027,Claiborne Parish,LA,17195.0,4,4.0,0.8052216852199926,1,1,1,1,0,,570.0,331.49171270718233,230.0,88.0,153.0,88.97935446350684,0.836,6.0,,,31.9,9.58,19.2,16.6,43.2
21119,Knott County,KY,16346.0,4,4.0,0.8047746442449264,1,1,1,1,0,,369.0,225.74330111342223,9.0,71.0,29.0,17.741343447938334,0.773,9.0,,,27.7,4.76,22.2,12.3,38.45
05147,Woodruff County,AR,7260.0,4,4.0,0.7920611723307586,1,1,1,1,0,,140.0,192.8374655647383,13.0,38.0,15.0,20.66115702479339,0.744,9.0,,,22.6,5.34,16.9,12.98,40.28
53019,Ferry County,WA,7551.0,4,4.0,0.7899581313395558,1,1,1,1,0,,172.0,227.78439941729573,8.0,30.0,11.0,14.567606939478214,0.787,9.0,,,18.4,6.82,17.3,11.11,35.76
48417,Shackelford County,TX,3378.0,4,4.0,0.7890401919799787,1,1,1,1,0,,130.0,384.84310242747193,3.0,18.0,5.0,14.801657785671996,0.742,8.0,,,12.5,15.09,14.2,9.45,34.95
48123,DeWitt County,TX,20097.0,4,4.0,0.7823697890032528,1,1,1,1,0,,733.0,364.7310543862268,14.0,69.0,42.0,20.898641588296762,0.874,6.0,,,20.5,14.09,15.6,11.87,38.47
36033,Franklin County,NY,51599.0,4,4.0,0.782355349682104,1,0,1,1,1,,1600.0,310.0835287505572,18.0,180.0,200.0,38.76044109381965,0.574,7.0,1.0,0.19380220546909824,15.9,6.45,13.4,11.09,39.24
48105,Crockett County,TX,3719.0,4,4.0,0.7814711843664357,1,1,1,1,0,,243.0,653.4014520032266,10.0,16.0,6.0,16.133369185264858,0.703,7.0,,,12.4,21.79,14.5,12.4,39.7
35007,Colfax County,NM,13750.0,4,4.0,0.7807514337273744,1,1,1,1,0,,335.0,243.63636363636365,11.0,56.0,20.0,14.545454545454545,0.931,7.0,,,17.2,7.17,16.0,10.98,36.4
48371,Pecos County,TX,15507.0,4,4.0,0.7798918642383853,1,1,1,1,0,,885.0,570.7100019346102,37.0,28.0,99.0,63.84213580963436,0.912,7.0,1.0,0.6448700586831753,16.5,19.06,13.7,11.77,37.1
48389,Reeves County,TX,13783.0,4,4.0,0.7766695351473084,1,1,1,1,0,,1468.0,1065.0801712254226,61.0,38.0,105.0,76.18080243778567,0.904,7.0,1.0,0.7255314517884349,19.0,21.34,11.9,14.7,41.28
