fips,n_chem,n_chem_obs,n_media
01001,144,144,1
01003,144,144,1
01005,145,145,1
01007,145,145,1
01009,141,141,1
01011,140,140,1
01013,145,145,1
01015,148,148,1
01017,145,145,1
01019,142,142,1
01021,143,143,1
01023,149,149,1
01025,147,147,1
01027,141,141,1
01029,142,142,1
01031,143,143,1
01033,148,148,1
01035,143,143,1
01037,140,140,1
01039,143,143,1
01041,140,140,1
01043,144,144,1
01045,145,145,1
01047,148,148,1
01049,144,144,1
01051,144,144,1
01053,149,149,1
01055,153,153,1
01057,146,146,1
01059,142,142,1
01061,141,141,1
01063,141,141,1
01065,145,145,1
01067,141,141,1
01069,141,141,1
01071,146,146,1
01073,153,153,1
01075,143,143,1
01077,141,141,1
01079,142,142,1
01081,143,143,1
01083,141,141,1
01085,144,144,1
01087,140,140,1
01089,146,146,1
01091,146,146,1
01093,143,143,1
01095,142,142,1
01097,154,154,1
01099,149,149,1
01101,144,144,1
01103,148,148,1
01105,141,141,1
01107,145,145,1
01109,143,143,1
01111,140,140,1
01113,149,149,1
01115,143,143,1
01117,147,147,1
01119,142,142,1
01121,143,143,1
01123,141,141,1
01125,149,149,1
01127,145,145,1
01129,149,149,1
01131,142,142,1
01133,142,142,1
02013,115,115,1
02016,115,115,1
02020,119,119,1
02050,113,113,1
02060,111,111,1
02068,114,114,1
02070,113,113,1
02090,127,127,1
02100,112,112,1
02105,111,111,1
02110,119,119,1
02122,128,128,1
02130,111,111,1
02150,112,112,1
02164,111,111,1
02170,122,122,1
02180,113,113,1
02185,120,120,1
02188,113,113,1
02195,111,111,1
02198,111,111,1
02220,111,111,1
02230,111,111,1
02240,113,113,1
02275,111,111,1
02282,111,111,1
02290,113,113,1
04001,142,142,1
04003,147,147,1
04005,144,144,1
04007,142,142,1
04009,143,143,1
04011,145,145,1
04012,142,142,1
04013,153,153,1
04015,144,144,1
04017,158,158,1
04019,148,148,1
04021,145,145,1
04023,141,141,1
04025,143,143,1
04027,148,148,1
05001,141,141,1
05003,150,150,1
05005,141,141,1
05007,141,141,1
05009,141,141,1
05011,146,146,1
05013,147,147,1
05015,141,141,1
05017,140,140,1
05019,150,150,1
05021,140,140,1
05023,143,143,1
05025,140,140,1
05027,152,152,1
05029,147,147,1
05031,141,141,1
05033,143,143,1
05035,142,142,1
05037,141,141,1
05039,145,145,1
05041,142,142,1
05043,141,141,1
05045,144,144,1
05047,143,143,1
05049,140,140,1
05051,142,142,1
05053,145,145,1
05055,143,143,1
05057,144,144,1
05059,149,149,1
05061,143,143,1
05063,145,145,1
05065,140,140,1
05067,142,142,1
05069,150,150,1
05071,145,145,1
05073,142,142,1
05075,140,140,1
05077,140,140,1
05079,140,140,1
05081,158,158,1
05083,142,142,1
05085,141,141,1
05087,142,142,1
05089,141,141,1
05091,145,145,1
05093,143,143,1
05095,140,140,1
05097,140,140,1
05099,142,142,1
05101,141,141,1
05103,146,146,1
05105,140,140,1
05107,142,142,1
05109,141,141,1
05111,141,141,1
05113,140,140,1
05115,150,150,1
05117,142,142,1
05119,145,145,1
05121,140,140,1
05123,140,140,1
05125,144,144,1
05127,146,146,1
05129,141,141,1
05131,145,145,1
05133,140,140,1
05135,140,140,1
05137,141,141,1
05139,167,167,1
05141,142,142,1
05143,144,144,1
05145,143,143,1
05147,140,140,1
05149,147,147,1
06001,152,152,1
06003,146,146,1
06005,149,149,1
06007,150,150,1
06009,146,146,1
06011,152,152,1
06013,157,157,1
06015,146,146,1
06017,146,146,1
06019,157,157,1
06021,149,149,1
06023,150,150,1
06025,147,147,1
06027,147,147,1
06029,166,166,1
06031,153,153,1
06033,147,147,1
06035,149,149,1
06037,171,171,1
06039,151,151,1
06041,149,149,1
06043,147,147,1
06045,146,146,1
06047,168,168,1
06049,146,146,1
06051,146,146,1
06053,151,151,1
06055,147,147,1
06057,146,146,1
06059,154,154,1
06061,153,153,1
06063,148,148,1
06065,157,157,1
06067,168,168,1
06069,151,151,1
06071,170,170,1
06073,155,155,1
06075,150,150,1
06077,160,160,1
06079,149,149,1
06081,151,151,1
06083,151,151,1
06085,153,153,1
06087,148,148,1
06089,154,154,1
06091,146,146,1
06093,151,151,1
06095,153,153,1
06097,150,150,1
06099,154,154,1
06101,150,150,1
06103,149,149,1
06105,146,146,1
06107,153,153,1
06109,149,149,1
06111,157,157,1
06113,153,153,1
06115,150,150,1
08001,135,135,1
08003,118,118,1
08005,130,130,1
08007,121,121,1
08009,125,125,1
08011,125,125,1
08013,134,134,1
08014,124,124,1
08015,118,118,1
08017,126,126,1
08019,117,117,1
08021,118,118,1
08023,118,118,1
08025,118,118,1
08027,118,118,1
08029,125,125,1
08031,121,121,1
08033,125,125,1
08035,120,120,1
08037,126,126,1
08039,125,125,1
08041,128,128,1
08043,125,125,1
08045,126,126,1
08047,119,119,1
08049,118,118,1
08051,126,126,1
08053,118,118,1
08055,125,125,1
08057,125,125,1
08059,127,127,1
08061,125,125,1
08063,116,116,1
08065,117,117,1
08067,126,126,1
08069,130,130,1
08071,125,125,1
08073,126,126,1
08075,125,125,1
08077,126,126,1
08079,118,118,1
08081,126,126,1
08083,126,126,1
08085,120,120,1
08087,126,126,1
08089,118,118,1
08091,117,117,1
08093,125,125,1
08095,120,120,1
08097,118,118,1
08099,125,125,1
08101,123,123,1
08103,125,125,1
08105,119,119,1
08107,125,125,1
08109,118,118,1
08111,112,112,1
08113,124,124,1
08115,118,118,1
08117,121,121,1
08119,119,119,1
08121,126,126,1
08123,132,132,1
08125,125,125,1
09001,144,144,1
09003,145,145,1
09005,139,139,1
09007,143,143,1
09009,146,146,1
09011,144,144,1
09013,142,142,1
09015,151,151,1
10001,150,150,1
10003,157,157,1
10005,144,144,1
11001,138,138,1
12001,144,144,1
12003,140,140,1
12005,143,143,1
12007,143,143,1
12009,149,149,1
12011,144,144,1
12013,140,140,1
12015,142,142,1
12017,142,142,1
12019,141,141,1
12021,143,143,1
12023,143,143,1
12027,141,141,1
12029,140,140,1
12031,149,149,1
12033,151,151,1
12035,142,142,1
12037,140,140,1
12039,146,146,1
12041,140,140,1
12043,140,140,1
12045,141,141,1
12047,141,141,1
12049,140,140,1
12051,145,145,1
12053,143,143,1
12055,141,141,1
12057,144,144,1
12059,141,141,1
12061,143,143,1
12063,146,146,1
12065,140,140,1
12067,140,140,1
12069,145,145,1
12071,145,145,1
12073,141,141,1
12075,141,141,1
12077,145,145,1
12079,143,143,1
12081,146,146,1
12083,144,144,1
12085,142,142,1
12086,146,146,1
12087,141,141,1
12089,146,146,1
12091,141,141,1
12093,141,141,1
12095,147,147,1
12097,142,142,1
12099,150,150,1
12101,143,143,1
12103,149,149,1
12105,144,144,1
12107,148,148,1
12109,141,141,1
12111,143,143,1
12113,144,144,1
12115,145,145,1
12117,141,141,1
12119,142,142,1
12121,142,142,1
12123,147,147,1
12125,141,141,1
12127,145,145,1
12129,140,140,1
12131,141,141,1
12133,142,142,1
13001,142,142,1
13003,141,141,1
13005,142,142,1
13007,141,141,1
13009,143,143,1
13011,143,143,1
13013,146,146,1
13015,143,143,1
13019,141,141,1
13021,146,146,1
13023,141,141,1
13025,141,141,1
13027,141,141,1
13029,142,142,1
13031,142,142,1
13033,141,141,1
13035,141,141,1
13037,141,141,1
13039,142,142,1
13043,141,141,1
13045,142,142,1
13047,142,142,1
13049,144,144,1
13051,150,150,1
13053,141,141,1
13055,143,143,1
13057,142,142,1
13059,145,145,1
13061,141,141,1
13063,145,145,1
13065,141,141,1
13067,144,144,1
13069,143,143,1
13071,142,142,1
13073,143,143,1
13075,142,142,1
13077,142,142,1
13079,141,141,1
13081,141,141,1
13083,142,142,1
13085,143,143,1
13087,142,142,1
13089,140,140,1
13091,142,142,1
13093,141,141,1
13095,150,150,1
13097,143,143,1
13099,145,145,1
13101,141,141,1
13103,141,141,1
13105,141,141,1
13107,141,141,1
13109,141,141,1
13111,142,142,1
13113,142,142,1
13115,150,150,1
13117,143,143,1
13119,142,142,1
13121,145,145,1
13123,141,141,1
13125,141,141,1
13127,145,145,1
13129,144,144,1
13131,142,142,1
13133,142,142,1
13135,140,140,1
13137,142,142,1
13139,142,142,1
13141,141,141,1
13143,142,142,1
13145,145,145,1
13147,142,142,1
13149,142,142,1
13151,146,146,1
13153,147,147,1
13155,141,141,1
13157,145,145,1
13159,141,141,1
13161,141,141,1
13163,144,144,1
13165,141,141,1
13167,141,141,1
13169,142,142,1
13171,143,143,1
13173,142,142,1
13175,143,143,1
13177,142,142,1
13179,145,145,1
13181,141,141,1
13183,141,141,1
13185,149,149,1
13187,142,142,1
13189,142,142,1
13191,142,142,1
13193,143,143,1
13195,143,143,1
13197,141,141,1
13199,141,141,1
13201,141,141,1
13205,142,142,1
13207,142,142,1
13209,141,141,1
13211,145,145,1
13213,145,145,1
13215,146,146,1
13217,144,144,1
13219,142,142,1
13221,142,142,1
13223,142,142,1
13225,142,142,1
13227,142,142,1
13229,144,144,1
13231,142,142,1
13233,142,142,1
13235,142,142,1
13237,141,141,1
13239,141,141,1
13241,144,144,1
13243,141,141,1
13245,148,148,1
13247,143,143,1
13249,141,141,1
13251,141,141,1
13253,141,141,1
13255,142,142,1
13257,142,142,1
13259,141,141,1
13261,143,143,1
13263,141,141,1
13265,141,141,1
13267,142,142,1
13269,144,144,1
13271,142,142,1
13273,141,141,1
13275,145,145,1
13277,145,145,1
13279,142,142,1
13281,142,142,1
13283,142,142,1
13285,144,144,1
13287,141,141,1
13289,141,141,1
13291,142,142,1
13293,148,148,1
13295,142,142,1
13297,146,146,1
13299,142,142,1
13301,141,141,1
13303,142,142,1
13305,144,144,1
13307,141,141,1
13309,141,141,1
13311,141,141,1
13313,145,145,1
13315,141,141,1
13317,141,141,1
13319,141,141,1
13321,142,142,1
15001,140,140,1
15003,147,147,1
15007,138,138,1
15009,138,138,1
16001,148,148,1
16003,145,145,1
16005,146,146,1
16007,145,145,1
16009,143,143,1
16011,144,144,1
16013,143,143,1
16015,143,143,1
16017,144,144,1
16019,143,143,1
16021,145,145,1
16023,144,144,1
16025,143,143,1
16027,144,144,1
16029,144,144,1
16031,143,143,1
16033,143,143,1
16035,143,143,1
16037,143,143,1
16039,146,146,1
16041,143,143,1
16043,143,143,1
16045,145,145,1
16047,143,143,1
16049,146,146,1
16051,143,143,1
16053,143,143,1
16055,147,147,1
16057,145,145,1
16059,143,143,1
16061,143,143,1
16063,143,143,1
16065,143,143,1
16067,143,143,1
16069,146,146,1
16071,143,143,1
16073,143,143,1
16075,146,146,1
16077,143,143,1
16079,143,143,1
16081,143,143,1
16083,143,143,1
16085,143,143,1
16087,143,143,1
17001,143,143,1
17003,142,142,1
17005,142,142,1
17007,140,140,1
17009,141,141,1
17011,142,142,1
17013,139,139,1
17015,139,139,1
17017,141,141,1
17019,143,143,1
17021,144,144,1
17023,144,144,1
17025,143,143,1
17027,143,143,1
17029,144,144,1
17031,154,154,1
17033,144,144,1
17035,142,142,1
17037,140,140,1
17039,142,142,1
17041,143,143,1
17043,142,142,1
17045,142,142,1
17047,143,143,1
17049,143,143,1
17051,143,143,1
17053,142,142,1
17055,143,143,1
17057,142,142,1
17059,142,142,1
17061,140,140,1
17063,146,146,1
17065,143,143,1
17067,142,142,1
17069,140,140,1
17071,139,139,1
17073,141,141,1
17075,140,140,1
17077,143,143,1
17079,144,144,1
17081,142,142,1
17083,141,141,1
17085,142,142,1
17087,139,139,1
17089,145,145,1
17091,143,143,1
17093,140,140,1
17095,141,141,1
17097,145,145,1
17099,144,144,1
17101,143,143,1
17103,142,142,1
17105,144,144,1
17107,142,142,1
17109,142,142,1
17111,146,146,1
17113,144,144,1
17115,146,146,1
17117,144,144,1
17119,147,147,1
17121,145,145,1
17123,144,144,1
17125,140,140,1
17127,140,140,1
17129,141,141,1
17131,140,140,1
17133,142,142,1
17135,143,143,1
17137,142,142,1
17139,143,143,1
17141,143,143,1
17143,145,145,1
17145,142,142,1
17147,140,140,1
17149,142,142,1
17151,140,140,1
17153,139,139,1
17155,145,145,1
17157,147,147,1
17159,142,142,1
17161,147,147,1
17163,157,157,1
17165,142,142,1
17167,147,147,1
17169,141,141,1
17171,139,139,1
17173,142,142,1
17175,139,139,1
17177,141,141,1
17179,143,143,1
17181,139,139,1
17183,143,143,1
17185,143,143,1
17187,141,141,1
17189,143,143,1
17191,144,144,1
17193,143,143,1
17195,140,140,1
17197,149,149,1
17199,142,142,1
17201,147,147,1
17203,142,142,1
18001,141,141,1
18003,148,148,1
18005,145,145,1
18007,139,139,1
18009,141,141,1
18011,142,142,1
18013,141,141,1
18015,142,142,1
18017,149,149,1
18019,146,146,1
18021,145,145,1
18023,142,142,1
18025,140,140,1
18027,143,143,1
18029,143,143,1
18031,143,143,1
18033,139,139,1
18035,145,145,1
18037,147,147,1
18039,143,143,1
18041,142,142,1
18043,142,142,1
18045,140,140,1
18047,141,141,1
18049,143,143,1
18051,144,144,1
18053,143,143,1
18055,144,144,1
18057,142,142,1
18059,143,143,1
18061,143,143,1
18063,142,142,1
18065,143,143,1
18067,144,144,1
18069,143,143,1
18071,141,141,1
18073,141,141,1
18075,142,142,1
18077,140,140,1
18079,143,143,1
18081,141,141,1
18083,145,145,1
18085,141,141,1
18087,143,143,1
18089,149,149,1
18091,143,143,1
18093,143,143,1
18095,142,142,1
18097,145,145,1
18099,143,143,1
18101,141,141,1
18103,141,141,1
18105,143,143,1
18107,142,142,1
18109,141,141,1
18111,141,141,1
18113,141,141,1
18115,140,140,1
18117,140,140,1
18119,140,140,1
18121,141,141,1
18123,143,143,1
18125,142,142,1
18127,145,145,1
18129,147,147,1
18131,143,143,1
18133,144,144,1
18135,142,142,1
18137,141,141,1
18139,142,142,1
18141,142,142,1
18143,141,141,1
18145,144,144,1
18147,144,144,1
18149,143,143,1
18151,143,143,1
18153,144,144,1
18155,141,141,1
18157,148,148,1
18159,139,139,1
18161,139,139,1
18163,145,145,1
18165,140,140,1
18167,145,145,1
18169,145,145,1
18171,140,140,1
18173,144,144,1
18175,141,141,1
18177,141,141,1
18179,141,141,1
18181,143,143,1
18183,141,141,1
19001,139,139,1
19003,139,139,1
19005,142,142,1
19007,140,140,1
19009,140,140,1
19011,140,140,1
19013,148,148,1
19015,142,142,1
19017,141,141,1
19019,143,143,1
19021,140,140,1
19023,140,140,1
19025,140,140,1
19027,140,140,1
19029,140,140,1
19031,140,140,1
19033,142,142,1
19035,140,140,1
19037,140,140,1
19039,139,139,1
19041,140,140,1
19043,140,140,1
19045,145,145,1
19047,141,141,1
19049,143,143,1
19051,139,139,1
19053,140,140,1
19055,141,141,1
19057,142,142,1
19059,140,140,1
19061,141,141,1
19063,140,140,1
19065,139,139,1
19067,141,141,1
19069,140,140,1
19071,139,139,1
19073,140,140,1
19075,140,140,1
19077,139,139,1
19079,140,140,1
19081,141,141,1
19083,139,139,1
19085,141,141,1
19087,140,140,1
19089,139,139,1
19091,139,139,1
19093,139,139,1
19095,140,140,1
19097,140,140,1
19099,140,140,1
19101,141,141,1
19103,144,144,1
19105,141,141,1
19107,141,141,1
19109,139,139,1
19111,143,143,1
19113,147,147,1
19115,144,144,1
19117,140,140,1
19119,140,140,1
19121,139,139,1
19123,141,141,1
19125,141,141,1
19127,140,140,1
19129,141,141,1
19131,140,140,1
19133,139,139,1
19135,141,141,1
19137,141,141,1
19139,145,145,1
19141,140,140,1
19143,140,140,1
19145,142,142,1
19147,142,142,1
19149,140,140,1
19151,140,140,1
19153,146,146,1
19155,143,143,1
19157,140,140,1
19159,139,139,1
19161,139,139,1
19163,147,147,1
19165,140,140,1
19167,140,140,1
19169,142,142,1
19171,140,140,1
19173,139,139,1
19175,140,140,1
19177,140,140,1
19179,142,142,1
19181,142,142,1
19183,140,140,1
19185,140,140,1
19187,142,142,1
19189,142,142,1
19191,142,142,1
19193,143,143,1
19195,139,139,1
19197,140,140,1
20001,144,144,1
20003,143,143,1
20005,141,141,1
20007,144,144,1
20009,147,147,1
20011,144,144,1
20013,144,144,1
