fips,var,val,year
46125,drinking water violations,No(1.0),2023
01097,motor vehicle crash deaths,0.019075595930999997,2023
39005,drinking water violations,No(1.0),2023
18059,income inequality,3.376715405(1.0),2023
39137,rural,84.66042494,2023
53015,adult obesity,37.8(4.0),2023
39153,residential segregation - black/white,58.496983766,2023
27037,mental health providers,457:1(2.0),2023
16059,unemployment,5.332615136(4.0),2023
17143,food insecurity,12.5,2023
42095,air pollution - particulate matter,8.6(3.0),2023
02090,homicides,0.0082516970266,2023
48027,severe housing problems,15.665498411(3.0),2023
05111,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.739(0.7922,0.7871,0.4367,0.5341)",2020
12091,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5385(0.4644,0.5207,0.648,0.5637)",2020
48301,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1334(0.0407,0.5341,0.0,0.3873)",2020
48223,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6801(0.655,0.7438,0.6464,0.4971)",2020
33011,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2543(0.2486,0.1181,0.4854,0.4688)",2020
05131,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8511(0.7432,0.9612,0.6938,0.656)",2020
51063,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0993(0.3043,0.0446,0.1945,0.1006)",2020
01051,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4564(0.3393,0.4271,0.6458,0.5532)",2020
39027,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4488(0.43,0.5805,0.1983,0.5115)",2020
21041,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8243(0.9284,0.5646,0.3657,0.8059)",2020
46035,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3291(0.3014,0.1496,0.3141,0.6903)",2020
12063,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8991(0.837,0.8027,0.732,0.9309)",2020
26045,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2231(0.1038,0.4064,0.5115,0.3784)",2020
51680,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7845(0.7798,0.1811,0.7689,0.9542)",2020
72099,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5584(0.8312,0.4416,0.7013,0.2078)",2020
29073,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1022(0.1254,0.415,0.0547,0.1162)",2020
37115,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3663(0.4971,0.141,0.1623,0.5659)",2020
26105,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4379(0.4768,0.4421,0.2778,0.4615)",2020
72135,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0909(0.1948,0.0,0.2857,0.3896)",2020
36031,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3307(0.2467,0.2989,0.2613,0.6738)",2020
49009,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0153(0.0019,0.0057,0.0105,0.5573)",2020
41045,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9943(0.9233,0.9653,0.7871,0.9984)",2020
