fips,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",adult obesity,air pollution - particulate matter,children in poverty,children in single-parent households,drinking water violations,drug overdose deaths,firearm fatalities,food insecurity,frequent mental distress,homicides,income inequality,life expectancy,limited access to healthy foods,low birthweight,mental health providers,motor vehicle crash deaths,physical inactivity,poor or fair health,premature death,preventable hospital stays,primary care physicians,residential segregation - black/white,rural,severe housing cost burden,severe housing problems,unemployment,uninsured
01001,0.513,37.3,10.0,16.1,26.766176364,0.0,0.0083524744205,0.017592044088000004,14.5,16.2,0.0059083891418999996,4.7943999665,76.585649727,13.020997971,9.7381519152,2814.0,0.019009599848,26.4,16.9,8.0273947267,4.372,2246.0,32.707131005,42.002162321,12.753317683,14.442626782,2.8169014085,10.559420977
01003,0.3103,32.6,7.6,16.4,18.699170379,1.0,0.0175976783,0.014014402776,12.4,16.1,0.0032763778505999997,4.3007098007,77.724729177,7.936779358,8.3857311835,957.0,0.016849943232,23.2,14.9,8.1183582061,2.864,1529.0,38.482766252,42.279099114,10.962941834,12.238971951,2.9629778632,10.874880826
01005,0.9927,46.4,9.4,35.1,54.07717164,1.0,,0.025520172898999997,19.5,18.0,0.011187747179000002,5.1805972095,72.867210115,10.433171672,11.914672216,4161.0,0.027969367948,35.7,27.5,12.876760318999999,3.5589999999999997,3074.0,20.6345609,67.789634702,10.218016291,16.21187801,5.7216054654,14.368275438
01007,0.8078,38.4,9.8,29.0,29.443957968,0.0,0.023905572987,0.017818800617,16.4,17.4,0.0095341002987,5.0349852694,73.609363092,0.4458662133,10.033076075,2497.0,0.02605987415,31.6,21.6,11.191474323,4.856,1581.0,41.438566305,68.352607462,9.4484696141,11.320754717,3.4813084112,13.007877923
01009,0.5137,32.7,9.6,16.7,22.179928263,0.0,0.017862802155,0.020396733757,13.8,17.4,0.007166616418,4.803717903,74.1714626,2.5122060181,7.8598889364,4920.0,0.030643463303999998,28.5,18.4,10.787014541000001,3.01,4823.0,54.722974143,89.951502041,8.2561958794,9.8824658191,2.3799100569,13.254672294
01011,0.831,48.3,9.3,41.7,67.666232073,0.0,,0.025547301812,16.0,17.7,0.015204710695999999,6.274395038,73.81468226,32.339190387,15.062287656,5160.0,0.049760871368,39.6,29.7,11.406351094,3.047,3325.0,32.984594921,51.374381528,18.537074148,12.926136364,3.9947894051,12.36754705
01013,0.6843,45.4,9.1,34.2,33.218785796,0.0,,0.026408003656,16.3,17.6,0.019437745222,5.3352661233,73.473279047,6.9182869438,12.82853567,1180.0,0.038155573953000003,32.3,22.7,12.717030159,4.201,4876.0,27.48824395,71.23215735,8.7013843111,11.683320523,5.3206002729,13.485054348
01015,0.7349,37.4,9.7,25.2,30.135467005,0.0,0.019334936766,0.026108745554,16.1,17.1,0.010346211666,4.8198680752,72.825007074,15.398072995,9.4372108038,670.0,0.021938954857999998,28.1,19.6,11.82611499,3.7220000000000004,1669.0,44.517691316,33.696825557,11.334513274,11.893285506,4.1328765341,12.925000848
01017,0.8074,41.2,9.8,32.2,32.502066685,0.0,0.010026670944999998,0.026899396258000002,15.1,17.7,0.010616207126000001,4.2124930284,73.761104989,8.1029884513,12.653061224,11514.0,0.025054248818000002,32.2,21.5,11.059443876,3.1809999999999996,2348.0,30.544357934,49.148034488,9.6858846918,16.505576208,3.6757237176,13.219488894
01019,0.3269,41.3,9.5,26.6,24.974071769,0.0,0.017829398130000004,0.025364323925,14.2,17.9,0.0082417582418,4.8088995665,74.014400904,5.0086522515,8.2923832924,4166.0,0.031868131868,28.6,19.3,11.395898384,3.916,2629.0,42.417449947,85.736273039,8.3333333333,9.268747089,2.5067750678,12.844783715
01021,0.7222,37.5,9.9,22.4,20.268256334,0.0,0.018048098182,0.014933072683,15.9,17.6,0.0048565693194,4.1315323104,74.391084705,4.3695515107,9.0440608091,1372.0,0.025254160461000003,30.8,20.4,10.342204935,4.009,4440.0,41.50625826,86.74472424,9.5503836642,14.534711965,2.8519509363,15.262981761
01023,0.7116,41.4,9.3,32.4,44.315545244,0.0,,,16.9,17.8,,6.2560824473,74.214010199,13.044275445,11.523046092,12533.0,0.039876383212,30.7,22.5,12.128658021,3.102,2484.0,39.366412202,100.0,11.033901874,10.188679245,4.3563493792,12.671120359
01025,0.8552,40.6,9.5,29.2,41.68115942,1.0,0.014117713495,0.022630502565,19.1,18.0,0.0088795226369,5.9284713376,71.737339284,18.350343549,13.136863137,1084.0,0.031966281493,32.0,24.0,14.428017270000002,3.547,2117.0,25.597334407,75.98033523,11.744552556,12.321232123,5.979808439,13.698398376
01027,0.5309,38.6,7.6,27.6,19.88730527,0.0,,0.022562837502000003,14.7,18.1,,6.2754648469,72.89639799,2.9746178357,8.2433758587,7095.0,0.037397957003,30.8,20.7,12.553865469,4.412,3278.0,29.954757874,100.0,8.0642004306,8.2692307692,2.7071369975,14.378173852
01029,0.4542,38.3,9.4,22.1,21.086261981,0.0,,0.024100257069,16.1,17.7,,4.5909584444,74.346662647,2.0248519297,7.8414839798,1888.0,0.032447082626,28.7,19.3,10.529879048,3.277,3742.0,46.33051415,100.0,6.4703603255,9.3309859155,2.5636672326,13.49897541
01031,0.6489,43.6,9.1,24.2,30.620645978,0.0,0.008889961328700001,0.020339165173000003,14.6,16.9,0.0055141838594,4.7907423295,75.268544718,8.9918950021,8.6677011749,1083.0,0.018472515929,30.2,19.1,9.2983568368,3.313,2129.0,43.492399089,47.195082886,9.6685082873,9.661229611,2.7913787581,13.694496669
