,burden_index,epa_fac_pc,pfas_fac_pc,enforce_pc,court_pc,rucc,svi,sud_pc,poverty,uninsured,food_insecurity,unemploy,lt_hs,diabetes,obesity,asthma,copd,stroke,cad,depression,hypertension
burden_index,1.0,0.10597084309927543,0.1200150066155586,0.23546804273191912,0.11330992180925438,0.47295499015857895,0.5157226610199731,-0.062384620366868745,0.4899580055567571,0.38287167207108097,0.39082788648128597,0.28153498101598906,0.41521972201302987,0.3937614515619989,0.2487122949441514,0.12772541035801233,0.24654582146787385,0.389776034227947,0.3680121541014237,-0.042019535224654556,0.2667707510531699
epa_fac_pc,0.10597084309927543,1.0,0.5123603544573758,0.19149259134470573,0.1004875707258353,0.11593125953859017,-0.0814909615366919,0.3521755868846733,-0.07835000133984302,0.007353788684975158,-0.0019487681397806936,-0.08979854261604797,-0.051829454327217084,-0.1598155352915905,-0.05210009909234786,-0.22963247261047087,-0.1875896761563208,-0.1666004777383176,-0.14164070981373578,-0.1762754394129744,-0.20092268866508872
pfas_fac_pc,0.1200150066155586,0.5123603544573758,1.0,0.16449252996633862,0.002209446561484948,0.14535449746294749,-0.05685993721000619,0.2209532011359203,-0.04276134466245072,0.05862699371767047,-0.00677986782107726,-0.054025220935461346,-0.03695990656673585,-0.04300283730424794,-0.04080897369953556,-0.003663334229769375,-0.031248708554873054,-0.033705411359141756,-0.017768937824933332,-0.026544499956319027,-0.036030791205895654
enforce_pc,0.23546804273191912,0.19149259134470573,0.16449252996633862,1.0,-0.005900479376091249,0.32308524250179754,-0.17712764139873108,0.41434244996784414,-0.031339582439839066,0.028133674816165112,-0.08925240768643863,-0.09795614498681136,-0.11431145752666114,-0.10335598529902527,-0.0001315645029620214,-0.10372163875470561,-0.03929800462290047,-0.07426122304556403,-0.009898062394839304,-0.14598498592578932,-0.11574217672019023
court_pc,0.11330992180925438,0.1004875707258353,0.002209446561484948,-0.005900479376091249,1.0,0.03908033857695934,0.04560986704067394,0.04032618666482333,0.03606041316525786,0.09020431467018757,0.023875524811411756,-0.014418478859340155,0.2379068031208554,0.10432947247652066,0.05052863712870579,0.01613737635804035,0.03370018903751085,0.06843832950774457,0.07134694756272583,-0.006377120967805813,0.03150991060568533
rucc,0.47295499015857895,0.11593125953859017,0.14535449746294749,0.32308524250179754,0.03908033857695934,1.0,-0.021421380010625417,0.43937543196262346,0.25845916024206395,0.17813734956246527,0.1652416389333542,-0.018793736613017482,0.16662356640725762,0.11553070478241155,0.22055090799686544,0.06575408216028994,0.226851522201235,0.19426306003683005,0.2799983310642533,-0.017272008333593557,0.09779135792570486
svi,0.5157226610199731,-0.0814909615366919,-0.05685993721000619,-0.17712764139873108,0.04560986704067394,-0.021421380010625417,1.0,-0.08648348666403416,0.7031339083189528,0.548027704331232,0.6948839451298899,0.585349012631341,0.6720682987017694,0.7109126846944934,0.3643540112525441,0.4297710052788771,0.4807310385624395,0.6878136529221128,0.5786294218686482,0.1729451611345961,0.5837813389545349
sud_pc,-0.062384620366868745,0.3521755868846733,0.2209532011359203,0.41434244996784414,0.04032618666482333,0.43937543196262346,-0.08648348666403416,1.0,0.07473266587175906,0.1009634855891017,0.023864097196519767,0.00773054463258406,-0.02632423711329127,-0.0027694941226144923,0.0070889477761294905,0.021589154697155902,0.03415336605983923,0.06346823158803831,0.07757200312837381,-0.05203680630406583,-0.022351501393877458
poverty,0.4899580055567571,-0.07835000133984302,-0.04276134466245072,-0.031339582439839066,0.03606041316525786,0.25845916024206395,0.7031339083189528,0.07473266587175906,1.0,0.3887397550455645,0.7841103075716972,0.5735062426908979,0.6244449610092728,0.7807425064697073,0.5511664776107092,0.5474218187317321,0.6740828759461007,0.8099525935154747,0.7546666817542118,0.2434311305586507,0.7210239611535461
uninsured,0.38287167207108097,0.007353788684975158,0.05862699371767047,0.028133674816165112,0.09020431467018757,0.17813734956246527,0.548027704331232,0.1009634855891017,0.3887397550455645,1.0,0.40430755673730395,0.24280982980649385,0.5369958830899854,0.5100294652183176,0.26506511084493145,0.11559082593339219,0.2772353376472285,0.46801661415686474,0.41646144243613686,-0.016520421575213967,0.34664418381920126
food_insecurity,0.39082788648128597,-0.0019487681397806936,-0.00677986782107726,-0.08925240768643863,0.023875524811411756,0.1652416389333542,0.6948839451298899,0.023864097196519767,0.7841103075716972,0.40430755673730395,1.0,0.5797408029206053,0.5827977348602046,0.7137416622315076,0.48710581537493924,0.563611796282215,0.7409923180742757,0.7266310739718985,0.7700158509576938,0.4470703498297481,0.6795442090933848
unemploy,0.28153498101598906,-0.08979854261604797,-0.054025220935461346,-0.09795614498681136,-0.014418478859340155,-0.018793736613017482,0.585349012631341,0.00773054463258406,0.5735062426908979,0.24280982980649385,0.5797408029206053,1.0,0.37194945506072136,0.5385436032684864,0.28369509817363453,0.4916487137172381,0.4570588477488421,0.5745299974287124,0.5176755336860277,0.2049817972955203,0.4548158754352505
lt_hs,0.41521972201302987,-0.051829454327217084,-0.03695990656673585,-0.11431145752666114,0.2379068031208554,0.16662356640725762,0.6720682987017694,-0.02632423711329127,0.6244449610092728,0.5369958830899854,0.5827977348602046,0.37194945506072136,1.0,0.7243663617912249,0.4732945523806431,0.3700645997956559,0.6054676297784587,0.6604023497992854,0.6547645010352342,0.23529485305188627,0.5983939489237445
diabetes,0.3937614515619989,-0.1598155352915905,-0.04300283730424794,-0.10335598529902527,0.10432947247652066,0.11553070478241155,0.7109126846944934,-0.0027694941226144923,0.7807425064697073,0.5100294652183176,0.7137416622315076,0.5385436032684864,0.7243663617912249,1.0,0.7116021255695922,0.5600577541265402,0.7107341014307086,0.939920969701358,0.8320049495954016,0.1776060294526345,0.8811040590027293
obesity,0.2487122949441514,-0.05210009909234786,-0.04080897369953556,-0.0001315645029620214,0.05052863712870579,0.22055090799686544,0.3643540112525441,0.0070889477761294905,0.5511664776107092,0.26506511084493145,0.48710581537493924,0.28369509817363453,0.4732945523806431,0.7116021255695922,1.0,0.3864594178276749,0.6393802821049754,0.6843529653266309,0.7016400521533158,0.1691416039093652,0.754218491313524
asthma,0.12772541035801233,-0.22963247261047087,-0.003663334229769375,-0.10372163875470561,0.01613737635804035,0.06575408216028994,0.4297710052788771,0.021589154697155902,0.5474218187317321,0.11559082593339219,0.563611796282215,0.4916487137172381,0.3700645997956559,0.5600577541265402,0.3864594178276749,1.0,0.7203556802434182,0.6535429757026119,0.6692884822856212,0.5934657818080418,0.5573162850859096
copd,0.24654582146787385,-0.1875896761563208,-0.031248708554873054,-0.03929800462290047,0.03370018903751085,0.226851522201235,0.4807310385624395,0.03415336605983923,0.6740828759461007,0.2772353376472285,0.7409923180742757,0.4570588477488421,0.6054676297784587,0.7107341014307086,0.6393802821049754,0.7203556802434182,1.0,0.7615459938759596,0.9247285945098037,0.6416439709421232,0.7460749161590918
stroke,0.389776034227947,-0.1666004777383176,-0.033705411359141756,-0.07426122304556403,0.06843832950774457,0.19426306003683005,0.6878136529221128,0.06346823158803831,0.8099525935154747,0.46801661415686474,0.7266310739718985,0.5745299974287124,0.6604023497992854,0.939920969701358,0.6843529653266309,0.6535429757026119,0.7615459938759596,1.0,0.8709288064097361,0.2125207079651795,0.8682370755331984
cad,0.3680121541014237,-0.14164070981373578,-0.017768937824933332,-0.009898062394839304,0.07134694756272583,0.2799983310642533,0.5786294218686482,0.07757200312837381,0.7546666817542118,0.41646144243613686,0.7700158509576938,0.5176755336860277,0.6547645010352342,0.8320049495954016,0.7016400521533158,0.6692884822856212,0.9247285945098037,0.8709288064097361,1.0,0.4664040574932185,0.7869415437490883
depression,-0.042019535224654556,-0.1762754394129744,-0.026544499956319027,-0.14598498592578932,-0.006377120967805813,-0.017272008333593557,0.1729451611345961,-0.05203680630406583,0.2434311305586507,-0.016520421575213967,0.4470703498297481,0.2049817972955203,0.23529485305188627,0.1776060294526345,0.1691416039093652,0.5934657818080418,0.6416439709421232,0.2125207079651795,0.4664040574932185,1.0,0.29834828954828885
hypertension,0.2667707510531699,-0.20092268866508872,-0.036030791205895654,-0.11574217672019023,0.03150991060568533,0.09779135792570486,0.5837813389545349,-0.022351501393877458,0.7210239611535461,0.34664418381920126,0.6795442090933848,0.4548158754352505,0.5983939489237445,0.8811040590027293,0.754218491313524,0.5573162850859096,0.7460749161590918,0.8682370755331984,0.7869415437490883,0.29834828954828885,1.0
