predictor,predictor_label,outcome,outcome_label,r,p_value,n
epa_fac_pc,EPA facilities /10k,diabetes,Diabetes,-0.16,9.681673526730945e-19,3022
epa_fac_pc,EPA facilities /10k,obesity,Obesity,-0.052,0.004172134396899265,3022
epa_fac_pc,EPA facilities /10k,asthma,Asthma,-0.23,1.8749663267812446e-37,3022
epa_fac_pc,EPA facilities /10k,copd,COPD,-0.188,2.466189134585978e-25,3022
epa_fac_pc,EPA facilities /10k,stroke,Stroke,-0.167,2.993491964264897e-20,3022
epa_fac_pc,EPA facilities /10k,cad,Coronary artery disease,-0.142,5.173446484852174e-15,3022
epa_fac_pc,EPA facilities /10k,depression,Depression,-0.176,1.6248551443842454e-22,3022
epa_fac_pc,EPA facilities /10k,hypertension,Hypertension,-0.201,6.797246428666888e-29,3022
epa_fac_pc,EPA facilities /10k,arteriosclerosis,Arteriosclerosis,-0.205,6.1929076247942895e-30,3022
epa_fac_pc,EPA facilities /10k,poverty,Poverty %,-0.078,1.2660701073390397e-05,3098
epa_fac_pc,EPA facilities /10k,uninsured,Uninsured %,0.007,0.6824296753279976,3098
epa_fac_pc,EPA facilities /10k,food_insecurity,Food insecurity %,-0.002,0.9136592522616739,3098
epa_fac_pc,EPA facilities /10k,unemploy,Unemployment %,-0.09,5.549848775655776e-07,3098
epa_fac_pc,EPA facilities /10k,lt_hs,< High school %,-0.052,0.003906855687891852,3098
pfas_fac_pc,PFAS-type facilities /10k,diabetes,Diabetes,-0.043,0.01836284988216008,3007
pfas_fac_pc,PFAS-type facilities /10k,obesity,Obesity,-0.041,0.025233610739771022,3007
pfas_fac_pc,PFAS-type facilities /10k,asthma,Asthma,-0.004,0.8408548183845201,3007
pfas_fac_pc,PFAS-type facilities /10k,copd,COPD,-0.031,0.08666401289597003,3007
pfas_fac_pc,PFAS-type facilities /10k,stroke,Stroke,-0.034,0.0645979233791595,3007
pfas_fac_pc,PFAS-type facilities /10k,cad,Coronary artery disease,-0.018,0.33003103428488567,3007
pfas_fac_pc,PFAS-type facilities /10k,depression,Depression,-0.027,0.1456004578789045,3007
pfas_fac_pc,PFAS-type facilities /10k,hypertension,Hypertension,-0.036,0.04819910810095318,3007
