fips,lat,lon
06037,34.1982,-118.2611
13193,32.3584,-84.0425
01005,31.8696,-85.3932
01013,31.7524,-86.6803
01023,32.0196,-88.2632
01053,31.1261,-87.1616
01091,32.2476,-87.7895
01099,31.5708,-87.3654
01129,31.4076,-88.2079
01131,31.9892,-87.3082
04017,35.3996,-110.3214
05017,33.267,-91.2937
05027,33.2143,-93.2273
05069,34.2683,-91.9304
05077,34.7804,-90.7808
05139,33.1714,-92.5973
06019,36.7582,-119.6493
06029,35.3426,-118.73
06047,37.1919,-120.7177
06077,37.9348,-121.2714
06107,36.2202,-118.8005
12107,29.6086,-81.7443
13245,33.3596,-82.0735
13301,33.409,-82.6768
21065,37.6925,-83.9643
21153,37.7065,-83.0649
21171,36.7122,-85.7165
22013,32.3473,-93.0561
22017,32.5807,-93.8824
22021,32.0924,-92.1166
22027,32.8228,-92.9957
22029,31.4459,-91.64
22031,32.0555,-93.7373
22033,30.5383,-91.0956
22047,30.2586,-91.3495
22067,32.8202,-91.8018
22071,30.0686,-89.9281
22081,32.0931,-93.3398
22085,31.564,-93.5547
22097,30.5989,-92.0058
22101,29.6347,-91.473
22107,32.0018,-91.3401
22117,30.8534,-90.0405
22119,32.7135,-93.335
24510,39.301,-76.6106
26163,42.2847,-83.2611
28005,31.1744,-90.8044
28011,33.7971,-90.8806
28021,31.9737,-90.9118
28027,34.23,-90.6017
28049,32.2667,-90.4428
28051,33.1235,-90.0921
28063,31.7342,-91.0372
28065,31.5696,-89.823
28093,34.7623,-89.5031
28103,33.1101,-88.5698
28119,34.2514,-90.2891
28125,32.8797,-90.8132
28133,33.6023,-90.5886
28149,32.3572,-90.852
28151,33.2838,-90.9473
28153,31.6408,-88.6958
28163,32.7803,-90.3964
29155,36.2115,-89.7854
29510,38.6358,-90.2451
34013,40.7872,-74.2471
37155,34.6402,-79.1039
40023,34.0266,-95.5522
40029,34.5882,-96.2978
40063,35.0484,-96.2502
40089,34.1153,-94.7714
40121,34.9239,-95.7484
40127,34.4162,-95.3759
45005,32.9881,-81.3582
45061,34.1633,-80.2545
45069,34.6021,-79.6787
47157,35.1842,-89.8941
48201,29.8573,-95.3923
48245,29.8537,-94.1534
48387,33.6207,-95.0504
48405,31.3942,-94.1682
48419,31.7924,-94.145
48455,31.0888,-95.1355
