fips,county,state,indicator,value,evidence_type,source_kg,geo_level,direction
01001,Autauga County,Alabama,n_chem,144.0,measured contamination,spoke-okn,county,higher=more burden
01001,Autauga County,Alabama,n_pfas_obs,1.0,measured contamination,sawgraph,county(S2),higher=more burden
01001,Autauga County,Alabama,n_case,73.0,justice-system activity,scales,county,higher=more burden
01001,Autauga County,Alabama,air pollution - particulate matter,10.0,modeled exposure,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,drinking water violations,0.0,regulatory indicator,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",0.513,social determinant,spoke-okn/CHR (CDC SVI),county,higher=more burden
01001,Autauga County,Alabama,children in poverty,16.1,social determinant,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,income inequality,4.7943999665,social determinant,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,unemployment,2.8169014085,social determinant,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,severe housing cost burden,12.753317683,social determinant,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,food insecurity,14.5,social determinant,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,uninsured,10.559420977,healthcare access,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,firearm fatalities,0.017592044088,public safety,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,homicides,0.0059083891418999,public safety,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,drug overdose deaths,0.0083524744205,public safety,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,motor vehicle crash deaths,0.019009599848,public safety,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,premature death,8.0273947267,health outcome,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,poor or fair health,16.9,health outcome,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,frequent mental distress,16.2,health outcome,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,low birthweight,9.7381519152,health outcome,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,prev_asthma,10.06875283446712,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01001,Autauga County,Alabama,prev_chronic_obstructive_pulmonary_disease,7.097142857142857,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01001,Autauga County,Alabama,prev_coronary_artery_disease,5.824081632653062,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01001,Autauga County,Alabama,prev_diabetes_mellitus,10.271897203325777,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01001,Autauga County,Alabama,prev_cerebrovascular_disease,3.0240060468631897,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01001,Autauga County,Alabama,primary care physicians,2246.0,healthcare access,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,mental health providers,2814.0,healthcare access,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,preventable hospital stays,4.372,healthcare access,spoke-okn/CHR,county,higher=more burden
01001,Autauga County,Alabama,n_prov,0.0,service availability,ruralkg (SAMHSA),county,higher=more service
01003,Baldwin County,Alabama,n_chem,144.0,measured contamination,spoke-okn,county,higher=more burden
01003,Baldwin County,Alabama,n_case,8.0,justice-system activity,scales,county,higher=more burden
01003,Baldwin County,Alabama,air pollution - particulate matter,7.6,modeled exposure,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,drinking water violations,1.0,regulatory indicator,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",0.3103,social determinant,spoke-okn/CHR (CDC SVI),county,higher=more burden
01003,Baldwin County,Alabama,children in poverty,16.4,social determinant,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,income inequality,4.3007098007,social determinant,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,unemployment,2.9629778632,social determinant,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,severe housing cost burden,10.962941834,social determinant,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,food insecurity,12.4,social determinant,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,uninsured,10.874880826,healthcare access,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,firearm fatalities,0.014014402776,public safety,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,homicides,0.0032763778505999,public safety,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,drug overdose deaths,0.0175976783,public safety,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,motor vehicle crash deaths,0.016849943232,public safety,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,premature death,8.1183582061,health outcome,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,poor or fair health,14.9,health outcome,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,frequent mental distress,16.1,health outcome,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,low birthweight,8.3857311835,health outcome,spoke-okn/CHR,county,higher=more burden
01003,Baldwin County,Alabama,prev_asthma,9.884910293878876,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01003,Baldwin County,Alabama,prev_chronic_obstructive_pulmonary_disease,6.377490258158791,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01003,Baldwin County,Alabama,prev_coronary_artery_disease,5.408805203766844,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01003,Baldwin County,Alabama,prev_diabetes_mellitus,9.810511040753369,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01003,Baldwin County,Alabama,prev_cerebrovascular_disease,2.686919548628024,health outcome,spoke-okn (CDC PLACES),county(place-rollup),higher=more burden
01003,Baldwin County,Alabama,primary care physicians,1529.0,healthcare access,spoke-okn/CHR,county,higher=more burden
