fips,n_pfas_fac
04001,23
04003,48
04005,52
04007,26
04009,20
04011,8
04012,21
04013,707
04015,53
04017,39
04019,187
04021,92
04023,16
04025,66
04027,40
05001,28
05003,24
05005,21
05007,79
05009,16
05011,7
05013,10
05015,23
05017,10
05019,31
05021,18
05023,19
05025,6
05027,30
05029,24
05031,57
05033,24
05035,43
05037,18
05039,7
05041,17
05043,20
05045,56
05047,8
05049,5
05051,38
05053,22
05055,19
05057,28
05059,25
05061,14
05063,21
05065,11
05067,24
05069,52
05071,14
05073,16
05075,15
05077,13
05079,7
05081,19
05083,9
05085,58
05087,8
05089,18
05091,24
05093,61
05095,8
05097,9
05099,3
05101,3
05103,39
05105,8
05107,30
05109,11
05111,23
05113,15
05115,28
05117,21
05119,212
05121,16
05123,23
05125,86
05127,4
05129,9
05131,65
05133,17
05135,7
05137,5
05139,92
05141,14
05143,79
05145,35
05147,13
05149,16
06001,945
06003,8
06005,46
06007,90
06009,47
06011,43
06013,396
06015,13
06017,64
06019,395
06021,69
06023,91
06025,91
06027,36
06029,676
06031,79
06033,37
06035,29
06037,3627
06039,64
06041,127
06043,22
06045,72
06047,86
06049,22
06051,19
06053,88
06055,74
06057,52
06059,1254
06061,190
06063,30
06065,469
06067,222
06069,33
06071,804
06073,843
06075,173
06077,352
06079,144
06081,328
06083,391
06085,1568
06087,54
06089,69
06091,19
06093,55
06095,188
06097,201
06099,171
06101,51
06103,37
06105,28
06107,168
06109,23
06111,457
06113,118
06115,28
08001,924
08003,16
08005,378
08007,13
08009,37
08011,20
08013,242
08014,102
08015,33
08017,278
08019,6
08021,5
08023,8
08025,4
08027,10
08029,42
08031,509
08033,23
08035,52
08037,23
08039,53
08041,210
08043,47
08045,2299
08047,4
08049,13
08051,34
08053,2
08055,11
08057,57
08059,170
08061,61
08063,31
08065,16
08067,331
08069,249
08071,1015
08073,106
08075,50
08077,297
08079,4
08081,430
08083,64
08085,56
08087,113
08089,24
08091,4
08093,17
08095,20
08097,20
08099,24
08101,59
08103,424
08105,21
08107,37
08109,30
08111,7
08113,54
08115,5
08117,11
08119,9
08121,84
08123,11033
08125,169
10001,40
10003,214
10005,33
11001,70
12001,66
12003,6
12005,67
12007,4
12009,175
12011,267
12013,13
12015,28
12017,28
12019,38
12021,69
12023,17
12027,17
12029,8
12031,276
12033,72
12035,12
12037,6
12039,27
12041,11
12043,10
12045,8
12047,8
12049,9
12051,24
12053,26
12055,39
12057,279
12059,9
12061,23
12063,23
12065,7
12067,5
12069,58
12071,118
12073,31
12075,25
12077,1
12079,14
12081,79
12083,75
12085,41
12086,264
12087,38
12089,29
12091,56
12093,27
12095,210
12097,52
12099,177
12101,70
12103,270
12105,216
12107,28
12109,39
12111,52
12113,56
12115,104
12117,77
12119,30
12121,18
12123,15
12125,11
12127,102
12129,4
12131,19
12133,35
13001,7
13003,3
13005,6
13009,11
13011,8
13013,19
13015,77
13017,11
13019,6
13021,46
13023,2
13025,3
13027,3
13029,9
13031,12
13033,11
13035,5
13037,6
13039,24
13043,3
13045,42
13047,17
13049,5
13051,76
13053,5
13055,13
13057,33
13059,24
13061,3
13063,43
13065,6
13067,107
13069,9
13071,10
13073,13
13075,12
13077,45
13079,5
13081,14
13083,11
13085,6
13087,20
13089,161
13091,6
13093,11
13095,24
13097,33
13099,12
13103,12
13105,6
13107,15
13109,5
13111,4
13113,39
13115,41
13117,36
13119,12
13121,224
13123,9
13125,2
13127,31
13129,71
13131,6
13133,11
13135,135
13137,20
13139,53
13141,2
13143,12
13145,8
13147,9
13149,8
13151,30
13153,21
13155,5
13157,22
13159,5
13161,2
13163,12
13165,3
13167,5
13169,2
13171,11
13173,2
13175,22
13177,4
13179,22
13181,4
13185,44
13187,5
13189,11
13191,9
13193,6
13195,8
13197,3
13199,13
13201,1
13205,10
13207,12
13209,3
13211,15
13213,27
13215,52
13217,39
13219,3
13221,6
13223,15
13225,17
13227,9
13229,6
13231,20
13233,20
13235,4
13237,9
13239,3
13241,9
13243,3
13245,69
13247,38
13249,3
13251,8
13253,2
13255,28
13257,23
13259,4
13261,9
13263,5
13265,2
13267,8
13269,4
13271,5
13273,4
13275,10
13277,13
13279,7
13281,3
13283,5
13285,42
13287,6
13289,2
13291,7
13293,21
13295,18
13297,22
13299,8
13301,2
13303,13
13305,6
13309,2
13311,6
13313,128
13315,5
13317,6
13319,5
13321,5
16001,71
16003,7
16005,17
16007,5
16009,16
16011,10
16013,15
16015,21
16017,28
16019,13
16021,5
16023,5
16025,5
16027,50
16029,12
16031,14
16033,2
16035,16
16037,15
16039,32
16041,5
16043,6
16045,4
16047,6
16049,28
16051,7
16053,11
16055,34
16057,20
16059,14
16061,6
16063,4
16065,4
16067,10
16069,13
16071,2
16073,23
16075,10
16077,7
16079,15
16081,79
16083,16
16085,23
16087,6
17001,45
17003,13
17005,29
17007,33
17009,6
17011,46
17013,6
17015,23
17017,15
17019,76
17021,32
17023,21
17025,25
17027,14
17029,42
17031,1725
17033,23
17035,7
17037,68
17039,25
17041,28
17043,416
17045,36
17047,7
17049,24
17051,17
17053,29
17055,32
17057,36
17059,2
17061,11
17063,49
17065,15
17067,32
17069,3
17071,6
17073,39
17075,49
17077,25
17079,11
17081,28
17083,16
17085,32
17087,5
17089,207
17091,60
17093,24
17095,23
17097,246
17099,121
17101,31
17103,52
17105,60
17107,31
17109,24
17111,137
17113,72
17115,55
17117,30
17119,119
17121,43
17123,13
17125,14
17127,11
17129,6
17131,21
17133,10
17135,50
17137,21
17139,13
17141,61
17143,89
17145,19
17147,11
17149,18
17151,1
17153,6
17155,16
17157,26
17159,12
17161,63
17163,127
17165,15
17167,79
17169,5
17171,4
17173,16
17175,9
17177,41
17179,61
17181,11
17183,68
17185,12
17187,19
17189,9
17191,35
17193,20
17195,36
17197,186
17199,30
17201,174
17203,26
18001,14
18003,141
18005,32
18007,5
18009,13
18011,21
18013,3
18015,8
18017,23
18019,50
18021,13
18023,15
18025,1
18027,13
18029,17
18031,12
18033,51
18035,40
18037,13
18039,161
18041,13
18043,25
18045,7
18047,4
18049,18
18051,11
18053,23
18055,13
18057,40
18059,24
18061,14
18063,38
18065,17
18067,29
18069,36
18071,27
18073,12
18075,14
18077,17
18079,12
18081,40
18083,19
18085,68
18087,21
18089,141
18091,60
18093,8
18095,29
18097,266
18099,50
18101,4
18103,22
18105,29
18107,25
18109,25
18111,10
18113,48
18115,1
18117,9
18119,10
18121,7
18123,8
18125,12
18127,47
18129,43
18131,12
18133,20
18135,8
18137,22
18139,14
18141,81
18143,12
18145,37
18147,10
18149,20
18151,30
18153,13
18155,7
18157,46
18159,9
18161,1
18163,57
18165,10
18167,43
18169,19
18171,8
18173,17
18175,11
18177,26
18179,21
18181,18
18183,26
19001,12
19003,10
19005,18
19007,20
19009,10
19011,28
19013,56
19015,19
19017,11
19019,16
19021,21
19023,18
19025,19
19027,27
19029,13
19031,17
19033,32
19035,19
19037,16
19039,11
19041,16
19043,24
19045,43
19047,19
19049,27
19051,9
19053,13
19055,22
19057,37
19059,15
19061,69
19063,13
19065,25
19067,17
19069,16
19071,12
19073,13
19075,15
19077,15
19079,17
19081,22
19083,27
19085,13
19087,21
19089,13
19091,21
19093,17
19095,23
19097,21
19099,28
19101,25
19103,59
19105,17
19107,21
19109,21
19111,41
19113,90
19115,9
19117,10
19119,12
19121,19
19123,21
19125,21
19127,23
19129,13
19131,15
19133,14
19135,12
19137,15
19139,38
19141,23
19143,11
19145,18
19147,16
19149,19
19151,11
19153,178
19155,41
19157,27
19159,11
19161,20
19163,79
19165,21
19167,39
19169,36
19171,21
19173,9
19175,17
19177,15
19179,22
19181,31
19183,21
19185,15
19187,39
19189,13
19191,19
19193,49
19195,17
19197,19
20001,10
20003,7
20005,13
20007,19
20009,17
20011,10
20013,11
20015,38
20017,4
20019,4
20021,22
20023,4
20025,3
20027,4
20029,8
20031,10
20033,8
20035,16
20037,23
20039,2
20041,6
20043,8
20045,23
20047,5
20049,4
20051,10
20053,4
20055,49
20057,12
20059,14
20061,22
20063,4
20065,1
20067,98
20069,2
20071,5
20073,7
20075,134
20077,23
20079,19
20081,39
20083,4
20085,10
20087,13
20089,2
20091,119
20093,18
20095,19
20097,7
20099,18
20101,2
20103,25
20105,3
20107,13
20109,2
20111,20
20113,30
