fips,county_name,state,indicator,value,unit,source_kg,relationship,geo_level,evidence_kind
01001,Autauga County,AL,epa_fac,12.0,count,fiokg,"facility located in county (FRS, sfWithin)",county,regulatory record
01001,Autauga County,AL,pfas_fac,12.0,count,fiokg,EPA-PFAS-Facility (industry-flagged) in county,county,regulatory record
01001,Autauga County,AL,water_features,163.0,count,geoconnex,hydrologic monitoring feature in county (GNIS),county,monitoring feature
01001,Autauga County,AL,court_cases,73.0,count,scales,federal court case filed in county (FJC IDB hasIdbCounty),county,court record
01001,Autauga County,AL,court_pc,13.3771,per 10k,scales,federal court cases per 10k residents,county,court record
01001,Autauga County,AL,rucc,2.0,code 1-9,ruralkg,Rural-Urban Continuum Code (1 urban-9 rural),county,survey/ranking indicator
01001,Autauga County,AL,poverty,11.2,%,spoke-okn (SAIPE),SDoH poverty prevalence in county,county,survey/ranking indicator
01001,Autauga County,AL,lt_hs,11.29,%,spoke-okn (ACS/AHRQ),adults < high school in county,county,survey/ranking indicator
01001,Autauga County,AL,food_insecurity,14.5,%,spoke-okn (County Health Rankings),food insecurity in county,county,survey/ranking indicator
01001,Autauga County,AL,unemploy,2.91,%,spoke-okn (ACS/AHRQ),unemployment in county,county,survey/ranking indicator
01001,Autauga County,AL,uninsured,7.96,%,spoke-okn (ACS/AHRQ),uninsured in county,county,survey/ranking indicator
01001,Autauga County,AL,svi,0.513,0-1,spoke-okn (CDC SVI),social vulnerability index in county,county,survey/ranking indicator
01001,Autauga County,AL,diabetes,11.48,%,spoke-okn (CDC PLACES),age-adjusted diabetes prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,obesity,40.15,%,spoke-okn (CDC PLACES),age-adjusted obesity prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,asthma,10.52,%,spoke-okn (CDC PLACES),age-adjusted asthma prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,copd,7.72,%,spoke-okn (CDC PLACES),age-adjusted COPD prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,stroke,3.32,%,spoke-okn (CDC PLACES),age-adjusted stroke prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,cad,6.15,%,spoke-okn (CDC PLACES),age-adjusted coronary-artery-disease prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,depression,23.58,%,spoke-okn (CDC PLACES),age-adjusted depression prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,hypertension,38.33,%,spoke-okn (CDC PLACES),age-adjusted hypertension prevalence (places->county),county,survey/ranking indicator
01001,Autauga County,AL,arteriosclerosis,32.5,%,spoke-okn (CDC PLACES),age-adjusted arteriosclerosis prevalence (places->county),county,survey/ranking indicator
01003,Baldwin County,AL,epa_fac,84.0,count,fiokg,"facility located in county (FRS, sfWithin)",county,regulatory record
01003,Baldwin County,AL,pfas_fac,83.0,count,fiokg,EPA-PFAS-Facility (industry-flagged) in county,county,regulatory record
01003,Baldwin County,AL,enforce_records,2.0,count,fiokg,enforcement/compliance record for in-county facility,county,regulatory record
01003,Baldwin County,AL,water_features,579.0,count,geoconnex,hydrologic monitoring feature in county (GNIS),county,monitoring feature
01003,Baldwin County,AL,court_cases,8.0,count,scales,federal court case filed in county (FJC IDB hasIdbCounty),county,court record
01003,Baldwin County,AL,court_pc,0.4389,per 10k,scales,federal court cases per 10k residents,county,court record
01003,Baldwin County,AL,rucc,3.0,code 1-9,ruralkg,Rural-Urban Continuum Code (1 urban-9 rural),county,survey/ranking indicator
01003,Baldwin County,AL,poverty,8.9,%,spoke-okn (SAIPE),SDoH poverty prevalence in county,county,survey/ranking indicator
01003,Baldwin County,AL,lt_hs,9.53,%,spoke-okn (ACS/AHRQ),adults < high school in county,county,survey/ranking indicator
01003,Baldwin County,AL,food_insecurity,12.4,%,spoke-okn (County Health Rankings),food insecurity in county,county,survey/ranking indicator
