,air pollution - particulate matter,n_fac,n_pfas_fac,n_chem,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",children in poverty,uninsured,firearm fatalities,drug overdose deaths,premature death,poor or fair health,prev_asthma,prev_diabetes_mellitus,primary care physicians,mental health providers,n_prov
air pollution - particulate matter,1.0,0.217,0.209,0.208,0.295,0.207,0.099,0.031,-0.14,0.196,0.382,0.192,0.428,0.197,0.116,0.158
n_fac,0.217,1.0,0.788,0.429,0.041,-0.327,-0.292,-0.44,-0.151,-0.379,-0.271,-0.111,-0.151,-0.334,-0.453,0.614
n_pfas_fac,0.209,0.788,1.0,0.452,0.061,-0.271,-0.233,-0.326,-0.081,-0.272,-0.217,-0.044,-0.123,-0.288,-0.447,0.574
n_chem,0.208,0.429,0.452,1.0,0.082,-0.071,-0.155,-0.108,0.001,-0.046,-0.009,0.085,0.039,-0.139,-0.247,0.346
"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",0.295,0.041,0.061,0.082,1.0,0.727,0.524,0.405,0.035,0.588,0.755,0.435,0.777,0.157,-0.037,0.103
children in poverty,0.207,-0.327,-0.271,-0.071,0.727,1.0,0.41,0.573,0.228,0.797,0.823,0.552,0.779,0.291,0.162,-0.148
uninsured,0.099,-0.292,-0.233,-0.155,0.524,0.41,1.0,0.455,-0.124,0.401,0.509,0.018,0.473,0.215,0.286,-0.256
firearm fatalities,0.031,-0.44,-0.326,-0.108,0.405,0.573,0.455,1.0,0.195,0.694,0.555,0.295,0.462,0.249,0.216,-0.278
drug overdose deaths,-0.14,-0.151,-0.081,0.001,0.035,0.228,-0.124,0.195,1.0,0.43,0.164,0.346,0.201,0.109,0.009,0.009
premature death,0.196,-0.379,-0.272,-0.046,0.588,0.797,0.401,0.694,0.43,1.0,0.776,0.529,0.738,0.329,0.207,-0.181
poor or fair health,0.382,-0.271,-0.217,-0.009,0.755,0.823,0.509,0.555,0.164,0.776,1.0,0.545,0.887,0.418,0.285,-0.121
prev_asthma,0.192,-0.111,-0.044,0.085,0.435,0.552,0.018,0.295,0.346,0.529,0.545,1.0,0.551,0.203,-0.044,0.069
prev_diabetes_mellitus,0.428,-0.151,-0.123,0.039,0.777,0.779,0.473,0.462,0.201,0.738,0.887,0.551,1.0,0.358,0.214,-0.048
primary care physicians,0.197,-0.334,-0.288,-0.139,0.157,0.291,0.215,0.249,0.109,0.329,0.418,0.203,0.358,1.0,0.534,-0.309
mental health providers,0.116,-0.453,-0.447,-0.247,-0.037,0.162,0.286,0.216,0.009,0.207,0.285,-0.044,0.214,0.534,1.0,-0.492
n_prov,0.158,0.614,0.574,0.346,0.103,-0.148,-0.256,-0.278,0.009,-0.181,-0.121,0.069,-0.048,-0.309,-0.492,1.0
